 ,Перчатки,"Материал: пу+полиэстер
Размер: S,M,L,XL
Упаковка: заводская упаковка
Примечание от фабрики: полиуретановое покрытие на ладони + подкладка из полиэстера

Лого от 12000 пар.", Дизайн: лого 2 цвета,12000,"1,4","150,4",55-60,,,,17 000,10,20-22,
 ,Перчатки,"Материал: пу+полиэстер
Размер: S,M,L,XL
Упаковка: заводская упаковка
Примечание от фабрики: полиуретановое покрытие на ладони + подкладка из полиэстера", Дизайн: лого 2 цвета,1000,"1,1","125,0",50-55,,,,14 500,7,17-19,
,,,,2000,"1,1","120,4",,,,,,,,
,,,,3000,"1,0","116,4",,,,,,,,
 ,Перчатки,"Материал: пу+полиэстер
Размер: S,M,L,XL
Упаковка: заводская упаковка
Примечание от фабрики: полиуретановое покрытие на ладони + подкладка из полиэстера", Дизайн: лого 2 цвета,1000,"1,1","119,0",40-45,,,,9 000,6,16-18,
,,,,2000,"1,0","114,6",,,,,,,,
,,,,3000,"1,0","110,7",,,,,,,,
 ,Пусковое устройство с воздушным компрессором и фонариком,"Материал: АБС+ПК
Размер: 17*12*4 см
Упаковка: заводская упаковка
Примечание от фабрики: 
Функции : запуск/надувание/зарядка/свет
Применимые модели: бензиновый автомобиль объемом 6,0 л, дизельный автомобиль объемом 4,0 л
Пусковой ток: 600А
Вход для зарядки: тип-c 5v2A
Емкость продукта: 6000、8000、10000 мАч
Пиковый ток: 1800А
Время зарядки: 4-5 часов
USB-выход: 5 В-2 А

Необходимы ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено.", Дизайн: сток,1000,"65,6","6869,9",50-55,,,,15 000,5,15-17,
,,,,2000,"63,6","6661,0",,,,,,,,
,,,,3000,"61,6","6452,5",,,,,,,,
 ,"Пусковое устройство с воздушным компрессором и фонариком
(стоимость примерная, точная после предоставления макета)","Материал: АБС+ПК+огнеупорный
Размер: 12,6*15,6*5,2 см
Упаковка: заводская упаковка
Примечание от фабрики: 
Функции : запуск/надувание/зарядка/свет
Вход: 5 В/3 А, 9 В/2 А, 12 В/1,5 А
Время зарядки: около 5 часов (QC3.0 18 Вт).
Выход USB: 5 В/3 А, 9 В/2 А, 12 В/1,5 А
Емкость: 13000 мач
Внутренний диаметр цилиндра: 19 мм.
Диапазон надувания: 0-150 фунтов на квадратный дюйм
Время надувания: 6-8 минут (0-2,5 бар)
Номинальная мощность: QC18W/надувная 90 Вт
Рабочая температура:-20°C~60°C
Режим освещения: освещение, SOS, режим предупреждения.

Необходимы ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено."," Дизайн: изготовление по визуалу клиента, можно нанести лого",1000,"95,2","9938,2",70-75,,,,21 000,11,21-23,
,,,,2000,"92,3","9636,3",,,,,,,,
,,,,3000,"89,4","9334,9",,,,,,,,
 ,набор для ремонта шин 2 (альтернативный способ доставки),"Материал: пластик, металл 
Размер: 
Упаковка: заводская упаковка
Примечание от фабрики: набор включает в себя инструмент для ремонта шин: рашпиль (напильник), инструмент с игольчатым отверстием, жгут сырой резины 5шт., клей", Дизайн: без нанесения,1000,"2,1","232,5",38-43,,,,4 000,3,13-15,
,,,,2000,"2,1","231,6",,,,,,,,
,,,,3000,"2,1","231,4",,,,,,,,
 ,набор для ремонта шин 3 (альтернативный способ доставки),"Материал: пластик, металл 
Размер: 
Упаковка: заводская упаковка
Примечание от фабрики: набор включает в себя инструмент для ремонта шин: рашпиль (напильник), инструмент с игольчатым отверстием, жгут сырой резины 5шт., клей", Дизайн: без нанесения,1000,"1,6","181,2",35-40,,,,4 000,3,13-15,
,,,,2000,"1,6","180,3",,,,,,,,
,,,,3000,"1,6","180,0",,,,,,,,
 ,Налобный фонарик,"Материал: ПС
Размер: 85*51*51* мм
Упаковка: заводская упаковка
Примечание от фабрики: 
Используйте источник света COB (индукционный) / COB (неиндукционный)
Тип разъема: зарядка Type-C
Время зарядки составляет около 2-3 часов.
Время разрядки составляет около 3-5 часов.
Аккумулятор: литиевый аккумулятор 18650
Входной ток 3,7 В-2 А
Емкость аккумулятора 1200 мАч
Степень водонепроницаемости IP44
Без индукции/индукция: COB белый сильный свет - COB белый слабый свет - COB красный - COB - мигающий красный свет
Люмен: 530 Лм", Дизайн: сток,1000,"5,6","615,5",40-45,,,,4 500,5,15-17,
,,,,2000,"5,6","608,6",,,,,,,,
,,,,3000,"5,5","599,3",,,,,,,,
 ,Налобный фонарик,"Материал: Высокопрочный АБС
Размер: 56*27 мм
Упаковка: заводская упаковка
Примечание от фабрики: 
Освещение Сильное-Среднее-Слабое
Аккумулятор: литиевый аккумулятор большой емкости
Время работы батареи: 3–5 часов
Водонепроницаемость
", Дизайн: сток,1000,"3,2","358,8",40-45,,,,3 500,5,15-17,
,,,,2000,"3,2","358,0",,,,,,,,
,,,,3000,"3,2","357,7",,,,,,,,
 ,Налобный фонарик,"Материал: АБС
Размер: 65*32*39 мм
Упаковка: заводская упаковка
Примечание от фабрики: 
Освещение Сильное-Среднее-Слабое
Дальность: 35 м
Продолжительность работы: около 4 часов
Емкость аккумулятора:  500 мАч", Дизайн: сток,1000,"4,1","451,8",40-45,,,,3 500,5,15-17,
,,,,2000,"4,1","451,0",,,,,,,,
,,,,3000,"4,1","450,7",,,,,,,,
 ,Налобный фонарик,"Материал: АБС
Размер: 7.8*5.5*3.4 см
Упаковка: заводская упаковка
Примечание от фабрики: 
Номинальная мощность: 8 Вт
Световой поток: Сильный - 400 лм Средний - 180 лм Слабый - 80 лм
Порт зарядки: тип-c
Емкость аккумулятора: 2600 мАч
Функция: сильный свет - средний свет - слабый свет - мигание - длительное нажатие для выключения", Дизайн: сток,1000,"18,8","2015,0",40-45,,,,5 500,5,15-17,
,,,,2000,"18,8","2014,2",,,,,,,,
,,,,3000,"18,8","2013,9",,,,,,,,
 ,Налобный фонарик,"Материал: алюминиевый сплав
Размер: 
Упаковка: заводская упаковка
Примечание от фабрики: 
Световой поток: Высокий 1150 Лм (60 секунд до 400) - Средний 250 Лм (60 секунд до 100) - Низкий 15 Лм
Источник света: Samsung 351B*3
Световой режим: высокий - средний - низкий - мигающий - SOS. Оставайтесь на любой передаче в течение 3 секунд, прежде чем нажать кнопку выключения питания. Дважды щелкните переключатель, чтобы войти в 8-уровневый режим плавного затемнения с памятью.
Время зарядки: 1,5 ч.
Срок службы батареи: Высокий (100 минут) - Средний (500 минут) - Низкий (2200 минут)
Отображение уровня заряда батареи: зеленый свет при разрядке, красный свет при напряжении ниже 3,3 В, красный свет мигает при напряжении ниже 2,9 В, выключается при напряжении ниже 2,7 В
Индикация зарядки: красный свет во время зарядки, зеленый свет при полной зарядке
Тип порта зарядки: TYPE-C
Тип аккумулятора: встроенный аккумулятор 18350 1000 мАч
Напряжение зарядки: 4,5-5 В
Специальные функции: можно использовать как фонарик, налобный фонарь, фонарь для шляпы, фонарик-зажим для ручки
Дальность облучения: 200 метров
Степень водонепроницаемости: IP68", Дизайн: сток,1000,"17,5","1875,3",40-45,,,,7 000,5,15-17,
,,,,2000,"17,4","1859,4",,,,,,,,
,,,,3000,"17,2","1844,1",,,,,,,,
