,"Менеджер: 
Email: 
Телефон: ",,"Прокопова Елена
elena.p@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
 ,Плед с бахромой ,"Материал: овечья шерсть 620гр
Размер:  140х180
Упаковка: пакет 
Примечание от фабрики:   если делать плед с рисунком будет дороже на 1000-1500р (нужно смотреть макет), рисунок  - не печать., создаеся с помощью переплетения ниток. печать делается на маленьких рамерах, от 140х140см плед  ", Дизайн:  Бирка жаккардовая 40*25 мм,3000,"57,2","4805,18",14 415 540.,,"61,28","5147,90",15 443 700,,"22,000",10-12,22-24,
,,,,5000,"55,09","4627,70",23 138 500.,,"59,12","4966,39",24 831 950,,,,,
,,,,7000,"53,59","4501,25",31 508 750.,,"57,57","4835,90",33 851 300,,,,,
,,,,15000,"51,23","4303,05",64 545 750.,,"55,14","4631,66",69 474 900,,,,,
,,,,20000,"49,47","4155,55",83 111 000.,,"53,31","4478,11",89 562 200,,,,,
 ,Плед с бахромой ,"Материал: овечья шерсть 620гр
Размер:   160х200
Упаковка: пакет 
Примечание от фабрики:   если делать плед с рисунком будет дороже на 1000-1500р (нужно смотреть макет), рисунок  - не печать., создаеся с помощью переплетения ниток. печать делается на маленьких рамерах, от 140х140см плед  ", Дизайн:  Бирка жаккардовая 40*25 мм,3000,"67,15","5640,68",16 922 040.,,"71,23","5983,40",17 950 200,,"23,000",10-12,22-24,
,,,,5000,"64,92","5453,37",27 266 850.,,"68,95","5792,06",28 960 300,,,,,
,,,,7000,"62,73","5269,10",36 883 700.,,66.7,"5603,75",39 226 250,,,,,
,,,,15000,"60,2","5057,02",75 855 300.,,"64,11","5385,63",80 784 450,,,,,
,,,,20000,"58,01","4872,51",97 450 200.,,"61,85","5195,07",103 901 400,,,,,
 ,Плед с бахромой ,"Материал: 50% овечья шерсть, 50% акрил,  620гр
Размер:  140х180
Упаковка: пакет 
Примечание от фабрики:   если делать плед с рисунком будет дороже на 1000-1500р (нужно смотреть макет), рисунок  - не печать., создаеся с помощью переплетения ниток. печать делается на маленьких рамерах, от 140х140см плед  ", Дизайн:  Бирка жаккардовая 40*25 мм,3000,"44,45","3733,88",11 201 640.,,"47,17","3962,36",11 887 080,,"22,000",10-12,22-24,
,,,,5000,"43,07","3617,58",18 087 900.,,"45,75","3843,37",19 216 850,,,,,
,,,,7000,"41,7","3503,15",24 522 050.,,"44,36","3726,25",26 083 750,,,,,
,,,,15000,"40,12","3370,11",50 551 650.,,"42,73","3589,18",53 837 700,,,,,
,,,,20000,"38,57","3239,78",64 795 600.,,"41,13","3454,82",69 096 400,,,,,
 ,Плед с бахромой ,"Материал: 50% овечья шерсть, 50% акрил,  620гр
Размер:   160х200
Упаковка: пакет 
Примечание от фабрики:   если делать плед с рисунком будет дороже на 1000-1500р (нужно смотреть макет), рисунок  - не печать., создаеся с помощью переплетения ниток. печать делается на маленьких рамерах, от 140х140см плед  ", Дизайн:  Бирка жаккардовая 40*25 мм,3000,"52,93","4446,51",13 339 530.,,"55,,65","4674,99",14 024 970,,"23,000",10-12,22-24,
,,,,5000,"51,45","4321,83",21 609 150.,,"54,14","4547,62",22 738 100,,,,,
,,,,7000,"41,99","4199,01",29 393 070.,,"52,64","4422,11",30 954 770,,,,,
,,,,15000,"48,25","4053,40",60 801 000.,,"50,86","4272,47",64 087 050,,,,,
,,,,20000,"46,55","3910,49",78 209 800.,,"49,11","4125,53",82 510 600,,,,,
