,"Значки акриловые (цена и срок примерные, точные могут быть рассчитаны после предоставления макетов)","Материал: акрил
Способ нанесения: уф-печать, покрытие акрилом
Размер: примерно 2*3см
Застежка: английская булавка
Цена указана за 1 дизайн 100шт (после предоставления макета тираж может измениться) ИТОГО 5 дизайнов",500,"0,7","64,42 ₽",35-40кд тираж 500шт,3 110 ₽,18-20кд,
,Логическая игрушка,"Материал: дерево, картон
Размер: 19,5х24х4 см
Логотип: лазерная гравировка
Упаковка в цветную фабричную коробку",500,"7,9","767,0",35-40 кд,8800 руб,20-22 кд,
,Детская музыкальная игра,"Материал: пластик
Размер: 22.5*10*22.5 см
Примерный вес: 800 г
Нанесение: цв печать в один цвет на игре
Упаковка: заводская коробка",2000,"17,3","1619,2",75-80 кд,,,
,"Коврики в ванную инд формы (указана примерная цена и сроки на один дизайн, точная стоимость после предоставления макета)","Материал: пвх
Размер: 13*13 см
Примерный вес: 100 г
Упаковка: опп пакет

Открытие формы от 3000 штук.",3000,"2,63","245,48",65-70кд,"15 954,90",25-27кд,
,Стакан с двойным дном,"Материал: жаропрочное стекло
Размер: 9х6,5х8,5 см
Объем: 250 мл
Цвет: прозрачный, зеленый, голубой, желтый, розовый
Упаковка в картонную коробку

Логотип: горячая деколь, один цвет",500,"4,8","450,2",35-40 кд,8250 руб,20-22 кд,
,Гирлянда нить,"Материал: пластик
Размер: 3 метра, 30 лампочек
Цвет: белый
Свечение: теплый, холодный, синий, фиолетовый, разноцветный
Упаковка в прозрачный пакет
Батарейки в комплекте

Без логотипа",500,"0,6","60,7",30-35 кд,2200 руб,12-14 кд,
,Доска для рисования светом,"Материал: пластик
Размер А4, 21х28,8 см
Цвет: белый
Состав набора: доска для рисования, ручка, набор трафаретов, инструкция
Упаковка в цветную фабричную коробку

500 шт - логотип на наклейке
Шелкография на доске или кастом коробки от 3000 шт","500

3000","3,72

3,63","364,76

356,38","35-40 кд

45-50 кд",8100 руб,20-22 кд,
,Флуоресцентные фигурки на стену,"Материал: пластик
Состав: луна, 12 звезд, двусторонний скотч
Цвет: голубой, желтый, розовый
Упаковка в прозрачный пакет

Логотип на наклейке
Изготовление форм для индивидуальных фигурок от 350 тыс руб",500,"1,1","105,3",30-35 кд,2200 руб,12-14 кд,
,"Браслет с джибитсами
флуоресцентный","Материал: ПВХ
Размер браслета: 18х1,5х0,2 см
В комплекте 3 индивидуальных джибитса, размер: 2х2х0,2 см
Упаковка в прозрачный пакет

Изготовление формы для каждого макета джибитсов 18400 руб, не включено в стоимость",500,"1,8","174,5",50-55 кд,18800 руб,25-30 кд,
,Калейдоскоп,"Материал: картон
Размер: 19х4,5 см
Без логотипа
Без индивидуальной упаковки (упаковка в пакет по 5 шт)

Индивидуальная настройка от 15000 шт",500,"1,0","97,6",30-35 кд,2200 руб,12-14 кд,
,Детский нагрудник,"Материал: Силикон
Цвет: Кирпичный/розовый/чай с молоком/серо-синий/серо-зеленый
Размер: 32х23 см Вес:80 г 
 Упаковка: заводская пленка 
Нанесение лого: шелкография (пример в доп. фото)
 ",500,"1,7","157,56 ₽",45-50 Календарных дней,"14009,75","10-15 календарных дней фото/видео, 12-14 календарных дней доставка до Москвы",
,Детский поильник,"Материал: Силикон
 Кирпичный/розовый/чай с молоком/серо-синий/серо-зеленый 
Размер:12*7.3*8.5 см Вес:140 г
Объем: 250мл 
Упаковка: заводская пленка 
Нанесение лого: шелкография
 ",500,"3,1","292,77 ₽",45-50 Календарных дней,"14 659,24 ₽","10-15 календарных дней фото/видео, 12-14 календарных дней доставка до Москвы",
,Детская тарелка,"Материал: Силикон Кирпичный/розовый/чай с молоком/серо-синий/серо-зеленый Размер:12*7.3*8.5 см Вес:100 г Упаковка: заводская пленка Нанесение лого: шелкография
",500,"2,0","186,52 ₽",45-50 Календарных дней,"14026,77","10-15 календарных дней фото/видео, 12-14 календарных дней доставка до Москвы",
,"Калейдоскоп, индивидуальное изготовление","Материал: картон
Размер: 19х4,5 см
Индивидуальная цифровая печать
Упаковка в прозрачный пакет",1000,"1,4","133,1",45-50 кд,16000 руб,22-24 кд,
,Калейдоскоп,"Материал: картон
Размер: 19х3,7 см
Фабричный рисунок
Упаковка в прозрачный пакет",500,"1,2","116,6",30-35 кд,2250 руб,12-14 кд,
,Калейдоскоп складной,"Материал: картон
Размер: 17х4,5х3,5 см
Фабричный рисунок
Упаковка в прозрачный пакет",500,"2,6","252,7",30-35 кд,2400 руб,12-14 кд,
,Калейдоскоп,"Материал: картон
Размер: 19х4,5 см
Фабричный рисунок
Упаковка в прозрачный пакет",500,"4,4","420,4",30-35 кд,,12-14 кд,
,Калейдоскоп,"Материал: картон
Размер: 19х4,5 см
Фабричный рисунок
Упаковка в прозрачный пакет",500,"1,2","114,0",30-35 кд,3800 руб,12-14 кд,
,Силиконовый кошелек,"Материал: силикон
Диаметр: 9 см
Толщина: 3 см
Цвета: белый, розовый, серый, зеленый, голубой
Нанесение: цв печать в один цвет
Упаковка: опп пакет",500,"2,6","240,4",43-48кд,"4 869,02",23-25 кд,
