,"Менеджер: Андрианова Анастасия
Email: anastasiaandrianova@megamind.ru
Телефон: 
",,,,,,,,"Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,
,,,,,50 000,"21,15","2 119,51",65-70,"26,64","2 669,21",60-65,"28,93","2 898,47",50-55,,,
,,,,,100 000,"20,71","2 075,09",90-95,"26,19","2 624,54",85-90,"28,48","2 853,79",75-80,,,
 ,Джемпер трикотажный на молнии,"Материал: 300 гр, 96,4% полиэстер, 3,6% спандекс
Размер: M,L,XL,2XL,3XL
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, точная стоимость при получении макета нанесения
Фабрика делает только вышивку/бирки, не делают нанесение",, Дизайн: пвх бирка с логотипом 2*2 см,10 000,"17,75","1 778,90",45-50,"22,76","2 280,75",40-45,"24,84","2 489,07",30-35,"11 000,00",25-30,
,,,,,50 000,"16,61","1 664,59",65-70,"21,44","2 147,85",60-65,"23,44","2 348,45",50-55,,,
,,,,,100 000,"16,17","1 619,91",90-95,"20,99","2 103,17",85-90,"22,99","2 303,77",75-80,,,
 ,Флисовая толстовка с капюшоном на молнии,"Материал: двусторонний флис 330 гр, 100% полиэстер
Размер: M,L,XL,2XL,3XL
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, точная стоимость при получении макета нанесения
Фабрика делает только вышивку/бирки, не делают нанесение",, Дизайн: вышивка логотипа на груди небольшого размера 1-2 цвета 5*5 см,10 000,"17,30","1 732,98",45-50,"22,30","2 234,84",40-45,"24,38","2 443,15",30-35,"11 300,00",25-30,
,,,,,50 000,"16,17","1 620,37",65-70,"20,99","2 103,64",60-65,"23,00","2 304,24",50-55,,,
,,,,,100 000,"15,73","1 575,69",90-95,"20,55","2 058,96",85-90,"22,55","2 259,56",75-80,,,
 ,Бомбер,"Материал:  100% полиэстер
Размер: M,L,XL,2XL,3XL
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, точная стоимость при получении макета нанесения
Фабрика делает только вышивку/бирки, не делают нанесение",, Дизайн: вышивка логотипа на груди небольшого размера 1-2 цвета 5*5 см,10 000,"15,92","1 595,23",45-50,"20,93","2 097,08",40-45,"23,01","2 305,40",30-35,"11 300,00",25-30,
,,,,,50 000,"14,85","1 487,72",65-70,"19,67","1 970,98",60-65,"21,67","2 171,58",50-55,,,
,,,,,100 000,"14,40","1 443,04",90-95,"19,22","1 926,31",85-90,"21,23","2 126,91",75-80,,,
 ,Флисовое худи,"Материал: 300 гр двусторонний флис, 100% полиэстер
Размер: S,M,L,XL,2XL
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, точная стоимость при получении макета нанесения",, Дизайн: вышивка логотипа на груди небольшого размера 1-2 цвета 5*5 см,10 000,"19,07","1 910,65",75-80,"25,75","2 579,78",70-75,"28,52","2 857,54",60-65,"11 700,00",19-22,
,,,,,50 000,"17,22","1 725,13",80-85,"23,65","2 369,48",75-80,"26,32","2 636,95",65-70,,,
,,,,,100 000,"16,11","1 614,12",90-95,"22,54","2 258,47",85-90,"25,21","2 525,94",75-80,,,
 ,Джемпер трикотажный на молнии,"Материал: 300 гр, 36% хлопок, 60% полиэстер, 4% спандекс
Размер: S-5XL
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, точная стоимость при получении макета нанесения
",, Дизайн: вышивка логотипа 5*5 на груди и жаккардовая бирка пришитая к карману,10 000,"16,91","1 758,23",60-65,"20,84","2 167,49",55-60,"22,47","2 337,38",45-50,"11 000,00",25-30,
,,,,,50 000,"15,80","1 643,00",75-80,"19,59","2 037,11",70-75,"21,16","2 200,70",60-65,,,
,,,,,100 000,"15,35","1 596,65",90-95,"19,14","1 990,76",85-90,"20,71","2 154,35",75-80,,,
 ,Худи с капюшоном,"Материал: 330 гр, 85% хлопок, 15% полиэстер
Размер: S-5XL
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, точная стоимость при получении макета нанесения
",, Дизайн: нанесение логотипа 20*20 на груди или спине по методу шлкографии,10 000,"17,29","1 798,47",65-70,"22,30","2 319,36",60-65,"24,38","2 535,57",50-55,"8 900,00",19-22,
,,,,,50 000,"15,51","1 612,92",75-80,"20,33","2 114,51",70-75,"22,33","2 322,72",60-65,,,
,,,,,100 000,"14,40","1 497,72",80-85,"19,22","1 999,31",75-80,"21,23","2 207,52",65-70,,,
 ,Джемпер трикотажный на молнии,"Материал: 300 гр, 100% полиэстер
Размер: S-3XL
Упаковка: индивидуальный пакет
Примечание от фабрики: цена примерная, точная стоимость при получении макета нанесения
",, Дизайн: вышивка логотипа 5*5 на груди и жаккардовая бирка пришитая к карману,10 000,"19,13","1 989,11",90-95,"24,13","2 509,99",85-90,"26,21","2 726,21",75-80,"8 900,00",17-20,
,,,,,50 000,"17,72","1 842,39",110-115,"22,54","2 343,98",105-110,"24,54","2 552,19",95-100,,,
,,,,,100 000,"17,05","1 773,08",130-135,"21,87","2 274,68",125-130,"23,87","2 482,88",115-120,,,
 ,Рюкзак,"Материал: полиэстер 
Размер: 43*15*32 см 
Упаковка: OPP пакет
Примечание от фабрики: 
*стандартные фабричные цвета: черный, серый и синий, но фабрика может сделать рюкзак из ткани другого цвета
*фабрика может сделать пуллеры другого цвета",,"Дизайн: нанесение логотипа (3*10 см), шелкография  + красный цвет на заказ",10 000,"8,40","865,61",60-65,"10,22","1 052,95",40-45,"14,39","1 482,00",40-45,"16 500,00",17-19,
,,,,,50 000,"7,64","786,70",65-70,"9,39","967,58",50-55,"13,42","1 381,84",45-50,,,
,,,,,100 000,"6,91","711,39",70-75,"8,60","885,81",55-60,"12,48","1 285,27",45-50,,,
 ,Рюкзак,"Материал: полиэстер
Размер: 0,31*0,17*0,5 см
Упаковка: OPP пакет
Примечание от фабрики:
*стандартные фабричные цвета: черный, красный, охра, зеленый и бежевый",,"Дизайн: нанесение логотипа (4*13 см), шелкография + красный цвет из наличия",10 000,"8,12","835,86",60-65,"9,54","983,06",40-45,"9,54","983,06",40-45,"16 500,00",17-19,
,,,,,50 000,"7,83","806,93",65-70,"9,21","949,05",50-55,"13,22","1 361,46",45-50,,,
,,,,,100 000,"7,55","778,10",70-75,"8,88","915,14",55-60,"12,75","1 312,83",45-50,,,
 ,Рюкзак,"Материал: полиэстер 
Размер:28х38х13 см
Упаковка: орр
Примечание от фабрики: 
можно поменять детали( замок, пуллер), цвет близкий к пантону, нанесение лого : шелкография, вышивка, бирки ",,"Дизайн: цвет близкий к пантону, нанесение лого (5*3 см)- шелкография ",10 000,"15,70","1 613,70",70-75,"14,04","1 446,40",60-65,"18,08","1 862,37",50-55,"22 500,00",25-27,
,,,,,50 000,"15,13","1 557,94",75-80,"13,56","1 396,44",65-70,"17,46","1 798,03",55-60,,,
,,,,,100 000,"14,13","1 455,09",80-85,"12,62","1 299,35",75-80,"16,37","1 686,60",60-65,,,
 ,Рюкзак,"Материал: полиэстер
Размер: 28*41*13 см
Упаковка: OPP пакет
Примечание от фабрики:
*могут сделать под заказ, настроить цвета различных деталей, для расчета точной стоимости нужен макет",,"Дизайн: нанесение логотипа (4*5 см), жаккардовая бирка  + красные шнурки ",10 000,"10,62","1 093,74",60-65,"12,44","1 281,09",40-45,"16,60","1 710,14",40-45,"16 500,00",17-19,
,,,,,50 000,"10,02","1 031,55",65-70,"11,77","1 212,44",50-55,"15,79","1 626,58",45-50,,,
,,,,,100 000,"9,43","971,11",70-75,"11,12","1 145,54",55-60,"15,00","1 544,88",45-50,,,
 ,Рюкзак,"Материал: полиэстер
Размер: 23*13*40 см
Упаковка: OPP пакет
Примечание от фабрики:
*стандартные фабричные цвета добавила в доп фото",,"Дизайн: нанесение лого (3*7 см), шелкография ",10 000,"7,62","785,17",60-65,"9,05","932,36",50-55,"13,20","1 359,51",40-45,"16 500,00",17-19,
,,,,,50 000,"7,24","745,85",65-70,"8,62","887,98",55-60,"12,62","1 300,28",45-50,,,
,,,,,100 000,"6,87","707,42",70-75,"8,20","844,46",60-65,"12,06","1 242,02",45-50,,,
 ,Рюкзак,"Материал: полиэстер
Размер: 30*15*46 см
Упаковка: OPP пакет
Примечание от фабрики:
*могут сделать под заказ, настроить цвета различных деталей и самого рюкзака, для расчета точной стоимости нужен макет",,"Дизайн: нанесение лого (7*13 см), шелкография ",10 000,"8,61","886,56",65-70,"10,04","1 033,76",55-60,"14,18","1 460,90",45-50,"16 500,00",17-19,
,,,,,50 000,"8,07","831,51",75-80,"9,45","973,64",65-70,"13,46","1 385,94",55-60,,,
,,,,,100 000,"7,56","778,22",95-100,"8,89","915,26",85-90,"12,75","1 312,83",75-80,,,
 ,Рюкзак,"Материал: нейлон 
Размер: 35х10х 25см
Упаковка: индивидуальный пакет 
Примечание от фабрики:
нанаесение лого, замена веревочки ",,Дизайн: нанесение лого (3*3 см),10 000,"8,50","875,15",90-95,"7,46","768,10",80-85,"10,04","1 034,30",70-75,"17 000,00",20-22,
,,,,,50 000,"8,16","839,97",,"7,15","763,60",,"9,65","993,63",,,,
,,,,,100 000,"7,79","802,87",,"6,83","703,20",,"9,23","951,05",,,,
 ,Рюкзак,"Материал: нейлон
Размер: 31*42*11 см
Упаковка: индивидуальный пакет 
Примечание от фабрики:
*стандартные фабричные цвета: сиреневый, белый, синий, зеленый, ченый, черный с красным",,Дизайн: нанесение лого ,10 000,"16,02","1 650,35",65-70,"21,87","2 252,53",55-60,"30,12","3 102,03",45-50,"16 500,00",17-19,
,,,,,50 000,"15,42","1 588,55",75-80,"21,07","2 169,96",65-70,"29,03","2 990,06",55-60,,,
,,,,,100 000,"14,80","1 524,73",95-100,"20,25","2 085,38",85-90,"27,92","2 876,18",75-80,,,
 ,Сумка ,"Материал: нейлон
Размер: 18*19*6 см
Упаковка: индивидуальный пакет 
Примечание от фабрики:
 ",,Дизайн: нанесение лого (3*5 см),10 000,"3,67","377,78",65-70,"4,19","431,31",55-60,"4,92","506,82",45-50,"16 500,00",17-19,
,,,,,50 000,"3,30","340,28",75-80,"3,81","391,96",65-70,"4,51","464,76",55-60,,,
,,,,,100 000,"2,96","304,53",95-100,"3,44","354,36",85-90,"4,12","424,55",75-80,,,
 ,Сумка поясная ,"Материал: полиэстер
Размер:
Упаковка: индивидуальный пакет 
Примечание от фабрики:
Можно поменять цвет на близкий к пантону, нанести лого ",,"Дизайн: Цвет близкий к пантону, нанесение лого(8*2 см):  шелкография ",10 000,"8,56","882,17",75-80,"9,60","989,22",65-70,"11,15","1 148,37",55-60,"20 000,00",30-32,
,,,,,50 000,"8,03","827,16",80-85,"9,03","930,52",70-75,"10,53","1 084,18",60-65,,,
,,,,,100 000,"7,40","762,20",85-90,"8,37","861,87",75-80,"9,81","1 010,05",65-70,,,
 ,Сумка поясная ,"Материал: полиэстер, нейлон 
Размер:
Упаковка: индивидуальный пакет 
Примечание от фабрики: Цвет можно поменять на близкий к пантоу, нанести лого. Можно заменть веревочку, фупнтиру ",,"Дизайн: Цвет близкий к пантону, нанесение лого(4*1,5 см) :  шелкография ",10 000,"9,22","949,19",75-80,"10,37","1 068,13",65-70,"12,09","1 244,97",55-60,"20 000,00",30-32,
,,,,,50 000,"8,42","867,39",80-85,"9,54","982,24",70-75,"11,19","1 152,97",60-65,,,
,,,,,100 000,"7,78","801,00",85-90,"8,85","911,75",75-80,"10,45","1 076,38",65-70,,,
,Рюкзак,"Материал: полиэстер 
Размер:
Упаковка: индивидуальный пакет 
Примечание от фабрики: Цвет можно поменять на близкий к пантоу, нанести лого. Можно заменть веревочку, фупнтиру ",,"Дизайн: Цвет близкий к пантону, нанесение лого(12*4 см):  шелкография ",10 000,"13,15","1 345,76",75-80,"14,31","1 473,71",65-70,"16,02","1 650,54",55-60,"20 000,00",30-32,
,,,,,50 000,"12,46","1 283,46",80-85,"13,58","11 398,31",70-75,"15,23","1 569,04",60-65,,,
,,,,,100 000,"11,56","1 190,41",85-90,"12,63","1 301,15",75-80,"14,23","1 465,79",65-70,,,
 ,Поилка для собак,"Материал: пластик + силикон
Размер: 7*7*21,5 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
Фабрика может сделать выкрас в Пантон, для расчта точной стоимости нужен макет ",,"Дизайн: нанесение логотипа (3*7 см), шелкография",10 000,"5,21","521,92",95-100,"6,17","618,37",85-90,"7,18","719,40",75-80,"4 000,00",17-19,
,,,,,50 000,"4,77","478,39",,"5,79","580,38",,"6,77","678,04",,,,
,,,,,100 000,"4,45","446,17",,"5,52","553,21",,"6,46","647,51",,,,
 ,Одежда для собак,"Материал: полиэстер
Размер: XS: 30(окружность груди)*20(от холки до хвоста) см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
Есть также и другие размеры:
S: 35*25 см
M: 40*30 см
L: 45*35 см
XL: 50*40 см
XXL: 55*45 см
Цена на все размеры одинаковая",,"Дизайн: считали пошив из красной ткани и нанесение лого (3*7 см), шелкография",10 000,"6,45","646,76",65-70,"7,58","759,03",55-60,"8,72","873,56",45-50,"15 500,00",17-19,
,,,,,50 000,"6,15","616,37",,"7,32","733,62",,"8,43","844,33",,,,
,,,,,100 000,"5,86","586,68",,"7,07","708,31",,"8,14","815,20",,,,
 ,Держатель-зарядка для телефона + сумка,"Материал: нейлон, оксфорд, алюминий
Размер: длина держателя - 120 см, сумка - 16*8,5*2 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
Посчитана зарядка Type C - Type C. У фабрики также есть варианты с проводами: A to C, C to C, C to Lightning, A to lightning
Фабрика может сделать выкрас в Пантон, для расчта точной стоимости нужен макет или точное тз",,"Дизайн: нанесение логотипа (на кейсе - 3*3 см, на держателе - 1*3 см), красный шнурок + красная ткань для сумки",10 000,"5,15","530,44",75-80,"5,21","537,07",65-70,"5,49","565,12",55-60,"2 500,00",20-22,
,,,,,50 000,"4,45","458,30",,"4,51","464,71",,"4,77","491,68",,,,
,,,,,100 000,"3,88","399,33",,"3,94","405,51",,"4,19","431,62",,,,
 ,"Комплект: сумка, держатель-зарядка для телефона, блок для зарядки, наушники","Материал: нейлон, оксфорд, алюминий
Размер: длина держателя - 120 см, сумка - 16*8,5*2 см, емкость блока - 3000 мАч
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
Посчитана зарядка Type C - Type C. У фабрики также есть варианты с проводами: A to C, C to C, C to Lightning, A to lightning
Фабрика может сделать выкрас в Пантон, для расчта точной стоимости нужен макет или точное тз",,"Дизайн: нанесение логотипа ((на кейсе - 3*3 см, на держателе - 1*3 см), красный шнурок + красная ткань для сумки, выкрас блока и наушников в красный цвет",10 000,"18,91","1 948,19",75-80,"19,41","1 999,49",65-70,"19,71","2 030,43",55-60,"5 500,00",25-27,
,,,,,50 000,"17,34","1 785,56",,"17,82","1 835,09",,"18,11","1 864,86",,,,
,,,,,100 000,"15,57","1 603,67",,"16,03","1 651,43",,"16,31","1 680,24",,,,
 ,Рюкзак ,"Материал: EVA
Размер: 33,5х18х24,8 см
Упаковка: коробка
Примечание от фабрики: 
Открытие фом фактора ","Этот рюкзак отказываются делать для России.
У нас уже есть представительство.",Дизайн: Выкрас в пантон ,10 000,"25,30","2 531,40",65-70,"26,00","2 603,90",55-60,"44,30","4 436,20",50-55,"16 000,00",40-42,
,,,,,50 000,"24,40","2 443,10",75-80,"25,10","2 513,00",65-70,"42,70","4 282,10",60-65,,,
,,,,,100 000,"23,50","2 355,70",85-90,"24,20","2 423,20",75-80,"41,20","4 129,10",70-75,,,
 ,Джиббитсы ,"Материал: EVA
Размер: 
Упаковка:
Примечание от фабрики: 
Открытие фом фактора 
Цена для 1 джиббитса ","Этот рюкзак отказываются делать для России 
У нас уже есть представительство ",Дизайн: Джиббитсы в соответсвии с дизайном ,10 000,"0,60","61,10",60-65,"0,70","67,60",55-60,"0,93","93,00",45-50,"11 000,00",30-32,
,,,,,50 000,"0,58","58,30",,"0,64","0,64",,"0,89","89,10",,,,
,,,,,100 000,"0,56","56,20",,"0,60","61,60",,"0,86","85,80",,,,
 ,Чемодан,"Материал: пластик, подклад - полиэстер
Размер: 415*270*660 мм
Вес: ок. 4 кг
Упаковка: коробка
Примечание от фабрики: 
",,"Дизайн: Нанесение логотипа 1 цвет УФ печать, 20*20 см",10 000,"85,82","8 598,74",60-65,"114,77","11 500,28",55-60,"157,37","15 768,05",45-50,"29 400,00",19-22,
,,,,,50 000,"84,56","8 473,04",90-95,"113,52","11 374,58",85-90,"156,11","15 642,35",75-80,,,
,,,,,100 000,"80,31","8 047,37",130-135,"108,20","10 841,44",125-130,"149,21","14 951,15",115-120,,,
 ,Чемодан,"Материал: пластик, подклад - полиэстер
Размер: 610*360*240 мм
Вес: 3,2 кг
Упаковка: коробка
Примечание от фабрики: 
",,"Дизайн: Нанесение логотипа 1 цвет УФ печать, 20*20 см",10 000,"66,66","6 678,98",80-85,"88,43","8 860,51",75-80,"120,45","12 069,24",65-70,"27 700,00",19-22,
,,,,,50 000,"63,06","6 318,31",100-105,"84,08","8 424,61",95-100,"115,00","11 522,70",85-90,,,
,,,,,100 000,"59,65","5 976,50",130-135,"79,92","8 007,58",125-130,"109,73","10 995,02",115-120,,,
 ,Браслет 1,"Материал: ПВХ
Размер: 2*20.5 см
Упаковка: индивидуальный пакет
Примечание от фабрики: 
для браслета с 1 джиббитсом открытие форм фактора ",,"Дизайн: Цвет близкий к пантону, кастом джибитса ",10 000,"0,36","35,60",45-50,"0,40","45,03",35-40,"0,47","47,95",30-35,"16000
（форм фактор для 1 pvc）",15-17,
,,,,,50 000,"0,29","29,85",50-55,"0,37","38,27",45-50,"0,40","41,10",40-45,,,
,,,,,100 000,"0,24","24,93",65-70,"0,32","33,33",55-55,"0,35","36,05",50-55,,,
,Браслет 2,"Материал: ПВХ 
Размер: 1.5*20.5 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
для браслета с 1 джиббитсом открытие форм фактора ",,"Дизайн: цвет браслета близкий к пантону, кастом джибитса",10 000,"0,33","34,07",45-50,"0,41","42,49",35-40,"0,44","45,40",30-35,"16000
（форм фактор для 1 pvc）",17-19,
,,,,,50 000,"0,27","27,40",65-70,"0,35","35,82",55-60,"0,38","38,65",50-55,,,
,,,,,100 000,"0,22","22,57",95-100,"0,30","30,97",80-85,"0,36","36,88",70-75,,,
 ,Браслет 3,"Материал: ПВХ 
Размер: 0.8*20.5 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: для браслета с 1 джиббитсом
открытие форм фактора ",,"Дизайн: цвет браслета близкий к пантону, кастом джибитса",10 000,"0,12","12,00",40-45,"0,15","14,60",35-40,"0,20","15,70",25-30,"16000
（форм фактор для 1 pvc）",15-17,
,,,,,50 000,"0,10","9,40",45-50,"0,13","12,60",40-45,"0,14","13,70",30-35,,,
,,,,,100 000,"0,09","8,56",50-55,"0,12","11,60",45-50,"0,13","12,70",35-40,,,
 ,Рюкзак ,"Материал: ПВХ, полиэстер 
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
открытие форм фактора ",,"Дизайн: лого на пвх(9*4,5 см) , цвет рюкзака близкий к пантону ",10 000,"26,70","2 764,94",60-65,"29,90","3 080,10",75-80,"37,40","3 847,87",65-70,"30 000,00",40-42,
,,,,,50 000,"25,70","2 570,50",110-115,"28,80","2 883,50",105-110,"36,00","3 604,60",95-100,,,
,,,,,100 000,"24,70","2 477,50",150-155,"27,70","2 779,30",145-150,"34,70","3 434,70",135-140,,,
,Браслет 4,"Материал: ПВХ 
Размер: 2.5*21.5 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: для браслета 1 цвета  с 1 джиббитсом
открытие форм фактора 
",,"Дизайн: цвет браслета близкий к пантону, кастом джибитса",10 000,"0,40","38,10",45-50,"0,46","46,30",35-40,"0,50","49,90",30-35,"16000
（форм фактор для 1 pvc）",17-19,
,,,,,50 000,"0,35","35,00",50-55,"0,43","43,20",40-45,"0,46","45,90",35-40,,,
,,,,,100 000,"0,30","32,30",60-65,"0,40","40,50",50-55,"0,43","43,10",45-50,,,
 ,Закладка ,"Материал: ПВХ , металл
Размер: 
Упаковка: индивидуальный пакет 
Примечание от фабрики: набор из 6 закладок; 
открытие форм фактора ",,"Дизайн: выкрас скрепки в цвет близкий у пантону, кастом джибитса",10 000,"0,90","93,09",50-55,"0,88","90,20",45-50,"104,00","106,80",35-40,"8 500,00",17-19,
,,,,,50 000,"0,82","84,10",65-70,"0,80","81,90",55-60,"0,95","97,90",50-55,,,
,,,,,100 000,"0,74","76,78",95-100,"0,72","74,22",80-85,"0,87","89,68",70-75,,,
,Сумка для пикбола,"Материал: PU, полиэстер
Размер: 35х24х2
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
",,Дизайн: нанесение лого- шелкография,10 000,"6,20","623,60",50-55,"6,70","674,10",40-45,"7,70","771,40",35-40,"8 500,00",17-19,
,,,,,50 000,"5,90","593,70",65-70,"6,50","651,50",55-60,"7,40","745,60",50-55,,,
,,,,,100 000,"4,50","454,20",95-100,"5,90","510,00",85-90,"6,00","600,80",80-85,,,
