,"Менеджер: Волкова Екатерина
Email: ekaterinav@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
,,,,1000,"0,6","51,0",,"0,7","55,7",,,,,
 , Пвх бирка на сумку,"Материал: пвх
Размер: 3*5 см (можно сделать и другого размера)
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета и образца
*минимальный тираж 1000 шт", Дизайн: производство по макету ,1000,"1,1","91,7",40-45,"1,2","101,2",30-35,15 000,7,17-19,
 ,"Рюкзак/ сумка варианты детских сумок через плечо, рюкзачков","Материал: холст
Размер: 15*15*6 см
Упаковка: OPP пакет
Примечание от фабрики: не делают кастом"," Дизайн: из наличия, с подвеской",500,"2,9","243,3",40-45,"3,3","278,7",30-35,4 500,5,15-17,
,,,,1000,"2,7","227,4",,"3,1","260,7",,,,,
 ,Игрушки (какие тт?),"Материал: полиэстер, хлопок (точный состав ткани зависит от конкретной модели)
Размер: 20-30 см (точный размер зависит от конкретной модели)
Упаковка: OPP пакет
Примечание от фабрики: есть несколько дизайнов на выбор, нужно уточнять по кол-ву перед заказом", Дизайн: из наличия,500,"3,5","296,2",35-40,"4,2","360,0",25-30,4 500,5,15-17,
,,,,1000,"3,3","277,2",,"4,0","337,3",,,,,
 ,Игрушки (какие тт?),"Материал: полиэстер, хлопок (точный состав ткани зависит от конкретной модели)
Размер: 20-30 см (точный размер зависит от конкретной модели)
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета и образца, мин тираж 1000 шт", Дизайн: производство по макету ,1000,"6,2","530,7",50-55,"7,0","594,6",40-45,15 500,7,17-19,
 ,Закладки,"Материал: бумага
Размер: 8*5,4 см
Упаковка: OPP пакет
Примечание от фабрики: есть несколько дизайнов на выбор, нужно уточнять по кол-ву перед заказом", Дизайн: из наличия,500,"0,5","40,7",35-40,"0,5","44,3",25-30,3 000,3,13-15,
,,,,1000,"0,4","36,7",,"0,5","40,1",,,,,
 ,Закладки,"Материал: бумага
Размер: 10*15
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета и образца, мин тираж 1000 шт", Дизайн: производство по макету ,1000,"1,2","104,3",40-45,"1,4","115,7",30-35,15 000,5,15-17,
 ,Клипсы на шнурки,"Материал: пвх
Размер: 3*3 см (точный размер зависит от конкретной модели)
Упаковка: OPP пакет
Примечание от фабрики: есть несколько дизайнов на выбор, нужно уточнять по кол-ву перед заказом", Дизайн: из наличия,500,"0,2","15,8",35-40,"0,2","17,2",25-30,3 000,3,13-15,
,,,,1000,"0,1","12,1",,"0,2","13,4",,,,,
 ,Клипсы на шнурки,"Материал: пвх
Размер: 3*3 см (точный размер зависит от конкретной модели)
Упаковка: OPP пакет
Примечание от фабрики: точная цена после макета, мин тираж - 500 шт", Дизайн: производство по макету,500,"0,5","44,7",40-45,"0,5","46,1",30-35,6 500,5,15-17,
,,,,1000,"0,4","30,3",,"0,4","31,6",,,,,
 ,"Яхтенная мини сумочка из силикона
","Материал: силикон
Размер: 160*275 мм
Упаковка: OPP пакет
", Дизайн: из наличия,500,"20,5","1745,3",45-50,"24,0","2041,0",35-40,4 500,7,17-19,
,,,,1000,"19,3","1641,1",,"22,6","1919,3",,,,,
