,"Менеджер: Гуляева Мария
Email: mariag@megamind.ru
Телефон: 
",ВНИМАНИЕ! Все цены и сроки указаны ПРИМЕРНО!,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,
,Весы для багажа,"Материал: пластик, батарейка
Размер: 119*40 мм
Длина ремешка: 158 мм
До 40 кг
Кастомизация: шелкография 1 цвет
Упаковка: заводская упаковка

Кастомизация от 1000 штук",1000,"5,3","482,7",80-85 кд,4000,7500,"10-12 кд фото и видео

12-14 кд доставка в Мск",
,,,5000,"4,6","417,8",,,,,
,Эспандер бублик,"Материал: силикагель
Внешний диаметр: 7 см
Внутренний диаметр: 3,4 см
Макс. нагрузка: 50 кг
Кастомизация: цв печать в один цвет
Упаковка: опп пакет

Кастомизация от 1000 штук",1000,"1,3","121,3",45-50 календарных дней,3500,7600,"10-12 кд фото и видео

12-14 кд доставка в Мск",
,,,5000,"1,3","119,5",,,,,
,Чехол на чемодан,"Материал: ПВХ
Размеры: размерная сетка в доп фото
Кастомизация: лого 1 цвет
Упаковка: заводская упаковка",500,"7,2","673,4",65-70 календарных дней,5200,8500,"8-10 кд фото и видео

12-14 кд доставка в Мск",
,,,1000,"6,7","626,9",,,,,
,,,5000,"6,2","582,3",,,,,
,Портативный отпариватель,"Материал: АБС
Размер: 10*7.2*21.6 см
Номинальная мощность - 32Вт
Номинальная частота - 50Гц
Номинальное напряжение - 5 В постоянного тока
Режим питания USB-интерфейс
Кастомизация: лого 1 цвет
Упаковка: заводская упаковка

Также необходимы ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено",500,"6,7","623,2",45-50 календарных дней,3500,5500,"6-8 кд фото и видео

12-14 кд доставка в Мск",
,,,1000,"6,4","590,5",,,,,
,,,5000,"6,2","577,0",,,,,
,Косметичка,"Материал: силикон
Цвет: любой из раскладки фабрики
Размер: 25*12*16см
Тиснение лого",500,"12,9","1188,0",60-65 календ.дней,7 440руб.,15 000руб.,"Фото/видео: 9-10 календ.дней
Доставка: 12-14 календ.дней",
,,,1000,"12,3","1134,0",,,,,
,,,5000,"11,7","1081,0",65-70 календ.дней,,,,
,Складной коврик для йоги,"Материал: TPE
Размер: 183*61*0,6см
Цвет: фиолетовый/розовый/зеленый/черный/серый/синий
Гравировка лого 
Упаковка: OPP пакетик",500,"13,8","1231,0",50-55 календ.дней,5 990руб.,6 700руб.,"Фото/видео: 6-7 календ.дней
Доставка: 12-14 календ.дней",
,,,1000,"13,7","1218,0",55-60 календ.дней,,,,
,,,5000,"13,5","1204,0",60-65 календ.дней,,,,
,Отпариватель,"Материал: АБС
Размер: 184*70*98 мм
Номинальная мощность 1200 Вт
Номинальное напряжение 220 В~
Емкость резервуара для воды 120 мл
Кастомизация: лого 1 цвет
Упаковка: заводская упаковка

Также необходимы ДС+СС, примерная стоимость 100 тысяч рублей, в стоимость не включено",500,"20,6","1959,0",45-50 кд,6100,12900,"Фото/видео: 8-10 календ.дней
Доставка: 12-14 календ.дней",
,,,1000,"20,0","1898,0",,,,,
,,,5000,"19,7","1872,0",,,,,
