,"Менеджер: 
Email: 
Телефон: ",,"Попова Дарья
daryap@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
 ,Джибитсы,"Материал: ПВХ
Размер: по макету клиента
Упаковка: опп
Примечание от фабрики: 
Стоимость указана за 1 дизайн
Для точных цен и точного кастома обязательно нужен макет. Сейчас смогли рассчитать только примерно",Дизайн: открытие формы по макету клиента,500,"0,97","81,68","40 841,29",40-47,"1,01","85,19","42 596,89",30-37,12000 (за 1 стиль),10,20-22,
,,,,1000,"0,79","66,05","66 050,33",,"0,83","69,56","69 561,53",,,,,
 ,"Ремувка
(без джибитсов)","Материал: ПВХ
Размер: 267*25 мм
Упаковка: опп
Примечание от фабрики: 
Стоимость указана только за ремувку, без джибитсов
Для точных цен и точного кастома обязательно нужен макет. Сейчас смогли рассчитать только примерно",Дизайн: открытие формы по макету клиента,500,"2,21","185,66","92 827,67",40-47,"2,38","199,70","99 850,07",30-37,14 000,10,20-22,
,,,,1000,"1,86","156,29","156 290,83",,"2,03","170,34","170 335,63",,,,,
 ,Значки,"Материал: цинковый сплав
Размер: по макету клиента, примерно 4 см
Упаковка: опп
Примечание от фабрики: 
Стоимость указана за 1 дизайн
Для точных цен и точного кастома обязательно нужен макет. Сейчас смогли рассчитать только примерно",Дизайн: открытие формы по макету клиента,500,"2,39","201,07","100 537,23",45-55,"2,49","208,80","104 399,55",35-45,14000 (за 1 стиль),10,20-22,
,,,,1000,"2,04","171,71","171 709,97",,"2,14","179,43","179 434,61",,,,,
 ,Брелок-головоломка,"Материал: пластик
Размер: 8,3*6,2 см
Упаковка: опп
Примечание от фабрики: 
","Дизайн: нет, сток",500,"2,16","181,69","90 843,75",35-45,"2,48","208,02","104 010,75",25-35,3 000,5,15-17,
,,,,1000,"1,81","152,32","152 323,00",,"2,13","178,66","178 657,00",,,,,
 ,Книга-бизиборд,"Материал: войлок
Размер: 28*34(с ручками) см
Упаковка: опп
Примечание от фабрики: 
 
","Дизайн: нет, сток",500,"9,09","763,81","381 905,00",35-45,"10,37","870,91","435 455,00",25-35,3 700,5,15-17,
,,,,1000,"8,78","737,54","737 540,00",,"10,06","844,64","844 640,00",,,,,
 ,3D головоломка,"Материал: пластик
Размер: 11*15*4 см
Упаковка: опп
Примечание от фабрики: 
 
","Дизайн: нет, сток",500,"3,06","265,77","132 885,00",35-45,"3,44","301,50","150 750,00",25-35,2 500,5,15-17,
,,,,1000,"2,86","249,31","249 310,00",,"3,25","285,04","285 040,00",,,,,
 ,Детский микроскоп,"Материал: пластик
Размер: 17,6*9,2*3,8 см (упаковка)
Упаковка: фабричная коробка
Примечание от фабрики: 
 
","Дизайн: нет, сток",500,"23,44","1 996,56 ₽","998 278,89",33-37,"24,10","2 058,16 ₽","1 029 078,89",23-27,5 000,5,15-17,
,,,,1000,"21,91","1 867,37 ₽","1 867 365,39",,"22,55","1 925,89 ₽","1 925 885,39",,,,,
 ,Магнитная игра,"Материал: картон, магнит
Размер: см.доп.фото
Упаковка: фабричная коробка
Примечание от фабрики: 
 
","Дизайн: нет, сток",500,"13,70","1 219,47 ₽","609 736,11",33-37,"16,03","1 435,07 ₽","717 536,11",23-27,6 000,5,15-17,
,,,,1000,"12,67","1 129,13 ₽","1 129 134,11",,"14,88","1 333,95 ₽","1 333 954,11",,,,,
 ,Конструктор с электромотором ,"Материал: пластик
Размер: 10,5*16*5,5 см
Упаковка: фабричная коробка
Примечание от фабрики: 
 
","Дизайн: нет, сток",500,"8,55","759,09 ₽","379 546,30",33-37,"10,38","928,49 ₽","464 246,30",23-27,6 000,5,15-17,
,,,,1000,"7,77","691,77 ₽","691 773,46",,"9,51","852,70 ₽","852 703,46",,,,,
 ,Конструктор пиксельный,"Материал: пластик
Размер: см. доп. фото
Упаковка: фабричная коробка
Примечание от фабрики: 
 
стоимость за 1 фигурку указана","Дизайн: нет, сток",500,"2,58","225,56 ₽","112 778,89",33-37,"2,94","259,44 ₽","129 718,89",23-27,6 000,5,15-17,
,,,,1000,"2,10","184,92 ₽","184 915,39",,"2,45","217,10 ₽","217 101,39",,,,,
 ,Игра крестики-нолики,"Материал: пластик
Размер: 7,5*2,5 см
Упаковка: фабричная коробка
Примечание от фабрики: 
 
","Дизайн: нет, сток",500,"4,80","413,46 ₽","206 730,56",33-37,"5,21","451,96 ₽","225 980,56",23-27,6 000,5,15-17,
,,,,1000,"4,21","363,42 ₽","363 423,56",,"4,60","400,00 ₽","399 998,56",,,,,
 ,Ночник,"Материал: пластик
Размер: 30*12,5*7,5 см
Упаковка: фабричная коробка
Примечание от фабрики: 
 
","Дизайн: нет, сток",500,"13,46","1 172,52 ₽","586 258,89",33-37,"14,88","1 303,42 ₽","651 708,89",23-27,6 000,5,15-17,
,,,,1000,"12,44","1 084,53 ₽","1 084 527,39",,"13,79","1 208,88 ₽","1 208 882,39",,,,,
 ,Ночник,"Материал: пластик
Размер: см. фото
Упаковка: фабричная коробка
Примечание от фабрики: 
 
","Дизайн: нет, сток",500,"4,26","369,31 ₽","184 653,33",33-37,"4,66","406,27 ₽","203 133,33",23-27,6 000,5,15-17,
,,,,1000,"3,69","321,48 ₽","321 476,83",,"4,07","356,59 ₽","356 588,83",,,,,
 ,Ночник Майнкрафт,"Материал: пластик
Размер: 12*3*15,3 см
Упаковка: фабричная коробка
Примечание от фабрики: 
 
","Дизайн: нет, сток",500,"12,50","1 081,53 ₽","540 763,24",33-37,"13,56","1 179,36 ₽","589 680,88",23-27,6 000,5,15-17,
,,,,1000,"11,53","998,09 ₽","998 085,65",,"12,54","1 091,03 ₽","1 091 029,18",,,,,
 ,Пзу с приставкой,"Материал: сплав
Размер: 116 мм*75,6 мм*16 мм
Упаковка: фабричная коробка
Примечание от фабрики: 
 
","Дизайн: нет, сток",500,"44,03","3 728,24 ₽","1 864 119,00",33-37,"45,05","3 822,49 ₽","1 911 243,00",23-27,9 000,5,15-17,
,,,,1000,"41,15","3 485,00 ₽","3 484 997,10",,"42,12","3 574,53 ₽","3 574 532,70",,,,,
