 ,Свеча,"Материал: костяной фарфор
Размер:  7.4 х 8.7 см
Объем: 250 мл
Упаковка: белая транспортировочная с лого
Примечания: требуется открытие формы по размерам,заливка будет на сторонней фабрике,кокосовый воск, ароматические масла, деревянный фитиль.", Дизайн: черная деколь,3100,"8,7","785,1",85-92,"10,1","909,5",75-82,"20000 рублей за фарфоровый стаканчик и коробочку+12000 рублей на заливку свечи,итого 32000рублей",30,40-42,,,,,,
 ,стаканчик под свечу,"Материал: костяной фарфор
Размер:  7.4 х 8.7 см
Объем: 250 мл
Упаковка: белая транспортировочная с лого
Примечания: требуется открытие формы по размерам", Дизайн: черная деколь,3100,"4,8","428,1",65-70,"5,5","493,3",55-60,"20000 рублей за фарфоровый стаканчик и коробочку+12000 рублей на заливку свечи,итого 32000рублей",30,40-42,,,,,,
 ,Шоппер 1,"Материал: курточная ткань, наполнитель PET
Размер:  38 х 38 см
Длина ручки: 24.5 см
Упаковка: индивидуальный пакет
Примечания: горизонтальная прострочка"," Дизайн: печать лого, ДТФ + шеврон",300 (мин),"16,5","1483,4",55-60,"18,4","1657,6",45-50,13 480,7,17-19,,,,,,
 ,Шоппер 2,"Материал: курточная ткань, наполнитель PET
Размер:  38 х 38 см
Длина ручки: 24.5 см
Упаковка: индивидуальный пакет
Примечания: горизонтальная прострочка"," Дизайн: печать лого, ДТФ + шеврон",500 (мин),"13,4","1205,3",40-45,"15,0","1351,6",30-35,13 520,7,17-19,,,,,,
,Рюкзак,"Материал: ПВХ 300D, полиэфир
Фурнитура: молния 5 # YKK
Размер:  31 х 14 х 41 см
Цвет: пантон Cool Gray 11C
Упаковка: индивидуальный пакет"," Дизайн: печать лого, ДТФ + бирка с цифровой печатью + стропы с градиентом",545,"30,3","2727,3",55-60,"32,5","2928,2",45-50,15 960,7,17-19,,,,,,
 ,Зонт полуавтоматический,"Материал: эпонж, стеклопластик
Размер:  105 х 78 см
Длина ручки: 24.5 см
Упаковка: яехол + индивидуальный пакет"," Дизайн: выкрас в пантон 544С, перфорация паттерна на внутренней стороне купола",2560,"13,1","1181,3",45-50,"15,7","1416,9",35-40,5 750,4,14-16,,,,,,
 ,Ручка ,"Материал: картон
Размер:  14,5 см
Упаковка: белая коробка, в коробке 100 шт 
Примечания: минимальный тираж для выкраса в пантон 10000шт "," Дизайн: печать лого, УФ печать ",218,"0,5","49,0",35-40,"0,6","51,3",25-30,5 500,4,14-16,,,,,,
 ,Бутылка с фильтром ,"Материал: тритан, микроволокно 
Размер:  23,5х7,8 см
Упаковка: подарочная упаковка 
Примечания: "," Дизайн: печать лого, УФ печать 
нанесение лого на коробку ",2989,"15,6","1399,1",55-60,"16,7","1506,8",45-50,11 500,7,17-19,,"нам нужно найти максимально похожую бутылку. То, что сейчас предложено не проходит ни по цене ни по форм-фактору",сл строка,,,
,Бутылка,"Материал: PC
Размер:  560 мл
Упаковка: белая упаковка 
Примечания: "," Дизайн: печать лого, УФ печать 
",2989,"4,8","433,4",50-55,"6,1","547,9",40-45,6 000,7,17-19,,,,,,
 ,Беспроводное зарядное устройство ,"Материал: ABS
Размер:  15х7,25х2,5 см
Упаковка: индивидуальная коробка 
Примечания: "," Дизайн: печать лого, УФ печать ",529,"5,9","528,5",35-40,"6,5","586,1",25-30,5 500,7,17-19,,"просим найти форм-фактор более похожий на референс: с прямыми углами, а не со скругленными ",сл строка,,,
 ,Беспроводное зарядное устройство ,"Материал: ABS
Размер:  11,5 х 7 х 1,5 см
Упаковка: индивидуальная коробка 
Примечания: 
Входное напряжение (10 Вт):9 В, 2 А / 1,67 А
Входное напряжение (15 Вт):5 В, 3 А / 9 В, 2,22 А
Рабочая частота:100-200 кГц
Расстояние зарядки: 3-8 мм
"," Дизайн: печать лого, шелкография ",529,"9,4","842,5",50-55,"10,0","903,3",40-45,5 400,7,17-19,,,,,,
,Белая коробка,"Материал: микрогофрокартон трёхслойный Т-11 белый/бурый 
Размер: 754 х 735 х 1,5 ( +/- 2) мм
Упаковка: индивидуальный пакет
Примечания:",Дизайн: белая коробка,135,"6,3","565,3",35-40,"7,3","652,6",25-30,6 085,5,15-17,,,,,,
,Коффер,"Материал: чашка - нержавеющая сталь 304 с двойными стенками, крышка - пластик с силиконовым уплотнителем на слайдере
Размер: 360 мл, 11,5*8*6 см (с коробкой - 12,6*9,5 см)
Упаковка: индивидуальная белая коробка с печатью лого
Примечания:
*посчитано 9 274 шт белого цвета и 9 274 шт черного цвета, вторая строчка - цена при заказе всего тиража (и белого, и черго цвета), первая строчка - цена при заказе половины тиража (только черный или только белый)","Дизайн: 
- черный/белый цвет корпуса чашки
- вдавливание лого в соответствии с макетом (30*20 мм)
- брендирование коробки с помощью нанесения лого бесцветным уф лаком",9 274,"5,3","474,9",45-50,"6,2","560,8",35-40,86 000,15,25-27,,,,,,
,,,,18 548,"5,1","454,8",,"6,0","538,0",,,,,,,,,,
,Картхолдер подставка MagSafe,"Материал: кожзам
Размер: 9,5*6,3*0,3 см
Упаковка: индивидуальная упаковка","Дизайн: черный цвет кожи из наличия, тиснение логотипа 15*15 см",460,"4,1","365,0",45-50,"4,2","381,4",35-40,13 500,7,17-19,,,,,,
,Кардхолдер со скошенным карманом на кнопке,"Материал: кожзам софт-тач
Размер: 100*70 мм
Упаковка: индивидуальный пакет 
Примечания:
*разбивка по цветам: серый, белый, черный - по 152 шт каждый (кожа цвета близкого к пантону, на выбор из раслакди фабрики)","Дизайн: выбор материала из раскладки фабрики (и внутреннего, и внешнего), тиснение лого 30 см2",456,"3,5","316,0",40-45,"3,6","323,9",30-35,6 500,3,13-15,,,,,,
,"Спортивная бутылка для воды, с лого СБЕР Первый","Материал: тритан
Размер: 1000 мл, 8*29,5 см
Упаковка: индивидуальная коробка
Примечания: 
индивидуальный цвет от 1000 шт/цвет
бутылка без фильтра","Дизайн: 
- нанесение логотипа 1 цвет шелкография
- цвет из наличия
- индивидуальный дизайн коробки",2202 (по 734 шт / цвет),"8,2","740,0",45-50,"9,4","844,3",35-40,"8600- бутылка/1 цвет, 9300 коробка",7,17-19,,"Здесь нужна бутылка с фильтром! найдите, пожалуйста, максимально похжую и подходящую по цене",,,,
,,"Материал: тритан
Размер: 1000 мл, 8*29,5 см
Упаковка: индивидуальная коробка
Примечания: 
индивидуальный цвет от 1000 шт/цвет
бутылка без фильтра","Дизайн: 
- нанесение логотипа 1 цвет шелкография
- индивидуальный цвет в пантон (3 цвета)
- индивидуальный дизайн коробки",3000 (1000/цвет),"8,0","715,9",50-55,"9,1","816,9",40-45,"23700 - бутылка/ 1 цвет
9300 коробка",15,25-27,,,"Есть максимально похожая бутылка, она не с фильтром а с чашечкой для чая, добавила на строку ниже
С фильтром единственный похожий вариант, на котором можно сделать выкрас это строчка 35","33 у нас же без выкраса посчитана, будет расчет с выкрасами? ",,
,"Спортивная бутылка для воды, с лого СБЕР Первый","Материал: тритан
Размер: 500 мл, 232*66 мм
Упаковка: индивидуальная коробка
Примечания: 
индивидуальный цвет от 1000 шт/цвет","Дизайн: 
- нанесение логотипа 1 цвет шелкография
- индивидуальный цвет в пантон (3 цвета)
- индивидуальный дизайн коробки",300 (1000/цвет),"9,3","832,8",55-60,"10,7","959,1",45-50,"19300 - бутылка/ 1 цвет
9300 коробка",10,20-22,,,,,,
,Зарядная станция с часами,"Материал корпуса: пластик
Размер: 140*100*72 мм
Цвета: черный, белый
Характеристики: 
Функции: AUX, Bluetooth-соединение, таймер-будильник, TF-карта, FM-радио
Динамик: 5 Вт
Версия Bluetooth: 5.3
Порт зарядки: TYPE C
Время работы: около 6 часов (средняя громкость)
Емкость аккумулятора: DC3.7v 1800mAh
Поддерживаемые протоколы: A2DP, AVRCP, HFP, HSP
Дальность передачи: более 10 метров
Размер динамика: φ50 мм
Беспроводной диапазон: 76～108MHz
Мощность зарядки: DC5V 3A (также совместим с Type C для зарядки динамика и USB/OUT 5V для зарядки мобильного телефона)
Выходная мощность: 5V 1A, 15W
Дисплей: LED
Упаковка: индивидуальная коробка
Примечания: ","Дизайн: 
- нанесение логотипа 1 цвет УФ-печать",3232 (по 1616/цвет),"29,4","2643,4",45-50,"31,6","2839,1",35-40,7 600,5,15-17,,Совершенно не тот форм фактор и высокая стоимость. Давайте еще поищем. Тираж хороший!,"Этот форм фактор есть только у одной фабрики, расчет ниже
И добавила еще один аналог ниже",,,
,Зарядная станция с часами,"Материал корпуса: ABS-пластик
Размер: 140*117*73 мм
Вес: 210 г ± 0,5 г
RGB ночная подсветка 8 цветов
Характеристики:
Функции беспроводная зарядка часы будильник атмосферное освещение USB-зарядка декоративные элементы
Мощность беспроводной зарядки 15W 10W 7.5W 5W
Быстрая беспроводная зарядка 15W
Входное напряжение 5V/2A 9V/2A
Выходное напряжение USB 5V/1A (макс.)
Дисплей времени LED
Упаковка: фабричная коробка","Дизайн: 
- нанесение логотипа 1 цвет УФ-печать",3232 (по 1616/цвет),"25,3","2280,8",60-65,"26,4","2379,2",50-55,15 000,5,15-17,,,,,,
,Зарядная станция с часами,"Материал корпуса: пластик
Размер: 169*80*75 мм
Цвета: черный, белый
Характеристики: 
Функции: беспроводная зарядка, ночная и дневная подсветка, будильник, датчик температуры
Порт зарядки: TYPE C
Выходная мощность: 9V 2A, 15W
Упаковка: индивидуальная коробка
Примечания: ","Дизайн: 
- нанесение логотипа 1 цвет УФ-печать",3232 (по 1616/цвет),"15,5","1394,6",50-55,"16,5","1486,9",40-45,7 000,5,15-17,,,,,,
,"Кружка и сумка с  qr-кодом на
подборку
музыки для бега","Кружка:
Материал: стакан - нержавеющая сталь 304, ручка и крышка с силиконовыми вставками, трубочка - пластик
Размер: 887 мл, 6,8*24,5*9 см
Цвет: зеленый, из наличия

Сумка:
Материал: неопрен, водоотталкивающий
Размер: 10*18 см, плечевой ремешок 25 см
Цвет: зеленый, выбор из раскладки

Упаковка: коробка с шубером 280*215*113 мм","Дизайн: 
- гравировка логотипа на кружке
- пвх шильд на сумке с логотипом
- индивидуальный дизайн коробки",860,"19,9","1794,7",45-50,"24,2","2173,4",35-40,22 900,9,19-21,,,,,,
,Спортивная сумка,"Материал: полиэстер
Размер: 10 × 18 х 2 см,
Примечание: необходимо производство образца, стоимость может быть уточнена ","Дизайн: пантон, нанесение логотипа",3000,"4,1","365,4",45-50,"4,4","399,0",35-40,10 000,7,17-19,,,,,,
,Дорожный органайзер,"Материал: ПВХ 
Отделения (5 шт.): для паспорта, билетов, карт, прав 
Размер: 10×21,8×0,5 см (в сложенном виде)  
Упаковка: индивидуальный полиэтиленовый пакет
Примечание: необходимо производство образца, стоимость может быть уточнена ","Дизайн: пантон, нанесение логотипа",2000,"2,6","236,1",60-65,"3,0","268,8",50-55,13 500,15,25-27,,,,,,
,"Складная силиконовая
термокружка","Материал: пищевой силикон
Размер: 135 х 85 мм
Упаковка: сток ",Дизан: сток,29,"4,9","443,1",30-35,"5,7","511,7",20-25,7 000,3,13-15,,,,,,
,,,Дизайн: нанесение логотипа,500 (мин),"4,3","386,3",35-40,"5,1","454,9",25-30,11 300,7,17-19,,,,,,
,Лампа с модулем беспроводной зарядки,"Материал: ABS
Размеры: 160*85*268 мм, вес: 195 г
Цвета: белый, черный
Технические характеристики:
Выходное напряжение: 5V/2A, 9V/2A
Мощность: 5W, 7.5W, 10W, 15W
Длина кабеля: 1 м
Разъем: Type-C
Светодиоды: 20 шт. (теплый белый)
Примечение: в продукте нет батареи; необходимо подключение к сети

Соответствие ТР ТС 020/2011 ""Электромагнитная соместимость технических средств"".",Дизайн: нанесение логотипа,2580,"8,3","743,0",55-60,"9,2","828,1",45-50,7 000,7,17-19,,,,,,
,Шоппер Invisibag,"Материал: EVA
Размер: 45 х 35 х 7 см, толщина 0,3 см
Упаковка: OPP-пакет
Примечание: изготовление с нуля, необходим образец","Дизайн: Нанесение уф-печать с лаком.
Ручки: цветные 2 стропы градиент",3000,"5,6","504,9",55-60,"6,2","561,1",45-50,17 800,15,25-27,,,,,,
,"Стеклянный стакан с крышкой и силиконовой манжетой,","Материал: боросиликатное стекло
Размер: 13,3 х 9,3 см, 340 мл
Упаковка: сток
Примечание: необходимо производство образца, стоимость может быть уточнена ",Дизайн: нанесение логотипа гравировкой ,1217,"6,3","563,2",50-55,"8,1","727,8",40-45,11 300,15,25-27,,просим найти в точно таком же или более подходящем форм факторе к референсу и по стоимости в рамках бюджета,"В идентичном форм-факторе такой модели нет, но мы можем предложить изготовить стакан (1 фото в доп. фото) в черном цвете с нанесением. Минимальный тираж — 2000 штук.","расчет на мин тираж 2000шт ? 
расчет на готовый вариант - как на фото в черном цвете или розовом/голубом или оба? ","Расчет указан за готовый вариант в черном цвете (фото 2 в дополнительных фото) с нанесением логотипа лазерной гравировкой.

Подтверждение по форме в розово-голубом цвете (фото 1 в дополнительных фото) ожидаем.",Розово-голубая модель (1 фото в доп фото) не смогут изменить цвет крышки и манжета. 
,Кружка стеклянная с двойными стенками,"Материал: Термостойкое боросиликатное стекло, двойные стенки, толщина 1.4–1.5 мм.
Объем: 350 мл
Размер: 145×105×86 мм, диаметр 80 мм, вес: 184 г
Упаковка: подарочная коробка (без окошка) 11x11x11,5 см
Примечание: изготовление с нуля, необходим образец",Дизайн: нанесение логотипа деколью,2000,"6,4","572,5",70-75,"7,7","693,2",60-65,22 200,10,20-22,,"Очень дорого. Можем ли  договориться о скидке? тк суммарно тираж одинаковый, только нанесение отличается. если единовременно запускать 567+2299шт с 2 видами лого","Мы можем объединить тираж 2299+567, но стоимость останется такой же, как для тиража 2299 (выделено зеленым). 

Фабрика рекомендует подтвердить цену для актуальных макетов и утвердить цвета логотипа.",,,
,"Кружка стеклянная с двойными стенками
","Материал: Термостойкое боросиликатное стекло, двойные стенки, толщина 1.4–1.5 мм.
Объем: 350 мл
Размер: 145×105×86 мм, диаметр 80 мм, вес: 184 г
Упаковка: подарочная коробка (без окошка) 11x11x11,5 см
Примечание: изготовление с нуля, необходим образец",Дизайн: нанесение логотипа деколью,2 299,"6,0","542,4",70-75,"7,3","656,7",60-65,22 200,10,20-22,,,,,,
,Бутылка,"Материал: нержавеющая сталь
Объем: 500 мл
Размер: 22.5 х 6.5 см
Упаковка: индивидуальная коробка","Дизайн: нанесение логотипа, 1 цвет",860,"7,6","680,7",30-35,"8,9","804,0",20-25,10 080,5,15-17,,Бутылки не те! Надо найти максимально похожие,,,,
,Бутылка,"Материал: нержавеющая сталь
Объем: 500 мл
Размер: 21.7 х 7 см
Упаковка: индивидуальная коробка","Дизайн: нанесение логотипа, 1 цвет",860,"12,9","1157,3",30-35,"14,7","1325,6",20-25,6 200,5,15-17,,,,,,
,Бутылка с датчиком температуры,"Материал: нержавеющая сталь
Объем: 400 мл
Размер: 22.5х6.3 см
Упаковка: индивидуальная коробка","Дизайн: нанесение логотипа, 1 цвет, шелкография",860,"8,3","747,9",35-40,"9,4","848,8",25-30,6 780,7,17-19,,,,,,
,Бутылка,"Материал: нержавеющая сталь
Объем: 500 мл
Размер: 24.5х7х5.8 см
Упаковка: индивидуальная коробка",Дизайн: гравирока логотипа,860,"12,0","1081,3",30-35,"13,4","1202,5",20-25,4 810,5,15-17,,,,,,
,Бутылка ,"Материал: нержавеющая сталь
Объем: 460 мл
Размер: 22 х 6.6 см
Упаковка: индивидуальная коробка","Дизайн: нанесение логотипа, 1 цвет",970,"13,3","1199,6",40-45,"15,0","1351,0",30-35,7 280,7,17-19,,,строки 57-60,,,
,Бутылка с откидывающейся крышкой,"Материал: нержавеющая сталь
Объем: 500 мл
Размер: 22 х 7.5 см
Упаковка: индивидуальная коробка","Дизайн: нанесение логотипа, 1 цвет",970,"7,2","646,7",30-35,"8,7","780,0",20-25,6 980,5,15-17,,,,,,
,Термокружка,"Материал: нержавеющая сталь 304
Объем: 510 мл
Размер: 9 х 7 х 16.8 см
Упаковка: брендированная коробка с логотипом / сток
Примечания: сохраняет тепло до 12 часов","Дизайн: нанесение логотипа гравировкой / шелкографией, брендированная упаковка, выкрас в пантон",468,"8,1","754,1",37-42,"8,7",810,28-32,6150 (без учета брендированной коробки),3,13-15,,"стаканы с выкрасом в пантоны? прошу рассчитать по ТЗ: с учетом выкраса в пантоны 2 варианта - с брендированной упаковкой и без 
также очень ждем цены на аккумуляторы",готово,"по стаканам прошу рассчитать по ТЗ: с учетом выкраса в пантоны 2 варианта - с брендированной упаковкой и без
Цвета в ассортименте: пантоны Cool Grey 11C, WhiteC, Black 3C.
Соотношение цветов в равных пропорциях (общее количество/количество цветов по ТЗ).",,
,,,"Дизайн: нанесение логотипа гравировкой  / шелкографией, упаковка сток",468,"7,4","690,9",,8,746,,,,,,"стаканы с выкрасом в пантоны? прошу рассчитать по ТЗ: с учетом выкраса в пантоны 2 варианта - с брендированной упаковкой и без 
также очень ждем цены на аккумуляторы",,"по стаканам прошу рассчитать по ТЗ: с учетом выкраса в пантоны 2 варианта - с брендированной упаковкой и без
Цвета в ассортименте: пантоны Cool Grey 11C, WhiteC, Black 3C.
Соотношение цветов в равных пропорциях (общее количество/количество цветов по ТЗ).",,
,ПЗУ,"Материал: пластик
Емкость баратеи: 5000 мАч
Размер: 9.3х6.4х1.4 см
Упаковка: индивидуальная коробка","Дизайн: гравировка логотипа, лого с подсветкой",500 (мин),"10,0","898,1",45-50,"10,7",965,35-40,6 350,7,17-19,,,,,,
,,,"Дизайн: гравировка логотипа, лого с подсветкой, выкрас в пантон (от 500 шт 1 цвет)",500 (мин),"10,7","963,9",,"11,5",1031,,,,,,,,,,
