,"Менеджер: Казакова Екатерина
Email: kate.k@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 240x160 мм 
Упаковка: опп пакет
Примечание от фабрики: 
"," Дизайн: по макету клиента, тканевая бирка",240000,"3,7","296,4",115-120,,,,6 500,18,28-30,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 240x160 мм 
Упаковка: опп пакет
Примечание от фабрики: 

"," Дизайн: по макету клиента, ПВХ бирка",240000,"3,7","298,9",115-120,,,,6 500,18,28-30,
 ,Косметичка,"Материал: стеганый нейлон
Размер: 300x200x120 мм 
Упаковка: опп пакет
Примечание от фабрики: 

"," Дизайн: по макету клиента, тканевая бирка",285000,"4,6","371,2",115-120,,,,6 500,18,28-30,
,Косметичка,"Материал: стеганый нейлон
Размер: 300x200x120 мм 
Упаковка: опп пакет
Примечание от фабрики: 

"," Дизайн: по макету клиента, ПВХ бирка",285000,"4,7","373,6",115-120,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 130x100x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

"," Дизайн: по макету клиента, тканевая бирка",515000,"2,8","220,3",130-135,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 130x100x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

"," Дизайн: по макету клиента, ПВХ бирка",515000,"2,8","222,6",130-135,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 160x240x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

"," Дизайн: по макету клиента, тканевая бирка",240000,"2,9","230,0",115-120,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 160x240x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

"," Дизайн: по макету клиента, ПВХ бирка",240000,"2,9","232,6",115-120,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 300x200x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

"," Дизайн: по макету клиента, тканевая бирка",285000,"4,7","373,8",115-120,,,,6 500,18,28-30,
 ,Косметичка,"Материал: вельвет
Размер: 300x200x50 мм
Упаковка: опп пакет
Примечание от фабрики: 

"," Дизайн: по макету клиента, ПВХ бирка",285000,"4,7","376,1",115-120,,,,6 500,18,28-30,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ОТДЕЛЬНО ПОДВЕСЫ,,,,,,,,,,,,,,
 ,Подвес,"Материал: пластик
Размер: 5 см, 4,5 см, карабин 5,5 см
Упаковка: заводская упаковка
Примечание от фабрики: 

Открытие формы включено в стоимость образца", Дизайн: по макету клиента,240 000,"0,5","40,8",65-70,,,,151 000,14,24-26,
,,,,285 000,"0,5","40,6",70-75,,,,,,,
,,,,515 000,"0,5","39,3",80-85,,,,,,,
 ,Подвес,"Материал: пластик
Размер: 4,5 см, карабин 5,5 см
Упаковка: заводская упаковка
Примечание от фабрики: 

Открытие формы включено в стоимость образца", Дизайн: по макету клиента,240 000,"0,4","32,6",65-70,,,,,,,
,,,,285 000,"0,4","32,4",70-75,,,,,,,
,,,,515 000,"0,4","31,9",80-85,,,,,,,
