 ,Вентилятор ,"Материал: Пластик 
Размер: 58*60*165 мм
Упаковка: заводская упаковка 
Примечание от фабрики: 
Доступно три цвета: синий, розовый, бежевый (см. доп. фото)

Емкость аккумулятора - 1200мАч-2000мАч
5 режимов скорости 
Зарядка через usb 
Уровень шума - 70 ДБ","Дизайн: печать логотипа 1 цвет , выбор цвета из доступных на фабрике",500,"10,8","953,6","476 805,00",30-35,4 000,10,
,,,,1000,"10,5","927,3","927 340,00",30-35,,,
 ,Термобутылка ,"Материал: нержавеющая сталь 304
Размер: 
Объем - 700мл
Упаковка: заводская упаковка 
Примечание от фабрики: 

Логотипы могут быть нанесены шелкографией или лазером (цена актуальна для способа нанесения шелкографией)

Пластиковые детали не подлежат перекраске и могут быть только чёрного цвета. Корпус стакана можно покрасить в любой цвет. 

Минимальный заказ для бутылки объёмом 500 мл составляет 3000 ед. 

","Дизайн: термочувствительный материал, печать логотипа, 1 цвет (шелокография), выбор цвета из вариантов в наличии фабрики (см. основное фото)",500,"30,0","2665,2","1 332 585,00",60-65,15 500,12,
,,,,1000,"29,7","2638,9","2 638 900,00",60-65,,,
 ,Коробка маленькая ,"Материал: Картон 
Размер:  140*170*55 мм
Упаковка: заводская упаковка 
Примечание от фабрики: 

",Дизайн: по макету ,5000,"1,5","132,5","662 350,00",40-45,17 000,10,
,,,,8000,"1,4","127,4","1 019 360,00",40-45,,,
 ,Коробка средняя,"Материал: Картон 
Размер: 220*200*96 мм
Упаковка: заводская упаковка 
Примечание от фабрики: 

",Дизайн: по макету ,5000,"4,2","378,3","1 891 400,00",40-45,21 000,10,
,,,,8000,"4,1","372,0","2 976 080,00",40-45,,,
 ,Бутылка,"Материал: Нержавеющая сталь 304
Размер: указан в доп фото
Упаковка: заводская упаковка 
Примечание от фабрики: Цена рассчитана для объема 500мл

",Дизайн: Полноцветная запечатка по макету клиента,500,"19,47","1 738,42 ₽","869 210,00",30-35,14 800,10,
,,,,1000,"17,76","1 588,30 ₽","1 588 304,00",30-35,,,
 ,Шоппер ,"Материал: войлок 
Размер: по индивидуальному размеру, 35*25*15 см 
Упаковка: заводская упаковка ОРР пакет 
Примечание от фабрики: 
При изменении способа нанесения логотипа, а также при значительной детализации логотипа (если в нем много маленьких деталей и\или есть факторы, усложняющие печать) цена может измениться 

","Дизайн: 
Доступные цвета см. доп. фото
Печать логотипа с одной стороны 
Способ печати - лазерная гравировка  (также возможны шелкография и цветная печать, влияет на окончательную цену)
Без подклада ",500,"8,84","802,08 ₽","401 040,00",30-35,4 500,7,
,,,,1000,"8,72","792,13 ₽","792 130,00",30-35,,,
 ,Шоппер ,"Материал: войлок 
Размер: стоковый, 35*25*15 см 
Упаковка: заводская упаковка ОРР пакет 
Примечание от фабрики: 


","Дизайн: 
Доступные цвета см. доп. фото
Печать логотипа с двух сторон
Способ печати - лазерная гравировка
Без подклада ",500,"8,81","799,63 ₽","399 815,00",30-35,4 500,7,
,,,,1000,"8,66","787,21 ₽","787 210,00",30-35,,,
 ,Складной стакан ,"Материал: силикон 
Размер: 
Высота в сложенном виде - 3 см 
Высота в разложенном виде - 10,5 см 
Диаметр горлышка - 9,5 см
Диаметр дна - 53 см 
Упаковка: заводская упаковка 
Примечание от фабрики: 


","Дизайн: 
Доступные цвета см. доп. фото
Печать логотипа на крышке (шелкография) ",500,"10,18","898,34 ₽","449 170,00",30-35,15 500,7,
,,,,1000,"10,02","884,35 ₽","884 350,00",30-35,,,
 ,Светильник в форме книги ,"Материал: Крафт-бумага DuPont (материал абажура) , пластик, дерево 
Размер: 
12 x 9 x 2,5 см
Упаковка: заводская упаковка 
Примечание от фабрики: 
Напряжение ≤36В
Питангие от аккумулятора, зарядный провод в комплекте, инструкция в комплекте 


","Дизайн: 
Доступные цвета см. доп. фото
Печать логотипа на корпусе из дерева ",500,"14,25","1 253,99 ₽","626 995,00",30-35,6 000,7,
,,,,1000,"13,94","1 227,72 ₽","1 227 720,00",30-35,,,
 ,Бутылка для воды ,"Материал: Пластик 
Размер: 

Упаковка: заводская упаковка 
Примечание от фабрики: 
Минимальный тираж для кастомизации 1000 шт.
","Дизайн: 
Доступные цвета см. доп. фото
Печать логотипа на бутылке (шелкография)",1000,"6,28","568,24 ₽","568 240,00",50-55,13 000,10,
,,,,,,,,,,,
 ,Подставка для телефона,"Материал: металл
Размер: 12,8*6,1*0,5см
Упаковка: заводская упаковка 
Примечание от фабрики: доступно два цвета: светло-серый и темно-серый
Минимальный тираж на гравировку 200шт
",Дизайн: гравировка лого,200,"10,85","912,00 ₽","182 400,00",30-35,7 200,5,
,,,,500,"10,46","879,00 ₽","439 500,00",30-35,,,
,,,,1000,"10,30","865,00 ₽","865 000,00",30-35,,,
 ,Дорожная сумка,"Материал: войлок 
Размер: 48*34*30 см
Упаковка: заводская упаковка 
Примечание от фабрики: 


","Дизайн: 
Цвет - серый (войлок)
Индивидуальный пошив по размерам 48*34*30, логотип с двух сторон, 2 цвета ",500,"19,97","1 750,20 ₽","875 100,00",50-55,15 500,10,
,,,,1000,"19,66","1 723,93 ₽","1 723 930,00",50-55,,,
 ,Шоппер ,"Материал: войлок 
Размер: 50*34*30 см, внутренний карман - 23*29 см
Упаковка: заводская упаковка 
Примечание от фабрики: 


","Дизайн: 
Цвет - серый (войлок)
Индивидуальный пошив по размерам 50*34*30, внутренний карман 23*29 см, логотип с двух сторон, 2 цвета ",500,"18,80","1 651,91 ₽","825 955,00",50-55,15 500,10,
,,,,1000,"18,49","1 625,63 ₽","1 625 630,00",50-55,,,
 ,Светильник ,"Материал: дерево 
Размер: 75*90*90 мм
Упаковка: заводская упаковка 
Примечание от фабрики: 


","Дизайн: 
Цвет - стоковый (в доступе 1 цвет, см. фото) 
УФ-печать логотипа, 1 цвет, на верхней части светильника ",500,"37,31","3 294,33 ₽","1 647 165,00",50-55,8 000,7,
,,,,1000,"36,70","3 243,48 ₽","3 243 480,00",50-55,,,
