,"Менеджер: 
Email: 
Телефон: ",,"Багандова Виктория
victoriabagandova@megamind.ru
+8 (991) 641-94-30",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,,
 ,Органайзер для проводов  кожа Энди производство Энди,"Материал: Натуральная кожа, искусственная кожа 
Размер: 
Вес - 87г 
Длина - 16 
Ширина - 9,2
Высота -  2,2
В разобранном виде Ширина -  19

Лого - 1,5 см (диаметр) 
Ширина внутреннего кармана - 8 см
Ширина внутреннего держателя для проводов - 3,5 см 
Длина ремешка - 10,5 
Ширина ремешка - 3,5 

Упаковка: заводская упаковка 
Примечание от фабрики: 
Закупаем зеленую искусственную кожу у другой фабрики (софттач, лаймовый цвет, см. доп. фото)
Фурнитура - скрытый магнит  

Цена с учетом зеленой кожи "," Дизайн: 
Логотип - ""S7"" на внутреннем кармашке - тиснение 
2 слоя:
Снаружи натуральная кожа 
Внутри ПУ, цвета из каталога 
Внутренняя организация органайзера см. доп фото

",3000,"21,3","1629,35",4888050,50-55,,,0,,"22,500",12000.00,10,20-22,
,,,,5000,"21,01",1678.0,8390000,50-55,,,0,,,,,,
 ,Пыльник для органайзера ,"Материал: хлопок
Размер: индивидуальный, под размер органайзера 

Упаковка: заводская упаковка 
Примечание от фабрики: 

"," Дизайн: 
доступные цвета см. доп фото ",3000,"1,41","119,1",4888050,50-55,"1,44",121.5,364380,45-50,"20,300",11712.00,10,20-22,
,,,,5000,"1,35","113,96",4888050,50-55,"1,37",116.3,581600,45-50,,,,,
 ,Коробка для органайзера ,"Материал: бумага
Размер: индивидуальный, по размеру органайзера (3*16,3*10см)

Упаковка: заводская упаковка 
Примечание от фабрики: 
"," Дизайн: 
по макету 
Нанесение дизайна + выкрас в пантон 
",3000,"0,46","38,54",4888050,50-55,"0,86",75.9,227760,45-50,"18,000","10266,83",10,20-22,
,,,,5000,"0,44","36,59",4888050,50-55,"0,84",74.0,369900,45-50,,,,,
 ,Органайзер для проводов  кожа фабрики Х производство Энди,"Материал: Натуральная кожа, искусственная кожа 
Размер: 
Вес - 87г 
Длина - 16 
Ширина - 9,2
Высота -  2,2
В разобранном виде Ширина -  19

Лого - 1,5 см (диаметр) 
Ширина внутреннего кармана - 8 см
Ширина внутреннего держателя для проводов - 3,5 см 
Длина ремешка - 10,5 
Ширина ремешка - 3,5 

Упаковка: заводская упаковка 
Примечание от фабрики: 
Закупаем зеленую искусственную кожу у другой фабрики (софттач, лаймовый цвет, см. доп. фото)
Фурнитура - скрытый магнит  

Цена с учетом зеленой кожи "," Дизайн: 
Логотип - ""S7"" на внутреннем кармашке (выше) - тиснение 
2 слоя:
Снаружи натуральная кожа (фабрика Х)
Внутри ПУ, цвета из каталога 

Включена обработка края как у органайзера фабрики Х 
Форма ремешка - полугруг 
Крепление кармана как у Энди 
Все нюансы, связанные с методом крепления фурнитуры \ методом прошивки \ крепление карманов -- все как у Энди
Внутренняя организация органайзера см. доп фото

",3000,"16,38","1375,91",4888050,55-60,"16,42","1382,00",4146000,50-55,"20,500",4361.97,10,20-22,
,,,,5000,16.1,"1352,57",4888050,55-60,"16,14","1358,66",6910000,50-55,,,,,
 ,Чехол для проводов - фабрика Х ,"Материал: Натуральная кожа
Размер:
8*8см
Упаковка: заводская упаковка
Примечание от фабрики: 

"," Дизайн: 
Логотип - ""S7"" на задней стороне органайзера, тиснение 
Варианты фурнитуры см. доп. фото 
Цвет - 610 из раскладки (см. доп. фото) 
",3000,"3,13",271.0,812940,60-65,"3,46",301.9,905610,55-60,"17,800",10300.00,10,20-22,
,,,,5000,"3,04",263.4,1316900,60-65,"3,37",294.3,1471350,55-60,,,,,
 ,Чехол для проводов 1 слой  - фабрика Х ,"Материал: Натуральная кожа 
Размер:
Вес - 87г 
Длина - 16 
Ширина - 9,2
Высота -  2,2
В разобранном виде Ширина -  19

Лого - 1,5 см (диаметр) 
Ширина внутреннего кармана - 8 см
Ширина внутреннего держателя для проводов - 3,5 см 
Длина ремешка - 10,5 
Ширина ремешка - 3,5 
Упаковка: заводская упаковка
Примечание от фабрики: 
Цены указаны ориентировочно, итоговая сумма зависит от выбранных вариантов и подтверждения фабрик"," Дизайн: 
Логотип - ""S7""
Способ нанесения логотипа - тиснение ",3000,"19,84",1655.6,4966830,60-65,"20,59",1754.8,5264490,55-60,"18,000",10588.24,10,20-22,
,,,,5000,"19,55",1655.6,8278050,60-65,"20,3",1730.0,8650100,55-60,,,,,
 ,Чехол для проводов 1 слой  - фабрика Энди ,"Материал: Натуральная кожа 
Размер:
Вес - 87г 
Длина - 16 
Ширина - 9,2
Высота -  2,2
В разобранном виде Ширина -  19

Лого - 1,5 см (диаметр) 
Ширина внутреннего кармана - 8 см
Ширина внутреннего держателя для проводов - 3,5 см 
Длина ремешка - 10,5 
Ширина ремешка - 3,5 
Упаковка: заводская упаковка
Примечание от фабрики: 
Цены указаны ориентировочно, итоговая сумма зависит от выбранных вариантов и подтверждения фабрик"," Дизайн: 
Логотип - ""S7""
Способ нанесения логотипа - тиснение ",3000,"15,82",1356.8,4070400,60-65,"16,06",1387.8,4163250,55-60,"25,000",12868.00,10,20-22,
,,,,5000,"14,99",1285.4,6426950,60-65,"15,21","1306,18",#VALUE!,55-60,,,,,
 ,Чехол для проводов - фабрика Энди ,"Материал: Натуральная кожа
Размер:
8*8см
Упаковка: заводская упаковка
Примечание от фабрики: 

"," Дизайн: 
Логотип - ""S7"" на задней стороне органайзера, тиснение 
Варианты фурнитуры см. доп. фото 
Цвет - 610 из раскладки (см. доп. фото) 
",3000,"3,31",290.4,871320,60-65,"3,42",300.2,900600,55-60,"13,000",6854.00,10,20-22,
,,,,5000,"3,14",275.2,1375800,60-65,"3,24",284.4,1422000,55-60,,,,,
,,,,,,,,,,,,,,,,,
Обновление от 6.10,,,,,,,,,,,,,,,,,
,Однослойный органайзер с добавлением дополнительного слоя СЕРОЙ натуральной кожи в ремешок и во внутренний карман ,"Материал: Натуральная кожа
Размер:
Вес - 87г 
Длина - 16 
Ширина - 9,2
Высота -  2,2
В разобранном виде Ширина -  19

Лого - 1,5 см (диаметр) 
Ширина внутреннего кармана - 8 см
Ширина внутреннего держателя для проводов - 3,5 см 
Длина ремешка - 10,5 
Ширина ремешка - 3,5 
Упаковка: заводская упаковка
Упаковка: заводская упаковка
Примечание от фабрики: 

В случае добавления магнита в органайзер, добавление второго слоя натуральной кожи в ремешок и во внутренний (большой) карман обязательно, иначе не получится встроить магнит. В таком случае, на наружней стороне органайзера будет расположен шов (расположение шва и его примерный внешний вид см. доп. фото)

От формы ремешка (округлая или квадратная) цена не меняется, но фабрика советует делать хотя бы небольшое скругление, так как магнит внутри - круглый (это проще и быстрее на производстве)"," Дизайн: 
Логотип - ""S7"" на ремешке 
Способ нанесения логотипа - тиснение

Один слой натуральной кожи на основании органайзера, добавление дополнительного слоя натуральной кожи на ремешок и во внутренний карман. 

Органайзер закрывается на скрытый магнит 

Подбор нитей для швов - максимально близкий к цвету органайзера)  ",1000,"17,27",1472.3,1472290,60-65,"17,47",1490.8,1490770,55-60,20000,"11712,33",12,22-24,
,Однослойный органайзер с добавлением дополнительного слоя СЕРОЙ натуральной кожи в ремешок и во внутренний карман ,"Материал: Натуральная кожа
Размер:
Вес - 87г 
Длина - 16 
Ширина - 9,2
Высота -  2,2
В разобранном виде Ширина -  19

Лого - 1,5 см (диаметр) 
Ширина внутреннего кармана - 8 см
Ширина внутреннего держателя для проводов - 3,5 см 
Длина ремешка - 10,5 
Ширина ремешка - 3,5 
Упаковка: заводская упаковка
Упаковка: заводская упаковка
Примечание от фабрики: 

В случае добавления магнита в органайзер, добавление второго слоя натуральной кожи в ремешок и во внутренний (большой) карман обязательно, иначе не получится встроить магнит. В таком случае, на наружней стороне органайзера будет расположен шов (расположение шва и его примерный внешний вид см. доп. фото)

От формы ремешка (округлая или квадратная) цена не меняется, но фабрика советует делать хотя бы небольшое скругление, так как магнит внутри - круглый (это проще и быстрее на производстве)"," Дизайн: 
Логотип - ""S7"" на ремешке 
Способ нанесения логотипа - тиснение

Один слой натуральной кожи на основании органайзера, добавление дополнительного слоя натуральной кожи на ремешок и во внутренний карман. 

Органайзер закрывается на скрытый магнит 

Подбор нитей для швов - максимально близкий к цвету органайзера)  ",3000,17.1,1401.8,4205520,60-65,"16,63",1420.3,4260960,55-60,20000,"11712,33",12,22-24,
,Однослойный органайзер с добавлением дополнительного слоя СЕРОЙ натуральной кожи в ремешок и во внутренний карман ,"Материал: Натуральная кожа
Размер:
Вес - 87г 
Длина - 16 
Ширина - 9,2
Высота -  2,2
В разобранном виде Ширина -  19

Лого - 1,5 см (диаметр) 
Ширина внутреннего кармана - 8 см
Ширина внутреннего держателя для проводов - 3,5 см 
Длина ремешка - 10,5 
Ширина ремешка - 3,5 
Упаковка: заводская упаковка
Упаковка: заводская упаковка
Примечание от фабрики: 

В случае добавления магнита в органайзер, добавление второго слоя натуральной кожи в ремешок и во внутренний (большой) карман обязательно, иначе не получится встроить магнит. В таком случае, на наружней стороне органайзера будет расположен шов (расположение шва и его примерный внешний вид см. доп. фото)

От формы ремешка (округлая или квадратная) цена не меняется, но фабрика советует делать хотя бы небольшое скругление, так как магнит внутри - круглый (это проще и быстрее на производстве)"," Дизайн: 
Логотип - ""S7"" на ремешке 
Способ нанесения логотипа - тиснение

Один слой натуральной кожи на основании органайзера, добавление дополнительного слоя натуральной кожи на ремешок и во внутренний карман. 

Органайзер закрывается на скрытый магнит 

Подбор нитей для швов - максимально близкий к цвету органайзера)  ",5000,"15,88",1355.4,6776850,60-65,"16,08",1373.9,6869250,55-60,20000,"11712,33",12,22-24,
