,"Менеджер: Алина Титова
Email: alina@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
 ,Нашивки на липучке для толстовки 5 шт,"Материал: полиэстер
Размер: 5*5
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: инд дизайн,1000,"3,075","316,68",45-50,"3,138","323,25",35-40,11 000,10,20-22,
,,,,3000,"2,883","296,99",45-50,"2,943","303,17",35-40,,,,
,,,,5000,"2,701","278,23",45-50,"2,757","284,02",35-40,,,,
 ,сумка для ноутбука ,"Материал: кожа
Размер: 40*25 см
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: тиснение,200,"92,772","8349,49",75-80,"99,005","8910,49",65-70,18 000,10,20-22,
,,,,300,"90,693","8162,36",75-80,"96,926","8723,36",65-70,,,10-12,
 ,,"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,,,,,,,0,,,10-12,
 ,,"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,,,,,,,0,,,10-12,
 ,,"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,,,,,,,0,,,10-12,
 ,,"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,,,,,,,0,,,10-12,
 ,,"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,,,,,,,0,,,10-12,
 ,,"Материал: 
Размер: 
Упаковка: 
Примечание от фабрики: ", Дизайн: ,,,,,,,0,,,10-12,
,,,,,,,,,,,328650,,,
