,,,,,,,5000,"1,2","103,9",,"1,5","135,8",,,,,,,
 ,Папка на молнии,,"Материал: оксфорд 
Размер: 13 дюймов, 34,5*36,5 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: "," Дизайн: нанесение лого 
Размер: 5*5 см",ДС- 14500 ,,500,-,-,-,-,-,-,,,8 500,5,15-17,
,,,,,,,1000,-,-,-,-,-,-,,,,,,
,,,,,,,2000,"2,8","245,8",40-45,"3,4","295,2",30-35,,,,,,
,,,,,,,3000,"2,7","238,3",,"3,3","286,2",,,,,,,
,,,,,,,5000,"2,6","230,9",,"3,2","277,4",,,,,,,
 ,"Стакан для кофе с  крышкой 
",,"Материал: керамика 
Размер: 12,5*8,7 см 
Упаковка: коробка 


Крышка селикон : диаметр 9 см 
Прикинули примерный размер ", Дизайн: деколь ,не нужны ,"1,7",500,"6,7","589,0",35-40,"8,4","735,3",25-30,,,12 000,7,17-19,
,,,,,,"1,65",1000,"6,1","535,1",35-40,"7,7","677,0",25-30,,,,,,
,,,,,,"1,6",2000,"5,8","510,8",35-40,"7,4","648,5",25-30,,,,,,
,,,,,,"1,55",3000,"5,5","487,5",40-45,"7,1","620,9",30-35,,,,,,
,,,,,,"1,5",5000,5.26,"462,5",40-45,"6,7","591,6",30-35,,,,,,
 ,"Обложка на студенческий билет
",,"Материал: кожзам 
Размер: 10,5*14,5 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
Минимальный тираж 500"," Дизайн: тиснение лого 

Размер: 2см",ДС - 14500,"1000- 1,7
2000-3000 1,65
5000 1,6",500,"1,6","139,4",45-50,"1,8","159,7",35-40,2 000,15-17,6 500,4,14-16,
,,,,,,,1000,"1,5","133,7",,"1,7","153,4",,,,,,,
,,,,,,,2000,"1,5","128,9",,"1,7","148,1",,,,,,,
,,,,,,,3000,"1,4","123,6",,"1,6","142,8",,,,,,,
,,,,,,,5000,"1,4","119,7",,"1,6","138,3",,,,,,,
 ,"Кружка прозрачная с двойными стенками (тематика осень)
",,"Материал: высокоборосиликатное стекло
Размер: 350 мл, диаметр дна - 5,5 см, диаметр горла - 8,5 см, высота 11 см
Упаковка: белая коробка
Примечание от фабрики: 
минимальный тираж - 500 шт."," Дизайн: Для нанесения используется низкотемпературная деколь.
Необходим файл в формате AI или PDF.
Исходного файла чашки нет — после разработки макета фабрика по деколи откорректирует размер изображения в соответствии с размером чашки.",ДС включена в цену,"1,7/1,65/1,6/1,55",500,"5,0","440,8",40-45,"6,0","523,7",30-35,2 200,14-17,12 500,7,17-19,
,,,,,,,1000,"4,7","414,5",40-45,"5,7","497,3",30-35,,,,,,
,,,,,,,2000,"4,1","364,5",45-50,"5,1","444,9",35-40,,,,,,
,,,,,,,3000,"4,0","349,3",50-55,"4,9","427,3",40-45,,,,,,
,,,,,,,5000,"3,8","335,2",55-60,"4,7","410,8",45-50,,,,,,
 ,"Грелка для рук",,"Материал: алюминий, ABS
Размер: 10,2*60*2,4 см
Упаковка: индивидуальная коробка 
Примечание от фабрики: 
Температурные режимы: Три уровня настройки: первый - 40°C, второй - 50°C, третий - 60°C
Мощность: 5000 mAh
Минимальный тираж 300 шт "," Дизайн: нанесение лого- шелкография 

Размер: 1,5 см","ДС+СС включен в стомиость 
Дс - 14500 
СС - 85000",,500,"11,8","1037,4",40-45,"12,4","1086,8",30-35,,,4 500,5,15-17,
,,,,,,,1000,"8,7","768,8",,"9,3","815,3",,,,,,,
,,,,,,,2000,"7,6","665,0",,"8,1","711,5",,,,,,,
,,,,,,,3000,"6,9","605,4",,"7,4","651,9",,,,,,,
,,,,,,,5000,"6,6","578,5",,"7,1","625,0",,,,,,,
 ,"Держатель для пропуска",,"Материал: пластик, полиэстер
Размер: 11*7 см внешний размер держателя, 900*20 мм - размер ланьярда
Упаковка: OPP пакет
"," Дизайн: 
- одоносторонняя сублимация на ланьярде, 2 цвета
- односторонний  2х цветный лого на ретракторе, смоляная заливка 
- уф-печать лого на держателе, с одной стороны, 2 цвета, 1*1 см",Не нужны,"1,65",500,"1,7","152,0",45-50,"1,9","163,2",35-40,2 500,15-17,14 500,10,20-22,
,,,,,,"1,6",1000,"1,7","145,8",50-55,"1,8","156,6",40-45,,,,,,
,,,,,,"1,55",2000,"1,5","129,9",50-55,"1,6","140,4",40-45,,,,,,
,,,,,,"1,53",3000,"1,5","128,0",55-60,"1,6","138,3",45-50,,,,,,
,,,,,,"1,5",5000,"1,4","118,4",55-60,"1,5","128,6",45-50,,,,,,
 ,"Бутылка блендер
1",,"Материал: пластик PC
Размер: 380 мл, 7,3*23 см
Упаковка: фабричная коробка
Примечание от фабрики: минимальный тираж 1000 шт"," Дизайн: нанесение лого, шелкография 1 цвет, 2*2 см","СС+ДС
СС = 95 000 руб
ДС = 14 500 руб",-,500,-,-,-,-,-,-,3 000,15-17,14 500,7,17-19,
,,,,,,"1,65",1000,"5,4","477,1",40-45,"6,6","583,6",30-35,,,,,,
,,,,,,"1,6",2000,"5,3","461,9",40-45,"6,4","565,1",30-35,,,,,,
,,,,,,"1,55",3000,"5,1","447,2",45-50,"6,2","547,2",35-40,,,,,,
,,,,,,"1,5",5000,"4,9","430,3",45-50,"6,0","527,1",35-40,,,,,,
 ,"Бутылка блендер
2",,"Материал: пластик PC
Размер: 380 мл, 7,3*23 см
Упаковка: фабричная коробка
Примечание от фабрики: минимальный тираж для нанесение 2х цветного лого - 2000 шт"," Дизайн: нанесение лого, уф-печать 2 цвета., 2*2 см","СС+ДС
СС = 95 000 руб
ДС = 14 500 руб",-,500,-,-,-,-,-,-,3 000,15-17,10 000,7,17-19,
,,,,,,-,1000,-,-,-,-,-,-,,,,,,
,,,,,,"1,6",2000,"6,8","600,0",50-55,"8,0","700,0",40-45,,,,,,
,,,,,,"1,55",3000,"6,7","592,0",55-60,"7,9","690,8",45-50,,,,,,
,,,,,,"1,5",5000,"6,6","580,2",60-65,"7,7","677,0",50-55,,,,,,
 ,"Махровые носки",,"Материал: полиэстер
Размер: женский 36-39, мужской 40-44
Упаковка: OPP пакет
Примечание от фабрики: 
минимальный тираж 1000 пар", Дизайн: цвет из раскладки фабрики,"ЧЗ = 6 500 руб
ДС = 14 500 руб",-,500,-,-,-,-,-,-,2 300,15-17,13 500,10,20-22,
,,,,,,"1,6",1000,"2,5","218,7",40-45,"3,0","264,7",30-35,,,,,,
,,,,,,"1,57",2000,"2,4","213,8",40-45,"2,9","259,0",30-35,,,,,,
,,,,,,"1,55",3000,"2,4","210,8",45-50,"2,9","255,4",35-40,,,,,,
,,,,,,"1,5",5000,"2,3","203,8",50-55,"2,8","247,0",40-45,,,,,,
 ,"Митенки",,"Материал: акриловое волокно
Размер: 20*16*4 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: 
Минимальный тираж 1000 шт "," Дизайн: нанесение лого-  термопечать 
Размер лого: 3 см","ДС+ЧЗ
Включено в стоимость ",,500,-,-,45-50,-,-,35-40,2 000,12-15,9 000,7,17-19,
,,,,,,,1000,"2,8","241,8",,"3,0","265,7",,,,,,,
,,,,,,,2000,"2,7","233,8",,"2,9","257,1",,,,,,,
,,,,,,,3000,"2,6","226,1",,"2,8","249,3",,,,,,,
,,,,,,,5000,"2,5","219,0",,"2,7","241,5",,,,,,,
 ,"Митенки",,"Материал: 98% шерсть, 2% акрил
Размер: единый размер
Упаковка: индивидуальный пакет

Примечание: Цветные митенки из акрила. Ждём раскладку шерсти"," Дизайн: бирка жаккардовая с логотипом, размер до 3*4 см","ДС+ЧЗ
Включено в стоимость ",,500,"3,9","333,8",35-40,"4,2","355,0",25-30,"1800 - в стоке нет митенок с составом шерсти, для образца материала можно заказать перчатки из него, стоимость также 1800",12-15,9 900,7,17-19,
,,,,,,,1000,"3,5","295,1",40-45,"3,7","315,7",30-35,,,,,,
,,,,,,,2000,"3,2","273,8",45-50,"3,5","293,7",35-40,,,,,,
,,,,,,,3000,"3,1","260,2",45-50,"3,3","279,5",35-40,,,,,,
,,,,,,,5000,"2,9","247,9",45-50,"3,1","266,6",35-40,,,,,,
 ,"Флисовый плед
",,"Материал: флис 180 гр
Размер: 100*150 см
Упаковка: чехол-держатель
минимальный тираж 500 шт.

Фабрика может также делать вышивку"," Дизайн: нанесение цифровая печать 2 цвета
Размер 20*25 см",ДС входит в стоимость,,500,"9,7","853,1",40-45,"11,3","993,4",30-35,,,6 600,5,15-17,
,,,,,,,1000,"9,2","811,3",40-45,"10,8","951,6",30-35,,,,,,
,,,,,,,2000,"8,8","774,7",45-50,"10,4","910,8",35-40,,,,,,
,,,,,,,3000,"8,5","747,1",50-55,"10,0","879,1",40-45,,,,,,
,,,,,,,5000,"7,1","624,3",55-60,"8,6","752,2",45-50,,,,,,
 ,"Кружка
","Вариант дизайна предложить","Материал: керамика
Размер: 450 мл, 9*9,9 см
Упаковка: индивидуальная коробка
"," Дизайн: нанесение по мкету, деколь",ДС = 14 500 руб,"1,7",500,"6,2","568,3",40-45,"7,8","731,3",30-35,3 000,15-17,10 500,7,17-19,
,,,,,,"1,65",1000,"5,7","525,0",45-50,"7,3","683,1",35-40,,,,,,
,,,,,,"1,6",2000,"5,3","491,3",45-50,"6,9","644,7",35-40,,,,,,
,,,,,,"1,55",3000,"5,0","466,3",50-55,"6,6","614,9",40-45,,,,,,
,,,,,,"1,5",5000,"4,7","437,5",50-55,"6,2","581,2",40-45,,,,,,
