 ,"Менеджер: 
Email: 
Телефон: ",,"Эмина Арина Ильинична
arinae@megamind.ru
+7 (918) 370-96-97",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
,,,,400,"42,2","3713,9","1 485 560,00",,"45,9","4042,2","1 616 880,00",,,,,
 ,Падел 2 ракетка ,"Материал: ракетка - пластик (50% - углеродное волокно, 50% - стеклянное волокно)
Размер: длина - 46-47 см, толщина - 3,8 см 
Упаковка: инд пакет 
Примечание от фабрики:
*в стоимость не включен мячик
*для образца фабрика может сделать только черный и белый шнурок, при тираже можно выбрать цвет шнурка (закупить материал нужного цвета)  от 5000 шт тираж ","Дизайн: 
- ракетка: цвет близкий к пантону + выбор цвета обмотки ручки + уф-печать двусторонняя в 1 цвет + цвет шнурка на выбор 
",350,"41,4","3297,7","1 154 195,00",90-95,"45,6","3629,3","1 270 255,00",80-85,24 500,30,40-42,
,,,,400,"41,0","3261,6","1 304 640,00",,"45,1","3589,8","1 435 920,00",,,,,
 , Кастомный чехол для паддла,"Материал: ткань Оксфорд 
Размер: 30*50 см 
Упаковка: индивидуальный пакет
Примечание от фабрики:
","Дизайн: 
лого одноцветная шелкография",300,"18,5","1551,9","465 555,00",50-55,"20,4","1713,0","513 912,00",45-50,13 517,7,17-19,
,,,,400,"18,5","1550,4","620 176,00",,"20,4","1713,0","685 216,00",,,,,
 , Кастомный чехол для паддла,"Материал: холщовая ткань
Размер: 30*50 см 
Упаковка: индивидуальный пакет
Примечание от фабрики:
+27 руб за упаковку ракеток в чехлы
","Дизайн: 
лого одноцветная шелкография",300,"19,4","1625,6","487 671,00",50-55,"21,3","1786,8","536 028,00",45-50,13 517,7,17-19,
,,,,400,"19,3","1624,2","649 664,00",,"21,3","1785,3","714 136,00",,,,,
 , Кастомный чехол для паддла,"Материал: ткань Оксфорд
Размер: 35*50 см 
Упаковка: индивидуальный пакет
Примечание от фабрики:
Минимальный тираж 500 шт
+27 руб за упаковку ракеток в чехлы
","Дизайн: 
лого одноцветная шелкография, выбор цвета по раскладке ",500,"18,4","1542,9","771 435,00",55-60,"20,4","1711,6","855 775,00",45-50,11 493,7,17-19,
,,,,,,,,,,,,,,,,
 , Кастомный чехол для паддла,"Материал: ткань Оксфорд
Размер: 35*50 см 
Упаковка: индивидуальный пакет
Примечание от фабрики:
Посчитана стоимость чехла с одноцветным логотипом, как на фото, но ремешка маленького (выделили на фото)  В стоимость образца включена разработка макета для одноцветного логотипа

 подтверждение цены после образца ","Дизайн: 
лого одноцветная шелкография, выбор цвета по раскладке ",350,"14,1","1182,7","413 934,50",55-60,"15,9","1331,5","466 028,50",45-50,21010 (как на фото),10,20-22,
,,,,,,,,,,,,,,,,
,макет клиента ,"Материал: холщовая ткань
Размер: 35*50 см 
Упаковка: индивидуальный пакет
Примечание от фабрики:
",,350,"15,5","1301,9","455 675,50",55-60,"17,3","1450,8","507 769,50",45-50,21 950,10,20-22,
,макет клиента ,"Материал: ткань Оксфорд
Размер: 35*50 см 
Упаковка: индивидуальный пакет
Примечание от фабрики:
",,350,"14,5","1215,2","425 320,00",55-60,"16,2","1364,0","477 414,00",45-50,21 950,10,,
