 ,"Пенал 
(аналог ларца для украшений)","Материал: жесть 1-го сорта 0,23
Размер: 205*95*55 мм
Упаковка: сток
Примечание от фабрики: потребуется подтверждение по макету и образцу",Дизайн: Внутренняя монохромная печать,1000,"8,1","679,9",679 900,60-65,"9,0","755,9",755 900,50-55,32 200,15,25-27,
,,,,1200,"8,1","679,6",815 520,,"9,0","755,6",906 720,,,,,
 ,Вафельный халат,"Материал: микрофибра
Размер: длина 125 см x ширина 135 см, длина рукава 60 см
Упаковка: сток
Примечание от фабрики: необходимо подтверждение по макету и образцу",Дизайн: нанесение логотипа,1000,"40,8","3426,6",3 426 600,60-65,"45,0","3782,3",3 782 300,50-55,12 300,7,17-19,
,,,,1200,"40,7","3422,5",4 107 000,,"45,0","3778,3",4 533 960,,,,,
 ,"Маска для сна
(аналог)","Материал: полиэстер
Размер: стандарт
Упаковка: сток пакет
Примечание от фабрики: с гидрогелевым вкладышем только неофицальная доставка, необходимо подтверждение по образцу ",Дизайн: сток,1000,"1,4","119,8",119 800,37-42,"1,5","128,0",128 000,27-32,2 700,7,17-19,
,,,,1200,"1,4","119,5",143 400,,"1,5","127,6",153 120,,,,,
 ,Сумка-шоппер,"Материал: хлопок 300 гр
Размер: 45 на 45 см, ручки 40 см
Упаковка: сток пакет
Примечание от фабрики: необходимо подтверждение по макету и образцу",Дизайн: нанесение лого шелкографией на 1 стороне,1000,4,"345,2",345 160,45-50,"4,6","400,8",400 780,35-40,6 650,5,15-17,
,,,,1200,"3,8","332,5",399 024,,"4,4","388,1",465 768,,,,,
 ,Карандаши (набор из 6 цветов),"Материал: бумага
Размер: в доп фото
Упаковка: сток пакет
",Дизайн: сток (без брендирования фабрики),1000,"0,4",34,33 980,35-40,"0,5","40,2",40 200,25-30,2 300,2,12-14,
,,,,1200,"0,4","31,2",37 464,,"0,4","37,5",44 940,,,,,
 ,Ваза,"Материал: стекло
Размер: около 20*12 см
Упаковка: пенопласт, коробка (Трёхслойная противоударная упаковка)
Примечание от фабрики: ручная работа, форма и размеры между изделиями могут отличаться","Дизайн: индивидуальное изготовление, логотип - деколь",1000,"38,3",3217,3 216 590,70-75,"46,2","3881,9",3 881 870,60-65,38 000,10,20-22,
,,,,1200,"36,2","3037,6",3 645 120,,"43,6","3665,9",4 399 104,,,,,
 ,Миска глубокая,"Материал: керамика
Размер: 11,4*6,4*11,4 см
Упаковка: индивидуальная коробка
Примечание от фабрики: точная стоимость после проработки образца","Дизайн: логотип - деколь, цвет близкий к пантон",1000,"4,2",356,356 300,70-75,"5,2","432,5",432 530,60-65,22 000,10,20-22,
,,,,1200,"4,2","351,7",422 052,,"5,1","427,0",512 412,,,,,
 ,Поднос глубокий,"Материал: керамика
Размер: 18,5*31*3,8 см
Упаковка: индивидуальная коробка
Примечание от фабрики: точная стоимость после проработки образца","Дизайн: логотип - деколь, цвет близкий к пантон",1000,"16,8",1414,1 414 050,70-75,"20,8","1746,7",1 746 690,60-65,33 000,10,20-22,
,,,,1200,"15,9","1335,2",1 602 252,,"19,6","1649,4",1 979 244,,,,,
 ,Чайник заварочный,"Материал: керамика, ручка - бамбук
Размер: 18*17,5 см
Упаковка: индивидуальная коробка
Примечание от фабрики: точная стоимость после проработки образца","Дизайн: логотип - деколь, цвет близкий к пантон",1000,"21,3",1786,1 786 460,70-75,"24,1","2024,6",2 024 600,60-65,34 000,10,20-22,
,,,,1200,"20,1","1686,9",2 024 316,,"22,8","1911,8",2 294 208,,,,,
