,,"Материал: полиэстер, плотность 200 г/м2
Размер:      
L: высота 67-70 см, ширина 45-50 см
Упаковка: OPP пакет
Примечание от фабрики: 
",,100,"6,1","632,7",,"6,81","708,57",,,,
,,"Материал: полиэстер, плотность 200 г/м2
Размер: 
XL: высота 72-78 см, ширина 50-55 см
Упаковка: OPP пакет
Примечание от фабрики: 
",,100,"7,0","722,8",,"7,79","810,35",,,,
 ,Туристическая фляжка,"Материал: пищевой пластик, полэистер, алюминий
Размер: 21*13*8 см, бутылка 1 л, чашка - 500 мл
Упаковка: индивидуальная коробка 
Примечание от фабрики: ","Дизайн: выбор цвета из наличия(добавила расцветки в доп фото) + нанесения логотипа, уф-печать",100,"10,5","1095,7",30-35,"12,77","1328,19",20-25,"6 000,00",17-20,
 ,Значок  серебряный ,"Материал: металл 
Размер: 29*29мм
Упаковка: индивидуальный пакет 
",Дизайн: лого лазер ,200,"1,2","123,6",35-40 дней ,"1,24","129,4",30-35 дней ,"1541,23 (стоковый)",12-15 дней ,
,Рюкзак ,"Материал: 600d оксфорд
Размер:  29*8*43 см
Упаковка: индивидуальный пакет 
","Дизайн: лого 1 цвет , цвет ткани по карте цветов от фабрики ",100,"41,8","4349,5",65-70 дней ,"46,15","4799,27",55-60 дней ,"16 053,34",20-25 дней (7 дней фото видео),
,Модель самолета ,"Материал: металл, пластик 
Размер:  длина примерно 20см
Упаковка: коробка  
Примечание от фабрики: похожая модель 
, минималка 100шт ","Дизайн: минималка 100шт, выкрас в зеленый, добавление звездочек ",100,"180,7","20783,5",70-75 дней ,"184,72","21242,88",60-65 дней ,"16 583,49",20-25 дней (7 дней фото видео),
,Рюкзак ,"Материал: Oxford
Размер: 40х11х30 см
Упаковка: индивидуальный пакет
Примечание от фабрики: 
разъем для USB",Дизайн: нанесение лого. Вид нанесения- шелкография,100,"18,1","1886,5",28-33,"22,6","2349,3",18-23,"4 500,00",12-14,
,Рюкзак ,"Материал: нейлон
Размер: 23х12х28cm
Упаковка: индивидуальный пакет
Примечание от фабрики: 
разъем для USB",Дизайн: нанесение лого. Вид нанесения- шелкография,100,"17,4","1808,9",28-33,"21,6","2249,7",18-23,"3 500,00",12-14,
,"Массажная подушка 
 ","Материал: плюш, пластик 
Размер: 23х12х25cm
Упаковка: индивидуальная коробка 
Примечание от фабрики: 
3 режима массажа ","Дизайн: лого 1 цвет , цвета из наличия",100,"23,1","2401,0",32-37,24,"2494,4",22-27,"7 500,00",14-16,
,Ручка  ,"Материал: металл
Размер: 14х0,7см 
Упаковка: 
Примечание от фабрики: черные чернила
 ","Дизайн: soft touch, нанесение лого. Вид нанесения- УФ печать/ гравировка ",300,"0,5","52,7",25-30,"0,6","68,9",20-25,"9 800,00",14-16,
,Брелок ,"Материал: металл
Размер: 7,5х4,2 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: черные чернила
 ",Дизайн: гравировка лого ,300,"1,6","165,4",25-30,"1,7","178,3",20-25,"2 500,00",13-15,
,Поло,"Материал: хлопок 230 грамм
Размер: размер L, XL, XXL
Упаковка: индивидуальный пакет 
Примечание от фабрики: L — 20
XL — 20
XXL — 20


 ",Дизайн: 2 отдельные наклейки термотрансфера в комплекте,60,,,,"14,797","1701,63",22-27,"6 000,00",17 (фото / видео 5 дней),
,плащ влагозащитный,"Материал: оксфорд + пвх
Размер: один размер
Упаковка: индивидуальный пакет 
Примечание от фабрики: 

 ",Дизайн: цветной логотип росавиации,100,"24,8","2581,9",30-35,"28,4","2954,6",20-25,"10 000,00",17 (фото / видео 3-5 дней),
,плащ влагозащитный,"Материал: оксфорд + пвх
Размер: один размер
Упаковка: индивидуальный пакет 
Примечание от фабрики: 

 ",Дизайн: цветной логотип росавиации термотрансфером,100,,,,,,,,,
,компас,"Материал: цинковый сплав
Размер: 8,5*5,3см
Упаковка: индивидуальная коробка
Примечание от фабрики:

 ",Дизайн: логотип гравировкой,100,"11,1","1155,4",30-35,"12,6","1310,1",20-25,"5 000,00",17 (фото / видео 5 дней),
 ,Ежедневник ВИП,"Материал обложки: натуральная кожа, выбор материала из раскладки фабрики
Размер: А5 148*210 мм
Количество страниц: 200, 100 листов
Бумага: 80 гр
Ляссе с металлическим шильдиком в гравировкой логотипа
Упаковка: индивидуальный пакетик
Примечание от фабрики: ","Дизайн: тиснение логотипа на обложке, ляссе с металлическим шильдиком в гравировкой логотипа, выкрас среза, цвет форзаца и нахзаца близкий к цвету обложки, индивидуальный дизайн страниц",100,"20,9","2173,4",35-40,"21,83","2270,64",25-30,"9 700,00",17-20,
 ,Ежедневник,"Материал обложки: кожзам, выбор материала из раскладки фабрики
Размер: А5 148*210 мм
Количество страниц: 200, 100 листов
Бумага: 80 гр
Ляссе с металлическим шильдиком в гравировкой логотипа
Упаковка: индивидуальный пакетик
Примечание от фабрики: ","Дизайн: тиснение логотипа на обложке, ляссе с металлическим шильдиком в гравировкой логотипа, цвет форзаца и нахзаца близкий к цвету обложки, индивидуальный дизайн страниц",200,"4,2","481,9",35-40,5,"575,04",25-30,"10 500,00",17-20,
 ,Ремувка,"Ремувка жаккардовая
Материал: полиэстер
Размер: 14*3 см
Фурнитура: синий металлический карабин
Упаковка: индивидуальный пакетик
Примечание от фабрики: ",Дизайн: нанесение логотипа по методу шелкографии с двух сторон,300,"0,9","108,2",35-40,"1,05","121,13",25-30,"10 000,00",17-20,
,Пакет ВИП плотный хороший размер 40 на 32 на 18 ," 
 	
Бумажный пакет
мелованная бумага матовая 250 гр., 4+0 (стороны одинаковые), матовая ламинация 1+0, ручки шнур 5 мм ",,150,,,,,"490,49",15-20,22000,7-9,
,Пакет стандарт  33 на 40 на 10 ," 
 	
Бумажный пакет
мелованная бумага матовая 250 гр., 4+0 (стороны одинаковые), матовая ламинация 1+0, ручки шнур 5 мм ",,300,,,,,"348,4",15-20,22000,7-9,
,"Пакет ВИП 80-лет Победы, размеры как у ВИП  дизайн будет другой "," 
 	
Бумажный пакет
мелованная бумага матовая 250 гр., 4+0 (стороны одинаковые), матовая ламинация 1+0, ручки шнур 5 мм ",,150,,,,,"600,6",15-20,22000,7-9,
,"Пакет Стандарт 80-лет Победы размер как у стандарт, дизайн другой "," 
 	
Бумажный пакет
мелованная бумага матовая 250 гр., 4+0 (стороны одинаковые), матовая ламинация 1+0, ручки шнур 5 мм ",,300,,,,,"396,5",15-20,22000,7-9,
