,"Менеджер: Литяк Светлана
Email: svetlana@megamind.ru
Телефон: +7 (918) 964-19-55
",,,Цена считается с НДС и учитывает стоимость доставки до Москвы или ТК,,"Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку с Китая до Москвы, таможню",,,,,,
,Кулер для вина,"Материал: нержавеющая сталь 304
Объём: 750 мл
Брендирование: логотип (1 цвет лазер/шелкография)
Упаковка: коробка","1000
сток мин тираж","13,1","1223,3",35-40 дней,"15,51","1450,64",25-30 дней,"10162,27",12-17 дней,
,,,"1000
логотип","13,8","1290,8",,"16,24","1518,08",,"4096,99",,
,Бинокль,"Материал корпуса: металл
Размер: 5.4х9.9
Держатель: цепочка
Брендирование: гравировка логотипа
Упаковка: индивидуальная коробка с мешочком",300,"18,8","1756,6",50-60 дней ,"19,6","1835,6",40-50 дней,8800,17-20 дней,
,,,500,"18,8","1754,5",,"19,6","1833,5",,,,
,,,1000,"18,7","1752,9",,"19,5","1831,8",,,,
,Бинокль,"Материал корпуса: металл
Размер: 5.4х9.9 см
Держатель: ручка
Брендирование: гравировка логотипа
Упаковка: индивидуальная коробка с мешочком",300,"22,1","2065,4",50-60 дней,"23,1","2157,6",40-50 дней,8800,17-20 дней,
,,,500,"22,1","2063,3",,"23,1","2155,4",,,,
,,,1000,"22,0","2061,7",,23,"2153,8",,,,
,Бинокль,"Материал корпуса: металл
Держатель: цепочка
Брендирование: гравировка / печать логотипа
Упаковка: индивидуальная коробка с мешочком",300,"9,2","1795,7",40-45 дней,20,"1869,1",30-35 дней,8750,15-20 дней,
,,,500,"9,2","1793,4",,"19,9","1866,8",,,,
,,,1000,"9,1","1791,7",,"19,6","1865,2",,,,
,Портативный принтер,"Материал корпуса: пластик
Размер:7.8х7.8х4 см
Цветность печати: монохромная
Брендирование: печать лого на корпусе",1000,"14,5","1358,1",35-40 дней,"15,3","1428,9",25-30 дней,3200,15-20 дней,
,Портативный принтер,"Материал корпуса: пластик
Размер:8.4х8.4х4.2 см
Цветность печати: монохромная
Брендирование: печать лого на корпусе",500,"50,6","4728,8",50-60 дней,"52,1","4874,5",40-50 дней,7200,15-20 дней,
,,,1000,"49,4","4619,2",,"50,9","4764,9",,,,
