,"Менеджер: 
Email: 
Телефон: ",,"Котелевская Анна
annakot@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
,караоке,"Материал: пластик
Размер: 100*74*105 мм
Упаковка: инд коробка
Мощность: 5W
Примечание: в комплекте один микрофон", Дизайн: без брендирования  ,400,"22,1","1945,2","778 077,8",65-70,"23,9","2102,1","840 855,8",55-60,4000,3,13 - 15,
,Колонка 7 ватт,"Материал:  abs
Размер: 87*170 мм
Упаковка: коробка 
Примечание от фабрики: ",Дизайн: лого лазер/шелкография 1 цвет,500,"25,4","2166,1","1 083 050,0",45-50,"27,4","2337,7","1 168 850,0",35-40,15150,7,17-19,
,Колонка 6 ватт,"Материал:  abs
Размер: 8.5*8.5*11.5cm
Упаковка: коробка 
Примечание от фабрики: ",Дизайн: лого лазер,500,"21,0","1796,7","898 350,0",45-50,"22,9","1955,7","977 850,0",35-40,8988,7,17-19,
,Колонка 7 ватт,"Материал:  abs
Размер: диаметр：52.5mm высота：27.5mm       
Упаковка: коробка 
Примечание от фабрики: ",Дизайн: лого лазер/шелкография 1 цвет,500,"20,9","1886,7","943 350,0",45-50,"21,7","1950,2","975 100,0",35-40,8121,7,17-19,
,Колонка 7 ватт,"Материал:  abs
Размер: 110х90  мм    
Упаковка: коробка 
Примечание от фабрики: ",Дизайн: лого лазер,500,"26,0","2222,8","1 111 400,0",40-45,"28,3","2413,5","1 206 750,0",30-35,8988,5,15-17,
,Колонка 10 ватт,"Материал:  abs
Размер: 110х100 мм
Упаковка: коробка 
Примечание от фабрики: ",Дизайн: лого лазер,500,"28,1","2340,2","1170100,0",45-50,"30,7","2622,7","1 311 350,0",35-40,9277,5,15-17,
,Колонка 10 ватт,"Материал:  abs
Размер: 105х105  мм
Упаковка: коробка 
Примечание от фабрики: ",Дизайн: лого лазер,500,"33,7","2876,0","1438000,0",45-50,"36,7","3130,3","1 565 150,0",35-40,9277,5,15-17,
,"Колонка 6,5 ватт","Материал:  abs
Размер: 121х86 мм                                 Упаковка: коробка 
Примечание от фабрики: ",Дизайн: лого лазер,500,"26,0","2219,2","1109600,0",45-50,"28,4","2422,6","1 211 300,0",35-40,9277,5,15-17,
,"Колонка 6,5 ватт","Материал:  abs
Размер: 120х55х115 мм   
Упаковка: коробка 
Примечание от фабрики: ",Дизайн: лого лазер,500,"21,6","1856,5","928250,0",45-50,"23,5","2015,4","1 007 700,0",35-40,9277,5,15-17,
,Игрушка машинка,"Материал:  abs
Размер: 16*7,2*14,7 см   
Упаковка: коробка 
Примечание от фабрики: 
Машинка на радиоуправлении перевертыш способна двигаться во всех направлениях, разворачиваться на 180 градусов и совершать переворот на 360 градусов. 
Дрифт машинка: езда по любой поверхности",Дизайн: сток,223,"12,83","1 077,30","240 237,90",28-33,"15,19","1 275,73","284 487,8",18-23,3 540,2,12-14,
,умный зайка,"Материал:  пластик
Размер: 21,5*6*6,5 см   
Упаковка: опп пакет
Примечание от фабрики: на английском языке, ",Дизайн: без логотипа,140,"4,91","412,31","57 723,40",35-40,"15,19","1 275,73","178 602,20",25-30,1 875,2,12-14,
,конструктор ,"Материал:  пластик
Размер: 23*18*5cm 
Упаковка: опп пакет
Примечание от фабрики: примерно 300-350-400 деталей
Несколько вариантов сборки",Дизайн: без логотипа,223,"7,58","636,81","142 008,63",35-40,"8,91","748,55","166 926,65",25-30,2 465,2,12-14,
,Обвес,"Материал:  карабин-металл, веревка- текстиль(нейлон, полиэстер)
Размер: 13*4 см   
Упаковка: опп пакет
Примечание от фабрики: 
Брелок на крупном карабине с паракордом (цветные).
Цвет шнурка необходимо выбрать из раскладки фабрики","Дизайн: логотип (гравировку или УФ-печать) на карабин, выбор цвета шнурка из ракладки",100,"5,88","494,19","49 419,00",43-48,"6,07","509,78","50 978,00",33-38,4 804,7,17-19,
,,,,200,,,,,,,,,,,,
,,,,250,,,,,,,,,,,,
,конструктор ,"Материал:  пластик
Размер: 20*5*28cm 
Упаковка: опп пакет
Примечание от фабрики: ",Дизайн: без логотипа,223,"15,07","1 266,00","282 318,00",35-40,"16,84","1 414,35","315 400,05",25-30,3 839,2,12-14,
