,Игрушки ,"Материал: ПВХ
Размер: 4-5 см
Упаковка: сток пакет
Примечание от фабрики: 10 фигурок. Цены могут быть скорректированы после получения фабрикой макета.",Дизайн: индивидуальный дизайн по макету клиента,5 000,"4,1","432,3",55-60,"4,3","467,1",45-50,26 700 (1 фигурка),7,17-19,3470,
,,,,10 000,"4,0","415,8",,"4,2","450,5",,,,,,
,,,,15 000,"3,9","409,9",,"4,2","444,7",,,,,,
,Игрушки ,"Материал: ПВХ
Размер: 4-5 см
Упаковка: сток пакет
Примечание от фабрики: 10 и 15 фигурок. Цены могут быть скорректированы после получения фабрикой макета. 10 000 - минимальный тираж для одного вида фигурки.",Дизайн: индивидуальный дизайн по макету клиента,10 000,"2,2","236,4",60-65,"2,6","271,1",50-55,28300 (1 фигурка),10,20-22,2850,
,,,,100000,"2,2","228,2",,"2,6","263,1",,,,,,
,,,,15 0000,"2,2","225,2",,"2,6","260,1",,,,,,
,Игрушки ,"Материал: ПВХ
Размер: 4*4 см
Упаковка: сток пакет
Примечание от фабрики: 10 и 15 фигурок. Цены могут быть скорректированы после получения фабрикой макета. 10 000 - минимальный тираж для одного вида фигурки",Дизайн: индивидуальный дизайн по макету клиента,10 000,"1,4","126,9",65-70 (долгое),"1,4","131,4",50-55 (долгое),27 250,15,25-27,2780,
,,,,100000,"1,4","126,7",,"1,4","131,2",,,,,,
,,,,150 000,"1,4","126,7",,"1,4","131,2",,,,,,
,Игрушки ,"Примечание от фабрики: цена включает 10 разных дизайнов фигурки, стоимость может быть скорректирована после получения макетов фабрикой",Дизайн: индивидуальный дизайн по макету клиента (в стоимость включен выкрас до 7 цветов),5000,"4,7","430,2",60-65 (долгое),"4,7","436,1",45-50 (долгое),13 880,7,10-12,Брелок МТС в офисе (передала),
,,,,10000,"3,3","304,5",,"3,4","310,4",,,,,,
,,,,15000,"2,8","253,3",,"2,8","259,2",,,,,,
,,"Материал: ПВХ
Размер: :40 х 24 х 28 мм
Упаковка: ОПП пакет
Примечание от фабрики: цена включает 15 разных дизайнов фигурки, стоимость может быть скорректирована после получения макетов фабрикой",,5000,"6,4","594,0",,"6,5","599,9",,,,,,
,,,,10000,4,"373,7",,"4,1","379,6",,,,,,
,,,,15000,"3,2","296,8",,"3,3","302,7",,,,,,
,Брелок,"Материал: ПВХ
Размер: :40 х 24 х 28 мм
Упаковка: ОПП пакет
Примечание от фабрики: цена указана за 1 дизайн фигурки","Дизайн: изменение цвета жидкости, лого на ремувке, кастом фигурки на курицу",5000,"1,9","175,5",45-50 (долгое),"2,0","187,8",30-35 (долгое),14 990,15,25-27,Есть в офисе (передала),
,,,,10000,"1,9","172,8",,"2,0","185,1",,,,,,
,,,,15000,"1,9","170,2",55-60 (долгое),"2,0","182,4",40-45 (долгое),,,,,
,Брелок-курица,"Примечание от фабрики: цена включает 10 разных дизайнов фигурки, стоимость может быть скорректирована после получения макетов фабрикой",Дизайн: индивидуальный дизайн по макету клиента,5000,"2,4","217,5",95-100 (долгое),"2,5","231,4",80-85 (долгое),47 470,15,10-12,2950,
,,,,10000,"2,1","189,1",,"2,2",203,,,,,,
,,,,15000,"1,9","178,8",,"2,1","192,7",,,,,,
,,"Материал: ПВХ
Размер: :40 х 24 х 28 мм
Упаковка: ОПП пакет
Примечание от фабрики: цена включает 15 разных дизайнов фигурки, стоимость может быть скорректирована после получения макетов фабрикой",,5000,"2,6","243,1",,"2,8",257,,,,,,
,,,,10000,"2,2","201,9",,"2,3","215,8",,,,,,
,,,,15000,2,"186,5",,"2,2","200,4",,,,,,
,Брелок-курица 2,"Примечание от фабрики: цена включает 10 разных дизайнов фигурки, стоимость может быть скорректирована после получения макетов фабрикой","Дизайн: индивидуальный дизайн по макету клиента, настройка 4 цветов, лого шелкографией",5000,"3,6","329,3",55-60 (долгое),"3,7",344,40-45 (долгое),19 430,7,10-12,Брелок МТС в офисе (передала),
,,,,10000,"2,6","242,9",,"2,8",257,,,,,,
,,,,15000,"2,3","214,7",,"2,5",229,,,,,,
,,"Материал: ПВХ
Размер: 46 х 37 х 30 мм, цепочка: 30-35 мм
Упаковка: ОПП пакет
Примечание от фабрики: цена включает 15 разных дизайнов фигурки, стоимость может быть скорректирована после получения макетов фабрикой",,5000,"4,4","411,3",,"4,6",426,,,,,,
,,,,10000,"3,1","283,9",,"3,2","297,8",,,,,,
,,,,15000,"2,6","240,3",,"2,7","254,2",,,,,,
,Сквиш-брелок,"Материал: PU
Размер: 7 х 6 х 6 см
Упаковка: пакетик сток
Примечание: стоимость должна быть уточнена при точном утверждении дизаййнов",Дизайн: сток (на фото) с нанесением логотипа,5000,"1,1","99,0",50-55,"1,2","110,8",40-45,11 600,5,15-17,Сквиш для ВК в офисе (отдала),
,,,,10000,"1,0","96,1",,"1,2","107,9",,,,,,
,,,,15000,"1,0","93,4",,"1,1","105,1",,,,,,
,,,Дизайн: 5 разных дизайнов фигурок в индивидуальном дизайне ,5000,"2,9","267,7",60-65,"3,0","279,5",50-55,49 700,15,25-27,,
,,,,10000,"2,2","199,5",,"2,3","211,3",,,,,,
,,,,15000,"1,9","177,7",,"2,0","189,4",,,,,,
запрос от 17.04,,,,,,,,,,,,,,,
,Сквиш-брелок,"Материал: PU
Размер: 7 х 6 х 6 см
Упаковка: пакетик сток
Примечание: стоимость должна быть уточнена при точном утверждении дизаййнов",Дизайн: 5 индивидуальных дизайнов,5 000,"6,1","515,8",65-70,"6,2","524,5",55-60,"45600
(за 1 дизайн)",20,30-32,3400,
,,,,10 000,"3,1","266,9",,"3,2","275,7",,,,,,
,,,,15 000,"2,3","192,3",,"2,4","201,0",,,,,,
,,,,20 000,"1,7","142,5",,"1,8","151,3",,,,,,
,Брелок,"Материал: ПВХ
Размер: 6 х 10 см
Упаковка: сток пакетик
Примечание: необходимо подтверждение воззможностей фабрики и стоимости по макетам ",Дизайн: 5 индивидуальных дизайнов (плоское нанесение на ремувке),5 000,"5,3","446,2",65-70,"5,4","462,2",55-60,"67 000
(1 дизайн)",15,10-12,3100,
,,,,10 000,"3,2","272,0",,"3,4","288,0",,,,,,
,,,,15 000,"2,6","222,2",,"2,8","238,2",,,,,,
,,,,20 000,"2,6","222,2",,"2,8","238,2",,,,,,
,,,Дизайн: 5 индивидуальных дизайнов (объемное нанесение на ремувке),5 000,"5,9","498,7",,"6,1","516,6",,,,,,
,,,,10 000,"3,6","304,0",,"3,8","321,9",,,,,,
,,,,15 000,"2,9","248,3",,"3,1","266,2",,,,,,
,,,,20 000,"2,9","248,3",,"3,1","266,2",,,,,,
,Сквиш,"Материал: ПВХ
Размер: 3 х 3 см
Упаковка: сток пакетик 
Примечание: необходимо подтверждение воззможностей фабрики и стоимости по макетам ",Дизайн: 5 индивидуальных дизайнов,5 000,"1,3","107,8",50-55,"1,3","111,6",40-45,"16 900
(1 дизайн)",15,25-27,3100,
,,,,10 000,"1,0","82,7",,"1,0","86,6",,,,,,
,,,,15 000,"0,7","57,8",,"0,7","61,7",,,,,,
,,,,20 000,"0,7","57,8",,"0,7","61,6",,,,,,
,"Игрушки (пересчет, наша пвх фабрика)","Материал: ПВХ
Размер: :40 х 24 х 28 мм
Упаковка: ОПП пакет
Примечание от фабрики: цена включает 5 разных дизайнов фигурки, стоимость может быть скорректирована после получения макетов фабрикой

Пересчет со строчек 25-30",Дизайн: индивидуальный дизайн по макету клиента (в стоимость включен выкрас до 7 цветов),5000,"3,4","288,5",60-65 (долгое),"3,4","294,2",45-50 (долгое),13 880 (1 дизайн),7,10-12,Брелок МТС в офисе (передала),
,,,,10000,"2,7","226,1",,"2,7","231,9",,,,,,
,,,,15000,"2,4","201,2",,"2,4","206,9",,,,,,
,,,,20000,"2,1","181,3",,"2,2","187,1",,,,,,
запрос от 21.05,,,,,,,,,,,,,,,
,Сквиш-брелок,"Материал: PU + ПВХ
Размер: сквиш 7 х 6 х 6 см, ремувка 2 х 8 см
Упаковка: пакетик сток
Примечание: стоимость должна быть уточнена при точном утверждении дизаййнов","Дизайн: 5 индивидуальных дизайнов (например, эмоция на сквише)",5 000,"1,8","151,9",65-70,"1,9","162,6",55-60,"45600
(за 1 дизайн)",20,30-32,3400,
,,,,10 000,"1,8","149,1",,"1,9","159,8",,,,,,
,,,,15 000,"1,7","146,4",,"1,9","157,1",,,,,,
,,,,20 000,"1,7","143,8",,"1,8","154,4",,,,,,
,,,Дизайн: 5 индивидуальных дизайнов (индивидуальная форма),5 000,"6,3","536,3",65-70,"6,4","547,0",55-60,,,,,
,,,,10 000,"4,3","365,0",,"4,4","375,7",,,,,,
,,,,15 000,"3,5","299,1",,"3,6","309,8",,,,,,
,,,,20 000,"3,2","272,8",,"3,3","283,5",,,,,,
запрос от 24.06,,,,,,,,,,,,,,,
,Брелок по индивидуальному дизайну,"Материал: пвх
Размер: на фото 
Упаковка: сток пакетик 
Примечание: необходимо производство и подтверждение по образцу ","Дизайн: индивидуальный по макету 

Фигурка + круглая эмблема в виде нашего логотипа + ремувка + кольцо, карабин, цепочка",3000,"3,6","308,1",50-55,"3,8","319,2",40-45,52 900,10,20-22,-,
,,,,5000,"3,4","289,3",55-60,"3,5","300,4",45-50,,,,,
,,,,10000,"2,4","202,9",60-65,"2,5","214,1",50-55,,,,,
