,"Менеджер: Борисова Александра
Email: sashab@megamind.ru
Телефон: 
",,,,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,Образец не включен в стоимость тиража,,,
 ,зонт автоматический ,"Материал: железо
Размер: 117*62CM - когда раскрыт, 32*6 см - в закрытом состояние
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: выкрас в цвет клиента ,1000,"9,7","820,1",50-55,"11,1","947,2",40-45,8 699,10,20-22,
,,,,,,,,,,,,,,
 ,зонт автоматический ,"Материал: железо
Размер: 117*62CM - когда раскрыт, 32*6 см - в закрытом состояние
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: выкрас в цвет клиента+ лого,1000,"10,2","862,4",50-55,"11,6","989,5",40-45,8 699,10,20-22,
,,,,,,,,,,,,,,
 ,зонт ручной,"Материал: железо
Размер: 117*62CM - когда раскрыт, 32*6 см - в закрытом состояние
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: с лого,300,"7,2","611,2",45-50,"8,7","738,4",35-40,12 459,7,17-19,
,,,,500,"7,2","611,2",45-50,"8,7","738,4",35-40,,,,
 ,зонт ручной,"Материал: железо
Размер: 117*62CM - когда раскрыт, 32*6 см - в закрытом состояние
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: выкрас в цвет клиента ,1000,"9,7","820,1",50-55,"11,1","947,2",40-45,12 459,10,20-22,
,,,,,,,,,,,,,,
 ,зонт ручной,"Материал: железо
Размер: 117*62CM - когда раскрыт, 32*6 см - в закрытом состояние
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: выкрас в цвет клиента+ лого,1000,"10,2","862,4",50-55,"11,6","989,5",40-45,12 459,10,20-22,
,,,,,,,,,,,,,,
 ,подставка для телефона,"Материал: сплав металла
Размер: 120*70*6 мм 
Упаковка: инд коробка (фабричная, за доп стоимость можно сделать кастомную от 500 шт)
"," Дизайн: цвет металлический из наличия, гравировка лого",1000,,,40-45,,,30-35,,7,17-19,
,,,,,,,,,,,,,,
 ,подставка для телефона,"Материал: сплав алюминия
Размер: 128*61*5 мм 
Упаковка: инд упаковка (фабричная)
"," Дизайн: 2 варианта цвета на выбор (темно- и светло-серый), гравировка лого",1000,,,40-45,,,30-35,,7,17-19,
,,,,,,,,,,,,,,
 ,подставка для телефона,"Материал: дерево (бук/черный орех на выбор)
Размер: 14*8*2 см (есть также и другие размеры, но цена отличается) 
Упаковка: инд пакет
"," Дизайн: 2 варианта цвета на выбор (бук и черный орех), печать лого 2 цвета",1000,,,40-45,,,30-35,,7,17-19,
,,,,,,,,,,,,,,
 ,брелок,"Материал: ПВХ, паракорд
Размер: 13 см
Упаковка: инд пакет
Примечание от фабрики: необходимо подтверждение стоимости после проработки макета и образца", Дизайн: индивидуальная форма ПВХ-обвеса,300,"3,7","317,0",40-45,"4,1","344,0",30-35,28 320,10,20-22,
,,,,500,"3,4","288,3",,"3,7","315,2",,,,,
 ,брелок с отверткой,"Материал: экокожа, металл, паракорд
Размер: 12 х 2.5 см
Упаковка: инд пакет
Примечание от фабрики: необходимо подтверждение стоимости после проработки макета и образца"," Дизайн: печать лого, тиснение",300,"3,9","328,5",40-45,"4,0","336,9",30-35,7 630,7,17-19,
,,,,500,"2,5","210,2",,"2,6","218,6",,,,,
 ,брелок,"Материал: металл, пластик
Упаковка: инд пакет
Примечание от фабрики: необходимо подтверждение стоимости после проработки макета и образца"," Дизайн: печать лого (также можно выкрасить в пантон, в стоимость входит)",300,"1,6","136,3",40-45,"1,7","144,7",30-35,7 630,7,17-19,
,,,,500,"1,5","128,6",,"1,6","137,0",,,,,
 ,Чайник-заварник,"Материал: стекло, нержавеющая сталь
Размер: 147х105мм, 700 мл
Упаковка: фабричная коробка 
Примечание от фабрики: ", Дизайн: с лого ,300,"45,6","3879,0",40-45 ,"48,9","4153,9",30-35,7 373,5-7,12-15,
,,,,500,"45,6","3876,7",,"48,8","4151,6",,,,,
,,, Дизайн: с лого+ кастом коробки ,1000,"45,6","3875,0",45-50,"48,8","4149,9",35-40,13 517,7,17-19,
 ,Чайник-заварник,"Материал: стекло, нержавеющая сталь, дерево
Размер: 145х110мм, 800 мл
Упаковка: фабричная коробка 
Примечание от фабрики: ", Дизайн: с лого ,300,"18,0","1531,1",40-45 ,"21,0","1788,8",30-35,7 518,5-7,12-15,
,,,,500,"18,0","1528,8",,"21,0","1786,5",,,,,
,,, Дизайн: с лого+ кастом коробки ,1000,"18,6","1576,8",45-50,"21,6","1834,5",35-40,13 661,7,17-19,
 ,Чайник-заварник,"Материал: стекло, нержавеющая сталь, дерево
Размер: 155х85мм, 800 мл
Упаковка: фабричная коробка 
Примечание от фабрики: ", Дизайн: с лого ,300,"32,4","2756,2",40-45 ,"36,1","3065,4",30-35,9 855,5-7,12-15,
,,,,500,"31,8","2704,2",,"35,5","3013,4",,,,,
,,, Дизайн: с лого+ кастом коробки ,1000,"31,8","2702,5",45-50,"35,4","3011,7",35-40,13 950,7,17-19,
 ,Чайник-заварник,"Материал: стекло, нержавеющая сталь,
Размер: 150х110мм, 750 мл
Упаковка: фабричная коробка 
Примечание от фабрики: ", Дизайн: с лого ,300,"12,5","1065,9",40-45 ,"14,0","1188,3",30-35,8 699,5-7,12-15,
,,,,500,"12,4","1051,2",,"13,8","1173,6",,,,,
,,, Дизайн: с лого+ кастом коробки ,500,"12,5","1063,7",45-50,"14,0","1186,1",35-40,12 795,7,17-19,
 ,Ежедневник,"Материал: бумага, кожа
Размер: А5, 206 х 140 мм
Упаковка: инд пакет
Примечание от фабрики: необходимо подтверждение стоимости после проработки макета и образца", Дизайн: лого ,300,"8,8","775,5",35-40,"10,5","929,4",25-30,9 800,7,17-19,
,,,,500,"6,2","549,5",,"7,8","703,3",,,,,
 ,Ежедневник,"Материал: бумага, кожзам
Размер: А5, 205 х 140 мм
Упаковка: инд пакет
Примечание от фабрики: необходимо подтверждение стоимости после проработки макета и образца", Дизайн: лого ,300,"7,2","632,1",30-35,"8,6","763,3",20-25,9 500,3,13-15,
,,,,500,"6,9","605,0",,"8,3","736,1",,,,,
 ,"magsafe


","Материал: сплав
Размер: 144*77.5*38.5mm
Упаковка: инд пакет
Примечание от фабрики: 10000 мАч, Беспроводной, Тип C, Один порт USB,


", Дизайн: лого ,500,,,45-50,,,35-40,5 423,3,13-15,
