,деревянные пазлы,"Материал: дерево
Размер: 15*15*3 см
Упаковка: инд пакет
Примечание от фабрики: элементов в пазле 51, толщина 4 мм", Дизайн: индивидуальный заказ по макету клиента,750,"11,3","962,4",40-45,"13,6","1153,2",30-35,13 372,15,25-27,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Powerbank,"Материал: пластик
Размер: 103*68*20mm
Упаковка: инд пакет
Примечание от фабрики: Емкость: 10000 мАч", Дизайн: с лого на самом товаре,750,"15,0","1273,8",45-40,"15,9","1346,9",35-30,6 227,5,15-17,,,,,,,,,,,,,,,
,Powerbank,"Материал: пластик
Размер: 98*64*16mm
Упаковка: инд пакет
Примечание от фабрики: Емкость: 5000 мАч", Дизайн: с лого на самом товаре,750,"13,8","1174,4",45-40,"14,7","1247,5",35-30,6 227,5,15-17,,,,,,,,,,,,,,,
,Powerbank,"Материал: PC+ABS
Размер: 142*67.8*28.8mm
Упаковка: инд пакет
Примечание от фабрики: Емкость: 10000 мАч, Выход Type-C: 5 В 3 А 9 В 2,2 А 12 В 1,6 А
Вход Type-C: 5 В 3 А 9 В 2 А 12 В 1,5 А
Выход линии TPC: 4,5 В 5 А 5 В 3 А 9 В 2 А 12 В 1 ,5 А
Выход линии Apple: 5 В/2 А", Дизайн: с лого на самом товаре,750,"13,5","1150,7",45-40,"15,1","1283,2",35-30,4 718,5,15-17,,,,,,,,,,,,,,,
,Powerbank,"Материал: Алюминиевый сплав
Размер: 105mm*8.9mm*68mm
Упаковка: инд пакет
Примечание от фабрики:  Емкость: 10000 мАч", Дизайн: с лого на самом товаре,750,"20,8","1770,5",45-40,"21,5","1828,2",35-30,14 505,5,15-17,,,,,,,,,,,,,,,
,наушники,"Материал: PC+ABS
Размер: 12*9*4
Упаковка: инд пакет
Примечание от фабрики:  рабочее время без зарядки 4-8 ч"," Дизайн: с лого на сам товар, лазерная гравировка",750,"9,1","775,6",45-40,"9,6","816,9",35-30,5 871,5,15-17,,,,,,,,,,,,,,,
,наушники,"Материал: ABS
Размер: 25*13*30 см
Упаковка: инд пакет
Примечание от фабрики:  
410 г,  рабочее время без зарядки 8-12 ч, Емкость аккумулятора: 300 мАч"," Дизайн: с лого на сам товар, лазерная гравировка",750,"9,5","803,1",45-40,"10,6","898,7",35-30,4 026,5,15-17,,,,,,,,,,,,,,,
,наушники,"Материал: ABS
Размер: 25*13*30 см
Упаковка: инд пакет
Примечание от фабрики:  
410 г,  рабочее время без зарядки 12-14 ч, заряжается - 2,5 часа"," Дизайн: с лого на сам товар, лазерная гравировка",750,"8,5","723,8",45-40,"9,7","827,0",35-30,4 026,5,15-17,,,,,,,,,,,,,,,
 ,упаковка (носочек),"Материал: Флис-слоистый композитный поролон
Размер: 40*20 
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: лого (шелкография/термоперенос),750,"4,8","404,1",55-60,"5,6","472,7",45-50,7 823,5,15-17,,,,,,,,,,,,,,,
 ,упаковка (коробка),"Материал: картон
Размер: 25*17*15CM
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: лого,750,"13,1","1109,7",30-35,"20,5","1737,8",20-25,5 048,10,20-22,,,,,,,,,,,,,,,
 ,упаковка (коробка),"Материал: PVC
Размер: 20cm*22cmCM
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: лого,750,"5,2","440,9",30-35,"6,7","568,1",20-25,6 651,5,15-17,,,,,,,,,,,,,,,
 ,упаковка (яйцо),"Материал: pp
Размер: 28*36 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: лого (печать/шелкография), цвет и рисунок можно изменить",750,"12,1","1025,2",55-60,"16,9","1438,5",45-50,19 371,10,20-22,,,,,,,,,,,,,,,
 ,упаковка (пакет),"Материал: крафт-бумага; картон
Размер: 14*7*20 см
Упаковка: инд пакет
Примечание от фабрики: "," Дизайн: лого (цветная печать), можно также поменять цвет самого пакетика",750,"3,0","252,3",45-50,"3,7","312,7",35-40,6 045,15,25-27,,,,,,,,,,,,,,,
 ,Каталка ,"Материал дерево бук
Размер:  16х11
Упаковка: белая коробка 
Примечание от фабрики: "," Дизайн: игрушка по макету , кастом коробки ",750,"16,0","1358,9",50-55,"18,8","1599,8",40-45,22 141,7,15-17,,,,,,,,,,,,,,,
,Пирамидка ,"Материал дерево бук
Размер:  14х9 (4 кольца)
Упаковка: белая коробка 
Примечание от фабрики: "," Дизайн: игрушка по макету , кастом коробки ",750,"12,3","1143,4",50-55,"14,1","1302,3",40-45,22 141,7,15-17,,,,,,,,,,,,,,,
,Головоломка ,"Материал дерево бук
Размер:  16х3,5 
Упаковка: коробка 
Примечание от фабрики: "," Дизайн: игрушка по макету , кастом коробки ",750,"7,0","594,9",50-55,"7,4","631,0",40-45,11 928,7,15-17,,,,,,,,,,,,,,,
 ,Тактильная книжка с липучками ,"Материал фетр
Размер: 20*20*6

Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: наклейка лого на пакете ,750,"17,4","1476,6",40-45,"19,4","1651,5",30-35,"4025,6 (сток)",3,10-12,,,,,,,,,,,,,,,
 ,Головоломка ,"Материал abs
Размер:  15х11х4
Упаковка: инд пакет
Примечание от фабрики: ", Дизайн: наклейка лого на коробку  ,750,"3,0","257,4",40-45,"3,7","317,6",30-35,3 165,3,10-12,,,,,,,,,,,,,,,
 ,Коврик для рисования ,"Материал abs, полиэстер 
Размер:  100х80
Упаковка: коробка 
Примечание от фабрики: ", Дизайн: наклейка лого на коробку  ,750,"15,5","1314,3",40-45,"18,6","1579,2",30-35,4 603,3,10-12,,,,,,,,,,,,,,,
 ,Головоломка ,"Материал abs, дерево 
Размер: 28,5х21,5
Упаковка: коробка 
Примечание от фабрики: ", Дизайн: наклейка лого на коробку  ,750,"8,2","693,0",40-45,"9,6","813,4",30-35,5 101,3,10-12, ,,,,,,,,,,,,,,
 ,Головоломка ,"Материал abs,
Размер: 14х14
Упаковка: коробка 
Примечание от фабрики: ", Дизайн: наклейка лого на коробку  ,750,"14,0","1188,9",40-45,"15,9","1350,7",30-35,5 759,3,10-12, ,,,,,,,,,,,,,,
 ,Рация ,"Материал abs,
Размер: 62х113х32 мм
Упаковка: коробка 
Примечание от фабрики: ", Дизайн: наклейка лого на коробку  ,750,"35,7","3030,7",45-50,"37,1","3157,1",35-40,7 154,5,10-12, ,,,,,,,,,,,,,,
 ,Лупа -микроскоп,"Материал abs,
Размер: 158,5х66 мм
Упаковка: коробка 
Примечание от фабрики:  желтый, голубой, розовый, фиолетовый ", Дизайн: лого один цвет,750,"20,5","1743,1",45-50,"21,2","1797,7",35-40,7 030,5,10-12, ,Рация ,"Материал abs,
Размер: 13,5х13,5
Упаковка: коробка 
Примечание от фабрики: ", Дизайн: наклейка лого на пакете ,750,,,,,,,,,, 
 ,Рисуем светом ,"Материал abs,
Размер: 158,5х66 мм
Упаковка: коробка 
Примечание от фабрики:  у фабрики коробка на русском языке, трафарет алфавит на русском языке ", Дизайн: наклейка лого на коробку  ,750,"7,5","633,0",45-50,"8,0","676,4",35-40,6 432,5,10-12, ,Рация ,"Материал abs,
Размер: 13,5х13,5
Упаковка: коробка 
Примечание от фабрики: ", Дизайн: наклейка лого на пакете ,750,,,,,,,,,, 
 ,Пазл,"Материал abs,
Размер: 158,5х66 мм
Упаковка: коробка 
Примечание от фабрики:  желтый, голубой, розовый, фиолетовый ", Дизайн: наклейка лого на пакет  ,750,"2,7","225,7",45-50,"3,2","272,6",35-40,4 156,3,10-12, ,Рация ,"Материал abs,
Размер: 13,5х13,5
Упаковка: коробка 
Примечание от фабрики: ", Дизайн: наклейка лого на пакете ,750,,,,,,,,,, 
 ,Ночник ,"Материал abs,
Размер: 158,5х66 мм
Упаковка: коробка 
Примечание от фабрики:  желтый, голубой, розовый, фиолетовый ", Дизайн: наклейка лого на коробке ,750,"15,8","1346,0",40-45,"19,0","1616,9",30-35,4 750,3,10-12,,Рация ,"Материал abs,
Размер: 13,5х13,5
Упаковка: коробка 
Примечание от фабрики: ", Дизайн: наклейка лого на пакете ,750,,,,,,,,,, 
 ,Фотоаппарат мгновенной печати ,"Материал abs,
Размер: 158,5х66 мм
Упаковка: коробка 
Примечание от фабрики:  желтый, голубой, розовый, фиолетовый ", Дизайн: лого на фотоаппарате ,750,"25,6","2225,0",40-45,"26,8","2331,0",30-35,7 184,5-7,12-15, ,Рация ,"Материал abs,
Размер: 13,5х13,5
Упаковка: коробка 
Примечание от фабрики: ", Дизайн: наклейка лого на пакете ,750,,,,,,,,,, 
 ,Колонка ,"Материал abs,
Размер: 45х41 мм
Упаковка: коробка 
Примечание от фабрики:  ", Дизайн: лого на колонке  ,750,"14,3","1216,6",45-50,"14,9","1267,2",35-40,8 522,5-7,12-15,,Рация ,"Материал abs,
Размер: 13,5х13,5
Упаковка: коробка 
Примечание от фабрики: ", Дизайн: наклейка лого на пакете ,750,,,,,,,,,, 
 ,Мягкая игрушка с музыкой и светом ,"Материал abs,
Размер: 158,5х66 мм
Упаковка: коробка 
Примечание от фабрики:  желтый, голубой, розовый, фиолетовый ", Дизайн: кастом коробки,750,"16,5","1398,7",45-50,"19,1","1622,7",35-40,4 578,3,10-12, ,Рация ,"Материал abs,
Размер: 13,5х13,5
Упаковка: коробка 
Примечание от фабрики: ", Дизайн: наклейка лого на пакете ,750,,,,,,,,,, 
 ,Грелка-повербанк ,"Материал abs,
Размер: 80х80 мм
Упаковка: коробка 
Примечание от фабрики:  ", Дизайн: лого на колонке  ,750,"10,1","859,7",,"10,8","917,5",,8 156,5-7,12-15, ,Рация ,"Материал abs,
Размер: 13,5х13,5
Упаковка: коробка 
Примечание от фабрики: ", Дизайн: наклейка лого на пакете ,750,,,,,,,,,, 
