 ,Шнур ланъярд,"Материал: полиэстер, металлическая фурнитура
Диаметр:  8мм
Упаковка: ZIP пакет
Примечание от фабрики: выбор цвета из раскладки", Дизайн: УФ печать лого на PU или силиконовой бирке и вставке для телефона,500,"4,32","367,00 ₽",45-50,"4,65","395,0",35-40,7 000,5,15-17,
,,,,1000,"4,12","350,00 ₽",45-50,"4,46","379,0",35-40,,,,
,Брелок-таймер,"Материал: пластик
Размер: 65*27*13мм
Упаковка: OPP пакет"," Дизайн: сток, присутствует заводской логотип",500,"1,87","159,00 ₽",30-35,,,,2 300,1,11-13,
,,,,1000,"1,70","145,00 ₽",30-35,,,,,,,
,,," Дизайн: удаление заводского лого, печать лого 1 цвет",2000,"1,66","141,00 ₽",40-45,,,,14 400,9,11-13,
 ,Авоська,"Материал: хлопок
Размер:  40*35см (см.доп.фото)
Упаковка: OPP пакет
Примечание от фабрики: выбор цвета из раскладки"," Дизайн: бирка с лого, шелкография лого на ручке 1 цвет",500,"3,54","298,00 ₽",40-45,,,,5 300,9,19-21,
,,,,1000,"3,34","281,00 ₽",40-45,,,,,,,
 ,Брелок с джиббитсами,"Материал: ПВХ
Размер: 6*6см  
Упаковка: OPP пакет
Примечание от фабрики: цены ориентировочные, точные после предоставления макетов"," Дизайн: индивидуальная форма, 5 джиббитсов в комплекте",500,"4,84","411,00 ₽",40-45,,,,78100 (открытие формы),10,20-22,
,,,,1000,"3,94","335,00 ₽",40-45,,,,,,,
 ,Бутылка,"Материал: пластик
Объем: 600мл  
Упаковка: OPP пакет", Дизайн: шелкография лого 1 цвет,500,"3,79","322,00 ₽",40-45,,,,4 900,5,15-17,
,,,,1000,"3,63","308,00 ₽",40-45,,,,,,,
,Брелок-таймер,"Материал: пластик
Размер: 5,4*2,4*2,1см
Упаковка: OPP пакет
Примечание от фабрики: батарейка в комплекте", Дизайн: шелкография лого 1 цвет,1000,"1,05","89,00 ₽",35-40,,,,Предтиражный,-,-,
