,,,,2500,"0,8","71,0",,"0,9","77,4",,,,,
,,,,5000,"0,8","66,2",45-50,"0,9","72,4",35-40,,,,
,,,,10000,"0,7","62,0",,"0,8","67,8",,,,,
 ,Брелок,"""Ремувка из ПВХ на метталическом кольце. Материал: поливинилхлорид.  Размер: 1,5х10 см (+/-10%). Цвет по согласованию с Заказчиком. Нанесение: уф-печать. Площадь брендирования не менее 5 и не более 40%
 ""","Материал: полиэстер, металл
Размер: 10*1,5 см
Цвет, дизйн: нанесение лого, УФ печать 
Упаковка: OPP пакет ",100,"2,7","246,3",33-38,"2,8","251,3",23-28,15 500,7,10-12,
,,,,300,"1,4","129,6",33-38,"1,5","134,7",23-28,,,,
,,,,500,"1,2","106,3",33-38,"1,2","111,4",23-28,,,,
,,,,1000,"0,9","81,1",33-38,"1,0","86,0",23-28,,,,
,,,,2500,"0,8","70,9",35-40,"0,8","75,8",25-30,,,,
,,,,5000,"0,7","61,5",35-40,"0,7","65,3",25-30,,,,
,,,,10000,"0,6","57,3",35-40,"0,7","61,1",25-30,,,,
,Брелок,"""Светоотражающая тканая лента на металлическом карабине. Материал: металл; полиэстер 100%. Размер: 2х15 см (+/- 10%). Цвет по согласованию с Заказчиком. Нанесение: Флекс-пленка. Площадь брендирования не менее 5 и не более 40%
""","Материал: полиэстер, металл
Рамзер: 15*2 см
Цвет, дизйн: при расчете ориентировались на референс
Упаковка: OPP пакет по 100 шт",300,"3,7","315,4",35-40,"3,8","319,8",25-30,7 900,5,15-17,
,,,,500,"2,3","196,2",,"2,4","200,7",,,,,
,,,,1000,"1,2","104,3",,"1,3","108,7",,,,,
,,,,2500,"1,2","100,9",40-35,"1,2","105,3",30-35,,,,
,,,,5000,"1,1","95,2",,"1,2","99,4",,,,,
,,,,10000,"1,1","92,7",,"1,1","96,9",,,,,
,Брелок,"Брелок для ключей в форме петли. Материал: искусственная кожа, металл. Внешний размер: 10х2,6 см (+/- 10%). Цвет фурнитуры и макет нанесения на  по согласованию с Заказчиком. Нанесение: полноцветная печать 4+0","Материал: искусственная кожа, металл
Рамзер: 10*2,6 см
Цвет, дизйн: полноцветная печать
Упаковка: индивидуальный пакетик",10,"11,4","966,3",40-45,"11,5","978,2",30-35,8 300,3,13-15,
,,,,100,"5,6","477,6",,"5,8","489,5",,,,,
,,,,300,"5,0","425,1",,"5,1","436,0",,,,,
,,,,500,"2,5","207,8",,"2,6","219,8",,,,,
,,,,1000,"2,0","173,8",,"2,2","185,7",,,,,
,,,,2500,"2,0","167,7",,"2,1","179,3",,,,,
,,,,5000,"1,6","131,4",,"1,7","143,4",,,,,
,,,,10000,"1,4","116,6",,"1,5","128,5",,,,,
 ,Подвес,"Подвес для телефона со вставкой. Металлическая фурнитура. Цвет по согласованию с Заказчиком. Размер: 40 см (+/- 10%). Материал: полиэстер, пвх, металл. ","Материал: полиэстер, металл, пвх
Рамзер: 15 см в сложенном виде (этих шнурков нет длиннее), диаметр 6 мм
Цвет, дизйн: индивидуальный цвет, жаккардовая бирка с лого
Упаковка: OPP пакет",2000,"2,2","194,1",40-45,"2,3","207,0",30-35,5 500,5,15-17,
,,,,5000,"2,1","190,1",,"2,3","202,7",,,,,
,,,,10000,"2,0","178,0",,"2,1","189,9",,,,,
 ,Подвес,"Подвес для телефона с пластиковой вставкой. Пластиковая и металлическая фурнитура. Цвет по согласованию с Заказчиком.
Размер: 120 см (+/- 10%). Материал: полиэстер, пвх, металл. Метод нанесения: жаккардовая бирка. Место и размер нанесения по согласованию с Заказчиком. ","Материал: полиэстер, металл, пвх
Рамзер: 120 см
Цвет, дизйн: цвет из расладки, жаккардовая бирка с лого
Упаковка: OPP пакет",1000,"2,1","186,1",40-45,"2,3","204,4",30-35,5 500,5,15-17,
,,,,2000,"2,0","182,9",,"2,2","201,0",,,,,
,,,,5000,"2,1","192,0",,"2,1","192,0",,,,,
,,,,10000,"2,0","175,2",,"2,0","175,2",,,,,
 ,Подвес,"Брелок. Материал: шнурок из паракорда, веревка из полиэстера; брелок - металл.  Брендирование: жаккардовая бирка. Размер: длина 13 см (+/- 10%). Цвет по согласованию с Заказчиком. Метод нанесения: жаккардовая бирка. Место и размер нанесения по согласованию с Заказчиком. ","Материал: полиэстер, металл, паракорд
Рамзер: 16 см длина, 9 мм толщина
Цвет, дизйн: цвет из раскладки, жаккардовая бирка с лого
Упаковка: OPP пакет",3000,"0,4","35,7",45-50,"0,4","38,8",35-40,10 500,10,20-22,
,,,,5000,"0,4","34,8",,"0,4","37,8",,,,,
,,,,10000,"0,4","32,5",,"0,4","35,3",,,,,
 ,Зонт детский,"Зонт-трость детский. Ручка-трость С-образная, с прорезиненным покрытием. диаметр купола 90см (+/- 10%), длина  90 см (+/- 10%). Светоотражающая кайма по периметру. Материалы: эпонж 190Т. Спицы в количестве 6 шт.   Метод нанесения шелкография 2+0. Цвет и место нанесения по согласованию с Заказчиком. Площадь брендирования не менее 5 и не более 15%","Материал: 190T эпонж, ручка - пластик
Размер: диаметр купола 85 см, высота 65 см
Упаковка: индивидуальный прозрачный пакет
Дизайн: выбор цвета материала из раскладки, светоотражающая кайма, нанесение шелкография 2+0 одно место
Примечание от фабрики:",500,"10,3","873,4",45-50,"11,6","981,7",35-40,7 000,3,13-15,
,,,,1000,"9,8","831,6",,"11,0","936,7",,,,,
,,,,2500,"9,3","793,8",50-55,"10,5","895,6",40-45,,,,
,,,,5000,"8,8","746,0",55-60,"9,9","844,6",45-50,,,,
,,,,10000,"7,9","666,9",70-75,"9,0","762,4",60-65,,,,
 ,Зонт детский,"Зонт-трость детский. Ручка-трость С-образная, с прорезиненным покрытием. диаметр купола 85см (+/- 10%), длина  90 см (+/- 10%). Меняющий цвет под водой. Светоотражающая кайма по периметру. Материалы: эпонж 190Т. Спицы в количестве 6 шт. Метод нанесения шелкография 2+0. Цвет и место нанесения по согласованию с Заказчиком. Площадь брендирования не менее 5 и не более 15%","Зонтик с проявляющимся цветом рисунка
Материал: 190T эпонж, ручка - пластик
Размер: диаметр купола 88 см, высота 67 см
Упаковка: индивидуальный прозрачный пакет
Дизайн: выбор цвета материала из раскладки, индивидуальный рисунок с проявляющимся 1 цветом, нанесение логотипа шелкография 2+0 одно место
Примечание от фабрики:",500,"10,4","881,3",45-50,"11,5","976,6",35-40,13 500,5,15-17,
,,,,1000,"10,0","853,7",,"11,1","946,3",,,,,
,,,,2500,"9,7","826,9",50-55,"10,8","916,6",40-45,,,,
,,,,5000,"9,4","800,7",55-60,"10,4","887,7",45-50,,,,
,,,,10000,"9,1","774,7",70-75,"10,1","858,9",60-65,,,,
 ,Зонт ,"Складной зонт. Зонт имеет ручку из пластика с прорезиненным покрытием. Диаметр купола 105 см(+/- 10%), длина 60 см (+/- 10%), в сложении 32 см(+/- 10%). Материалы: эпонж, спицы - стеклопластик, в количестве 8 шт. При попадании капель дождя на зонте проявляются узоры. После высыхания рисунок исчезает. Цвет изделия и паттерн по согласованию с Заказчиком. Механизм закрытия полуавтоматический, 3 сложения. Зафиксировать зонт в сложенном положении должно быть возможно с помощью пришитого на купол ремешка с липучкой. Поставляется в чехле. Метод нанесения шелкография 2+0.  Цвет и место нанесения по согласованию с Заказчиком. Площадь брендирования не менее 5 и не более 15%. 
","Зонт складной полуавтоматический проявляющимся паттерном
Материал: 190T эпонж, ручка - пластик
Размер: диаметр купола 105 см, высота 65 см, в сложенном виде 33 см
Упаковка: чехол и индивидуальный прозрачный пакет
Дизайн: выбор цвета материала из раскладки, индивидуальный проявляющийся паттер на 8 клиньях, нанесение логотипа шелкография 2+0 одно место, чехол в цвет основной ткани без нанесения
Примечание от фабрики:",500,"12,8","1091,0",45-50,"14,8","1256,3",35-40,13 500,5,15-17,
,,,,1000,"12,3","1045,2",,"14,2","1205,7",,,,,
,,,,2500,"11,8","1000,9",50-55,"13,6","1156,5",40-45,,,,
,,,,5000,"11,3","958,0",55-60,"13,0","1108,7",45-50,,,,
,,,,10000,"10,5","894,0",70-75,"12,2","1039,9",60-65,,,,
 ,Значок,"Изготовлен методом штамповки, для нанесения рисунка используются холодные эмали. Материал: латунь. Количество цветов эмали: три. Размер 20х20 мм(+/- 10%). Эмали (пантон) заливаются в штамп. Крепление: цанговый зажим. Диаметр зажима 1,1 см(+/- 10%), высота зажима 6 мм(+/- 10%). Упаковка: индивидуальный полиэтиленовый пакет.","Материал: латунь
Рамзер: 20*20 мм
Цвет, дизйн: производство по макету (при расчете ориентировались на референс), три цвета эмали 
Упаковка: OPP пакет ",100,"1,7","149,0",45-50,"1,7","151,0",35-40,8 500,7,17-19,
,,,,300,"1,1","97,2",,"1,1","99,2",,,,,
,,,,500,"1,0","86,7",,"1,0","88,7",,,,,
,,,,1000,"0,8","75,6",,"0,9","77,6",,,,,
,,,,2500,"0,7","66,1",,"0,8","68,0",,,,,
,,,,5000,"0,7","60,1",,"0,7","62,0",,,,,
,,,,10000,"0,7","65,6",,"0,5","46,1",,,,,
,Пляжное полотенце ,Пляжное полотенце. Материал: микроволокно. Размер: 70 х 140 см (+/- 10%). Метод нанесения: термотрансферная печать. Место нанесения по согласованию с Заказчиком. Размер нанесения от 5% до 15% площади изделия.,"Материал: микроволокно
Размер: 70*140 см 
Вид нанесения принта- термотрансферная печать
Нанесение с одной стороны ",100,"13,5","1218,4",35-40,"15,5","1392,0",25-30,4 500,7,17-19,
,,,,300,"12,5","1057,8",35-40,"14,4","1221,8",25-30,,,,
,,,,500,"11,5","974,2",35-40,"13,4","1138,2",25-30,,,,
,,,,1000,"10,6","899,6",35-40,"12,5","1063,6",25-30,,,,
,,,,2500,"9,6","816,9",40-45,"11,5","976,1",30-35,,,,
,,,,5000,"9,0","768,7",40-45,"10,9","927,8",30-35,,,,
,,,,10000,"8,5","720,2",45-50,"10,3","874,6",35-40,,,,
,Настольный теннис ,"Набор для игры в настольный теннис – 2 ракетки, пыльник. Материал: древесина тополя, каучук. Размер: 25 х 15 см (+/- 10%).  Метод нанесения: полноцветная печать. Место нанесения: обе стороны ракетки. Размер нанесения - 100% доступной площади нанесения на ракетке. ","Материал:  древесина тополя, каучук, хлопок
Размер:  25*15 см
Дизайн: нанесение лого, выкрас ракетки близкий к пантону, нанесение лого на мячик, 
нанесение лого на хлопковый чехол ",300,"23,9","2035,0",55-60,"27,8","2366,3",45-50,25 000,10,20-22,
,,,,500,"23,2","1971,2",55-60,"27,0","2292,5",45-50,,,,
,,,,1000,"22,5","1908,0",55-60,"26,1","2219,3",45-50,,,,
,,,,2500,"21,7","1845,6",60-65,"25,3","2146,8",50-55,,,,
,,,,5000,"21,0","1783,8",60-65,"24,4","2075,0",50-55,,,,
,,,,10000,"20,3","1722,1",65-70,"23,6","2003,3",55-60,,,,
,Мяч ,Мяч волейбольный. Размер мяча – 5; Диаметр 21 см (+/- 10%). Длина окружности 66 см (+/- 10%). Тип соединения панелей покрышки мяча – термосшивка; Количество панелей -  18 шт. Материал покрышки мяча - скомпозитная кожа. Материал камеры – латекс. Количество подкладочных  –  2 шт. Место нанесения по согласованию с Заказчиком.,"Материал: резина
Размер: 5 дюймов
Вид нанесения лого- цифровая печать 
Выкрас в цвет близкий к пантону ",300,"11,1","943,1",40-45,"13,8","1170,1",30-35,17 500,8,18-20,
,,,,500,"10,8","916,0",40-45,"13,5","1143,0",30-35,,,,
,,,,1000,"10,4","887,4",40-45,"13,0","1107,7",30-35,,,,
,,,,2500,"10,3","874,3",45-50,"12,9","1094,6",35-40,,,,
,,,,5000,"10,1","861,9",45-50,"12,7","1082,2",35-40,,,,
,,,,10000,"9,8","835,7",50-55,"12,3","1049,3",40-45,,,,
,Бадминтон ,"Набор для игры в бадминтон – 2 ракетки, сумка-чехол. Материал: полиэстер, алюминий. Размер: 70 х 20 см (+/- 10%). Метод нанесения: УФ- печать. Место нанесения - сумка-чехол. Размер нанесения от 5% до 100% площади изделия. ","Материал: подиэстер, алюминий
Размер: 70*20 см
Нанесение на ракетку: лого 1 цвет
Вид нанесения: УФ- печать
Нанесение лого на сумку для ракетки",1000,"29,0","2463,7",40-45,"31,1","2640,5",30-35,20 000,10,20-22,
,,,,2500,"28,8","2445,9",45-50,"30,9","2622,6",35-40,,,,
,,,,5000,"28,5","2421,4",45-50,"30,6","2598,1",35-40,,,,
,,,,10000,"28,2","2397,1",50-55,"30,3","2573,8",40-45,,,,
,Фрисби,"Летающая тарелка для игр на свежем воздухе. Размеры: диаметр 27,5 см (+/- 10%), высота 3 см(+/- 10%)
Материал: пластик. Метод нанесения: тампопечать. Место нанесения по согласованию с Заказчиком. Размер нанесения: от 3 до 15 см2. Поставляется в индивидуальной упаковке: сумка-пыльник из хлопка. ","Материал: пластик
Размер: 27,5*27,5*3 см 
Вид нанесения: УФ печать",100,"9,6","816,6",35-40,"11,5","977,8",25-30,16 500,6,16-18,
,,,,300,"9,2","781,6",35-40,"11,0","938,1",25-30,,,,
,,,,500,"7,7","655,1",35-40,"9,6","811,6",25-30,,,,
,,,,1000,"7,3","619,6",35-40,"9,1","771,3",25-30,,,,
,,,,2500,"7,1","599,3",40-45,"8,8","746,3",30-35,,,,
,,,,5000,"6,5","555,9",40-45,"8,3","702,9",30-35,,,,
,,,,10000,"6,2","526,9",45-50,"7,9","669,1",35-40,,,,
,Шоппер,"Сумка-шопер. Материал: хлопок 100%, плотность 280 г/м²(+/- 10%). Размеры:  35х40х3 см(+/- 10%), ручки: 54х2,5 см(+/- 10%). Сумка должна выдерживать нагрузку 10 кг. Место крепления ручек усилено  дополнительной строчкой-крестом. Цвет изделия по согласованию с Заказчиком. Нанесение: шелкография 2+0. Место нанесения по согласованию с Заказчиком. Площадь брендирования не менее 10% и не более 50%.","Материал: хлопок 350 гр, терилен
Размер: 52*42*16 см
Вид нанесения: шелкография",100,"9,8","836,2",35-40,"11,0","931,6",25-30,16 500,6,16-18,
,,,,300,"10,8","913,8",35-40,"12,3","1046,0",25-30,,,,
,,,,500,"8,5","726,0",35-40,"9,6","818,6",25-30,,,,
,,,,1000,"8,2","695,4",35-40,"9,2","785,1",25-30,,,,
,,,,2500,"7,9","672,7",40-45,"8,9","759,7",30-35,,,,
,,,,5000,"7,6","647,5",40-45,"8,6","734,4",30-35,,,,
,,,,10000,"7,3","617,7",45-50,"8,3","701,8",35-40,,,,
