,Дорожный органайзер,"Материал: полиэстер
Упаковка: ОПП пакет
", Дизайн: печать лого клиента + выкрас в пантон / черный цвет,1000,"28,260","3051,78",45-50,"30,530","3297,69",35-40,29 400,"Фото 7-10
Доставка 13-15",
,,,,,,,,,,,,,
 ,сквиш антистресс,"Материал: pu
Размер: 8*5.5*5.8см
Упаковка: инд пакет                        
Примечание от фабрики:
", Дизайн: инд форма ховер,3000,"3,366","363,50",55-60,"2,911","314,36",45-50,"60 000,00",27 дня (фото / видео 15 дней),
 ,сквиш антистресс,"Материал: pu
Размер: 8*5.5*5.8см
Упаковка: инд пакет                        
Примечание от фабрики:
", Дизайн: инд форма колонка алиса,3000,"2,714","293,07",55-60,"3,563","384,78",45-50,"70 000,00",27 дня (фото / видео 15 дней),
 ,органайзер,"Материал: pu
Размер: 8*5.5*5.8см
Упаковка: инд пакет                        
Примечание от фабрики:
", Дизайн: двухцветный логотип,3000,"21,564","2328,94",70-75,"24,157","2608,97",60-65,"18 000,00",18 дня (фото / видео 6 дней),
 ,Очки,"Материал: пластик
Размер: 16*16*5 см
Упаковка: инд пакет                        
Примечание от фабрики:
Цвет: зеленый, голубой, фиолетовый, желтый, оранжевый, красный, розовый, серый", Дизайн: сток,500,"1,480","156,60",30-35,"1,680","178,46",20-25,2 500,12-14 день (фото / видео 1 день),
 ,Кроксы (стоковые цвета),"Материал: ЭВА
Размеры: зависит от цвета, в основном размеры от 35 до 43
Упаковка: опп-пакет                        
Примечание от фабрики: стоковые цвета см. в доп.фото
"," Дизайн: лого клиента (2 цвета) могут сделать  с помощью УФ-печати на кнопках (см. доп.фото); либо от 1000 шт. с помощью наклейки, места - передок/на держаках (см. доп.фото);",500,"15,640","1657,97",55-60,"18,760","1988,45",45-50,"80 000,00","Фото 15-18
Доставка 13-15",
,,,,,,,,,,,,,
 ,Кроксы (выкрас в Пантон),"Материал: ЭВА
Размеры: в основном размеры от 35 до 43, можно выбрать другие
Упаковка:  опп-пакет                      
Примечание от фабрики: выкрас в Пантон
"," Дизайн: лого клиента (2 цвета) могут сделать с помощью наклейки, места - передок, либо на держаках (см. доп.фото); либо с помощью УФ-печати на кнопках (см. доп.фото)",2000,"15,390","1630,90",70-75,"18,503","1961,37",60-65,"80 000,00","Фото 15-18
Доставка 13-15",
,,,,,,,,,,,,,
 ,Очки,"Материал: пластик
Размеры: 13,3 см × 5,4 см × 2,3 см (ширина оправы × высота линз × ширина переносицы)
Упаковка:  Индивидуальный пакет                 
Цвет: желтый, белый, красный, серый, розовый, черный"," Дизайн: лого клиента могут сделать с помощью шелкографии и лазера,  место нанесения - душка очков",1000,"0,870","89,45",75-80,"0,980","101,42",65-70,"9 700,00","Фото 15-20
Доставка 13-15",
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,"78300,0",,,,,,,
,,,,,,"560112,0",,,,,,,
,,,,,,"638412,0",,,,,,,
