,Картхолдер,"Материал: влагостойкая крафт-бумага (натуральный материал из целлюлозы, часто с водоотталкивающей пропиткой) 
Размер: 7 х 11 cm
Упаковка: сток пакетик
Примечание: должен быть подтвержден образец по финальному дизайн-проекту, стоимость может быть скорректирована","Дизайн: цвет пантон, 2 кармашка, треугольный карман, нанесение логотипа",17 039 ,"1,7","143,4",55-60,"1,7","145,7",45-50,13 400,7,17-19,
,Рюкзак городской,"Материал: оксфорд
Размер: 30 х 15 х 44 см
Цвет сток: серый, синий, черный
Упаковка: сток пакетик
Примечание: должен быть подтвержден образец по финальному дизайн-проекту, стоимость может быть скорректирована","Дизайн: цвет пантон (с референса), нанесение логотип шелкографией",9 600 ,"16,1","1445,0",60-65,"19,2","1724,6",50-55,17 800,7,17-19,
,Термостакан 1,"Материал: нержавейка 201 и 304
Размер: 19 х 7.3  см, 400 мл
Упаковка: индивидуальная коробка
Примечание от фабрики: сертификат бски есть, еаэс нет ","Дизайн: софт-тач покрытие и лого, выкрас (1 цвет)",7 200 ,"8,7","800,5",60-65,"10,1","939,3",50-55,12 550,7,17-19,
,Термостакан 1.2,"Материал: нержавейка 201 и 304
Размер: 420 мл
Упаковка: индивидуальная коробка
Примечание от фабрики: сертификат бски есть, еаэс нет ",Дизайн: софт-тач покрытие и лого,7 200 ,"8,9","820,5",70-75,"10,4","968,6",60-65,8 300,10,20-22,
,Термостакан 2,"Материал: корпус PS, вкладыш из нержавеющей стали 304, крышка PP+TPR
Размер: 7.5 х 6.5 х 15 см, 250 мл
Упаковка: индивидуальная коробка
Примечание от фабрики: продукция прошла проверку ЕАЭС, и они могут предоставить образцы для тестирования. Однако заводскую сертификацию они не проходили, поэтому не уверены, что смогут её пройти.","Дизайн: софт-тач покрытие и лого, выкрас (1 цвет)","26639 (сделают разбивку тиража по дизайнам 17039 +
9600)","4,2","384,9",60-65,"4,8","449,7",50-55,12 300,10,20-22,
,Термостакан 2.2,"Материал: нержавейка 201 и 304
Размер: 14 х 7 см, 350 мл
Упаковка: индивидуальная коробка
Серты: -","Дизайн: софт-тач покрытие и лого (2 цвета), выкрас в пантон ","26639 (сделают разбивку тиража по дизайнам 17039 +
9600)",7,"612,2",50-55,"8,1","717,1",40-45,7 550,7,17-19,
,Ручка,"Материал: экологически чистый материал RPET
Размер: 140 х 12 мм
Упаковка: ОПП пакет
Примечания: цвет по пантону можно настроить от 10000 штук, поэтому второй тираж будет со сток цветом
Серты: -",Дизайн: лого шелкография (1 цвет),"24239 (сделают разбивку тиража по дизайнам 17039 +
7200)","0,3","25,7",50-55,"0,4","29,1",40-45,8 350,10,20-22,
,Ручка,"Материал: экологически чистый материал RPET
Размер: 138 х 10 мм
Упаковка: ОПП пакет
Серты: -","Дизайн: лого (1 цвет), пантон (1 цвет)","24239 (сделать разбивку можно только с лого, цвет изменить нельзя)","0,4","28,8",65-70,"0,4","32,3",55-60,14 250,12,22-24,
,Ручка,"Материал: экологически чистый ABS и крафт-бумага
Размер: 141 х 10 мм
Упаковка: ОПП пакет
Примечание: за меньший тираж нужно будет доплатить за открытие второй формы, цена пересчитана
Серты: есть сертификат на чернила; сертификация ЕАЭС отсутствует",Дизайн: лого (1 цвет),"24239 (сделают разбивку тиража по дизайнам 17039 +
7200)","0,3","21,1",40-45,"0,3","23,9",30-35,5 250,4,14-16,
,Ручка,"Материал: Биоразлагаемый и экологически чистый материал из пшеничной соломы, бамбука и дерева
Размер: 142  х 10 мм
Упаковка: ОПП пакет
Серты: чернила проверены на экологичность, сертификация ЕАЭС отсутствует",Дизайн: лого (1 цвет),"24239 (сделают разбивку тиража по дизайнам 17039 +
7200)","0,3","21,3",50-55,"0,3","24,8",40-45,8 600,5,15-17,
,Ручка,"Материал: пластик
Размер: 144  х 10 мм
Упаковка: ОПП пакет
Примечания: ЕАЭС нет, есть МСДС","Дизайн: лого (1 цвет), без выкраса в пантон","24239 (сделают разбивку тиража по дизайнам 17039 +
7200)","0,5","40,1",35-40,"0,5","43,6",25-30,5 750,5,15-17,
 ,Зип-пакет Сбербанк ,"Материал: прочный матовый полиэтилен высокого давления, плотностью 200 микр (это два слоя, каждый по 100 микр, тк максимальная плотность одного слоя - 150 микр)
Размер: 46*50 см, вырубка под ручку 7 см
Упаковка: OPP пакет
Примечание от фабрики: "," Дизайн: 
- прозрачный матовый материал и ручки из зеленого материала
- стандартный пуллер черного цвета
- флексопечать, 4 цвета, с 2 сторон ","33 839
","0,7","58,7",55-60,"0,8","70,0",45-50,109 000,10,20-22,
,Ручка,"Материал: пластик
Размер: 150  х 9 мм
Упаковка: ОПП пакет
Примечания: ЕАЭС и МСДС нет","Дизайн: лого (1 цвет), выкрас в пантон","24239 (сделают разбивку тиража по дизайнам 17039 +
7200)","0,3","27,3",55-61,"0,3","30,2",45-51,7 800,7,17-19,
