,"Менеджер: 
Email: 
Телефон: ",,"Прокопова Елена
elena.p@megamind.ru
",,"Цена указана с НДС и учитывает стоимость доставки до Москвы или ТК
Срок тиража ""под ключ"" включает в себя: 
производство, доставку по Китаю, обработку груза, доставку из Китая до Москвы, таможню",,,,,,,,Образец не включен в стоимость тиража,,,
 ,недатированный ежедневник ,"Материал: FIRENZE (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража","Дизайн: твердая обложка, цвета по раскладке от фабрики ,  На обложке большой фигурный боковой карман.
Логотип тиснится серебряной фольгой.
Остальной дизайн — блинтовое тиснение.",300,"8,4","704,3","211 284,00",50-55,"10,3","861,4","258 408,00",40-45,10 000,7,17-19,
,датированный ежедневник ,"Материал: LATTE и FIRENZE
(приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимсоти тиража","Дизайн: твердая обложка, цвета по раскладке от фабрики ,  На обложке
сквозной карманиз черной резинки.
Логотип тиснится серебряной фольгой.
Сайт (плашка) выполняется блинтовым тиснением.",300,"8,4","704,3","211 284,00",50-55,"10,3","861,4","258 408,00",40-45,10 000,7,17-19,
 ,недатированный ежедневник ,"Материал: LATTE и FIRENZE (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража","Дизайн: твердая обложка, цвета по раскладке от фабрики ,  Ежедневник из сшивки двух материалов, шов на корешке + 15мм резинка с вставкой.
Логотип тиснится серебряной фольгой, остальной
дизайн выполняется блинтовым тиснением.
",500,"6,6","554,6","277 285,00",50-55,"8,5","711,7","355 825,00",40-45,10 000,7,17-19,
,датированный ежедневник ,"Материал: LATTE и FIRENZE (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики необходима проработка образца для подтверждения стоимости тиража","Дизайн: твердая обложка, цвета по раскладке от фабрики , Ежедневник на скрытой,
серебристого цвета, пружине с хлястиком.
Полноцветная УФ-печать",200,"7,8","658,0","131 592,00",50-55,"9,7","815,0","163 008,00",40-45,10 000,7,17-19,
 ,недатированный ежедневник  (горизонтальный),"Материал: VIENNA и FIRENZE (приближенный вид материала который есть у фабрики)                   Размер: а4, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража","Дизайн:  твердая обложка, цвета по раскладке от фабрики , 
На обложке большой боковой карман который сшивается из двух материалов по диагонали.
Также хлястик для ручки пришивается к карману
и имеет аналогичный угол
Логотип тиснится серебряной фольгой.
Цитата наносится
УФ-прозрачным лаком*
”покрытие будет глянцевым, с переливам на матовой поверхности
Техника вверху выполняется блинтовым тиснением.",400,"13,6","1142,0","456 796,00",50-55,"15,3","1284,8","513 916,00",40-45,10 000,7,17-19,
,датированный ежедневник  (горизонтальный),"Материал: 331 LATTE (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража","Дизайн:  твердая обложка, цвета по раскладке от фабрики ,  На обложке большой боковой карман.
Логотип, сайт и белые контурные элементы тиснятся серебряной фольгой.
Остальные элементы блинтовым тиснением.",200,"21,0","1760,6","352 116,00",50-55,"22,7","1903,4","380 676,00",40-45,10 000,7,17-19,
 ,датированный ежедневник  ,"Материал: MOUTAI. (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража","Дизайн: твердая обложка, цвета по раскладке от фабрики , ежедневник с толстым блоком, через корешок на обложке выполняется блинтовое тиснение, сайт и лого тиснятся серебряной фольгой.",400,"13,6","1142,0","456 796,00",50-55,"15,3","1284,8","513 916,00",40-45,10 000,7,17-19,
,недатированный ежедневник ,"Материал: LATTE и FIRENZE (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража","Дизайн: твердая обложка, цвета по раскладке от фабрики ,на обложке большой боковой карман, сайт и лого тиснятся серебряной фольгой.",300,"15,1","1266,3","379 881,00",50-55,"16,8","1409,1","422 721,00",40-45,10 000,7,17-19,
 ,датированный ежедневник  (горизонтальный),"Материал: MOUTAI. (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража","Дизайн: твердая обложка, цвета по раскладке от фабрики ,на обложке большой боковой карман, сайт и лого тиснятся серебряной фольгой. композиция, сайт и инициалы тисняться серебряной фольгой ",400,"13,6","1142,0","456 796,00",50-55,"15,3","1284,8","513 912,00",40-45,10 000,7,17-19,
,датированный ежедневник  (вертикальный),"Материал: MOUTAI. (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража","Дизайн: твердая обложка, цвета по раскладке от фабрики ,на обложке большой боковой карман, сайт и лого тиснятся серебряной фольгой. композиция, сайт и инициалы тисняться серебряной фольгой ",200,"15,1","1269,1","253 822,00",50-55,"16,8","1411,9","282 382,00",40-45,10 000,7,17-19,
,датированный ежедневник  (горизонтальный),"Материал: 331 LATTE (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража","Дизайн: твердая обложка, цвета по раскладке от фабрики ,На обложке большой фигурный боковой карман.
Логотип тиснится серебря  фольгой, элементы микросхемы — блинтом.
Также на обложку вшива  держатель для ручки и карман для визиток.",400,"13,6","1142,0","456 796,00",50-55,"15,3","1284,8","513 916,00",40-45,10 000,7,17-19,
,датированный ежедневник  (вертикальный),"Материал: MOUTAI
 (приближенный вид материала который есть у фабрики)                   Размер: а5, 250стр, 70гр листы
Упаковка: пакет 
Примечание от фабрики: цвет ляссе и форзаца по раскладке от фабрики, необходима проработка образца для подтверждения стоимости тиража","Дизайн: твердая обложка, цвета по раскладке от фабрики ,На обложке большой боковой карман.
Логотип, тиснится серебряной фольгой.
Остальные элементы блинтовым тиснением.",200,"21,0","1760,6","352 116,00",50-55,"22,7","1903,4","380 676,00",40-45,10 000,7,17-19,
