,,"
Примечание от фабрики: настройка цвета, фиолетовый цвет",Дизайн: выкрас в пантон (мин. 1000 шт),1500,1,"86,7",130 020,40-45,"1,2","102,5",153 720,30-35,8200,5,15-17,
,"
Набор металллических бокалов с фиолетовым напылением (для вина)
","Материал: нержавеющая сталь
Диаметр горлышка: 7,5 см
Высота : 20,32 см
Объём: 500 мл 
Упаковка: картон 
Примечание от фабрики: минимальный объем заказа 250 наборов, цена меняется от заказа 1500 наборов 
* В наборе 2 шт, цена за набор ",Дизайн: сток,200 - 1500,"18,6","1549,2",#VALUE!,33-38,"21,6","1811,7",#VALUE!,43-48,"9 293,6 
(2 бокала)",3,12-14,
,"
Набор металллических бокалов с фиолетовым напылением (для шампанского)
","Материал: нержавеющая сталь
Диаметр горлышка: 4,75 см
Высота : 22,3 см
Объём: 200 мл 
Упаковка: картон 
Примечание от фабрики: минимальный объем заказа 250 наборов, цена меняется от заказа 1500 наборов 
* В наборе 2 шт, цена за набор ",Дизайн: сток,200-1500,"21,0","1754,8",#VALUE!,33-38,"24,2","2019,8",#VALUE!,43-48,"9 293,6 
(2 бокала)",3,12-14,
,Держатель для карточек-статусов,"Материал: акрил
Размер: 4*3*2 см
Упаковка: индивидуальный пакет 
Примечание от фабрики: из пластика фабрики такое не делают, но можно сделать из акрила; точная стоимость после макета и образца","Дизайн: производство формы по макету, выбор акрила из раскладки фабрики",1500,"2,5","213,2",319 830,50-55,"2,7","227,3",340 935,40-45,"10 500,00",12,12-14,
,Шарики антистресс,"Материал: силикон
Размер: 2.4 х 2.2 см
Упаковка: черная коробка + опп пакет (в доп фото пример)
В упаковке: 4 шт 
Цвет: фиолетовый
Примечание: альтернативный, более быстрый способ доставки ",Дизайн: выкрас в пантон (мин. 1000 шт),1500,-,,,,"3,7","313,7",470 505,28-33,"17970 (выкрас)",5,15-17,
,,,,2000,,,,,"3,5","301,1",602 200,,,,,
,,,,2500,,,,,"3,4","288,6",721 600,,,,,
,,"
Упаковка: черная коробка + опп пакет (в доп фото пример)
В упаковке: 4 шт 
Цвет: фиолетовый (только сток), нельзя сделать выкрас 1 шарика, либо все, либо никакие. Можно замиксовать с другим сток цветом (напр. зеленым или розовым)",Дизайн: сток,2000,"3,5","300,4",600 740,40-45,"3,8","333,4",666 700,30-35,2350 (4 шарика),3,13-15,
,,,,2500,"3, 2","279,4",698 600,,"3,6","311,5",778 650,,,,,
Расчет от 5.09,,,,,,,,,,,,,,,,
,Шарики антистресс,"Материал: силикон, ЭВА (кейс)
Размер: 2.4 х 2.2 см
Упаковка: черная коробка + опп пакет (в доп фото пример)
В упаковке: 4 шт 
Цвет: красный",Дизайн: сток,1650,3,"272,61",449 807,40-45,"3,6","305,6",504 240,30-35,"17970 (выкрас)",5,15-17,
,,,,1650,3,"243,78",402 237,50-55 (долгое),"3,3","276,1",455 598,40-45 (долгое),"17970 (выкрас)",5,15-17,
,Шарики антистресс,"Материал: силикон, ЭВА (кейс)
Размер: 2.4 х 2.2 см
Упаковка: черная коробка + опп пакет (в доп фото пример)
В упаковке: 4 шт 
Цвет: фиолетовый ",Дизайн: сток,500,4,"308,7",154 350,37-42,"4,2","349,8",174 900,27-32,2350 (4 шарика),3,13-15,
,Складная лампа ,"Материал: спец бумага 
Размер: 122 х 122 х 22 мм в сложенном состоянии (210 мм - высота в разобранном состоянии) 
Упаковка: фабричная 
Примечание от фабрики: кастом от 200 шт., есть возможность создания уникальной лампы по дизайну клиента, цена зависит от макета ",Дизайн: сток,300,"13,3","1110,1",333030,40-45,"14,6","1226,5",367950,30-35,3352,5,15-17,
,,,,800,"13,3","1107,7",886160,,"14,6","1224,1",979280,,,,,
,,,,1000,"13,3","1106,4",1106400,,"14,6","1222,8",1222800,,,,,
,,,,1500,13,"1084,5",1626750,,"14,3","1200,9",1801350,,,,,
,,,Дизайн: печать логотипа ,300,"13,6","1136,1",340830,,"15,0","1252,5",375750,,"8613,2",,,
,,,,800,"13,5","1133,7",906960,,"14,9","1250,1",1000080,,,,,
,,,,1000,"13,5","1132,4",1132400,,"14,9","1248,8",1248800,,,,,
,,,,1500,"11,7","975,2",1462800,,13,"1091,6",1637400,,,,,
,Складная мини-лампа ,"Материал: спец бумага 
Размер: 82 х 82 х 15 мм
Упаковка: фабричная 
Примечание от фабрики: необходимо подтверждение макета кастома, 
полный кастом, нанесение лого и сток - одинаковая цена ",Дизайн: кастом принта ,300,9,"774,3",232 290,40-45,"9,6","804,0",241 200,30-35,11805,5,15-17,
,,,,800,8,"653,5",522 800,,"8,2","683,2",546 560,,,,,
,,,,1000,8,653,653 000,,"8,2","682,7",682 700,,,,,
,,,,1500,8,"652,4",978 600,,"8,2","682,1",1 023 150,,,,,
